(465s) Epoch=2, Group=39loss: 52220.203945,  ess_sis: 1.001070,  density: -39606.035400
(465s) Epoch=2, Group=40loss: 51780.440156,  ess_sis: 1.002449,  density: -38965.085322
(466s) Epoch=2, Group=41loss: 52222.091230,  ess_sis: 1.000025,  density: -39212.022139
(465s) Epoch=2, Group=42loss: 51476.638184,  ess_sis: 1.000000,  density: -38569.937363
(465s) Epoch=2, Group=43loss: 51816.832891,  ess_sis: 1.000282,  density: -38994.255410
(465s) Epoch=2, Group=44loss: 51998.893105,  ess_sis: 1.000336,  density: -39197.971504
(464s) Epoch=2, Group=45loss: 51373.047949,  ess_sis: 1.000000,  density: -38659.809609
(465s) Epoch=2, Group=46loss: 51523.329004,  ess_sis: 1.000071,  density: -38875.785664
(465s) Epoch=2, Group=47loss: 51696.925176,  ess_sis: 1.000834,  density: -38910.165781
(465s) Epoch=2, Group=48loss: 51469.618867,  ess_sis: 1.000700,  density: -38786.878740
(465s) Epoch=2, Group=49loss: 51574.113359,  ess_sis: 1.001044,  density: -38848.171211
(465s) Epoch=2, Group=50loss: 52058.224844,  ess_sis: 1.000001,  density: -39172.454336
(465s) Epoch=2, Group=51loss: 52534.048945,  ess_sis: 1.000049,  density: -39544.805313
(465s) Epoch=2, Group=52loss: 52099.739805,  ess_sis: 1.000005,  density: -39171.674473
(465s) Epoch=2, Group=53loss: 52390.709668,  ess_sis: 1.000000,  density: -39567.834121
(465s) Epoch=2, Group=54loss: 52078.982246,  ess_sis: 1.000000,  density: -39247.499414
(465s) Epoch=2, Group=55loss: 51823.622812,  ess_sis: 1.000180,  density: -38976.575732
(465s) Epoch=2, Group=56loss: 52115.144668,  ess_sis: 1.000000,  density: -39440.645039
(465s) Epoch=2, Group=57loss: 52740.469102,  ess_sis: 1.000000,  density: -39786.407959
(465s) Epoch=2, Group=58loss: 52489.972285,  ess_sis: 1.001440,  density: -39643.271045
(465s) Epoch=2, Group=59loss: 51500.623359,  ess_sis: 1.000005,  density: -38749.875244
(464s) Epoch=3, Group=0loss: 51259.802187,  ess_sis: 1.000851,  density: -38866.101982
(465s) Epoch=3, Group=1loss: 51788.093828,  ess_sis: 1.000920,  density: -39255.199434
(466s) Epoch=3, Group=2loss: 52153.847871,  ess_sis: 1.001989,  density: -39370.452080
(466s) Epoch=3, Group=3loss: 52131.147676,  ess_sis: 1.000930,  density: -39258.686553
(466s) Epoch=3, Group=4loss: 52649.718262,  ess_sis: 1.000990,  density: -39850.695508
(466s) Epoch=3, Group=5loss: 51852.930039,  ess_sis: 1.000186,  density: -39305.261201
(467s) Epoch=3, Group=6loss: 52728.018164,  ess_sis: 1.000000,  density: -39583.887949
(467s) Epoch=3, Group=7loss: 52585.354648,  ess_sis: 1.000348,  density: -39768.736201
(469s) Epoch=3, Group=8loss: 52514.338594,  ess_sis: 1.000049,  density: -39701.583037
(470s) Epoch=3, Group=9loss: 52330.472832,  ess_sis: 1.000002,  density: -39551.113174
(470s) Epoch=3, Group=10loss: 53054.152539,  ess_sis: 1.001169,  density: -40036.110908
(469s) Epoch=3, Group=11loss: 52232.933828,  ess_sis: 1.000000,  density: -39511.975596
(470s) Epoch=3, Group=12loss: 52465.799082,  ess_sis: 1.000408,  density: -39422.527031
(469s) Epoch=3, Group=13loss: 52577.723086,  ess_sis: 1.001000,  density: -39868.810850
(469s) Epoch=3, Group=14loss: 52984.645820,  ess_sis: 1.000033,  density: -40256.318516
(469s) Epoch=3, Group=15loss: 52969.842539,  ess_sis: 1.000004,  density: -40263.912461
(469s) Epoch=3, Group=16loss: 53012.577441,  ess_sis: 1.000012,  density: -40086.330303
(469s) Epoch=3, Group=17loss: 52584.878281,  ess_sis: 1.000809,  density: -39869.535645
(469s) Epoch=3, Group=18loss: 52209.544316,  ess_sis: 1.000139,  density: -39425.273271
(470s) Epoch=3, Group=19loss: 51856.616035,  ess_sis: 1.000145,  density: -39167.265947
(469s) Epoch=3, Group=20loss: 52202.588281,  ess_sis: 1.001996,  density: -39341.135234
(469s) Epoch=3, Group=21loss: 52270.364043,  ess_sis: 1.000198,  density: -39391.343994
(469s) Epoch=3, Group=22loss: 52124.763203,  ess_sis: 1.000000,  density: -39346.653779
(469s) Epoch=3, Group=23loss: 52573.564551,  ess_sis: 1.000002,  density: -39682.752480
(469s) Epoch=3, Group=24loss: 52138.311738,  ess_sis: 1.001015,  density: -39243.702178
(470s) Epoch=3, Group=25loss: 52101.541523,  ess_sis: 1.000000,  density: -39009.527910
(469s) Epoch=3, Group=26loss: 51477.080078,  ess_sis: 1.000904,  density: -38827.834307
(470s) Epoch=3, Group=27loss: 51928.580859,  ess_sis: 1.000293,  density: -39012.614258
(469s) Epoch=3, Group=28loss: 52417.739551,  ess_sis: 1.001756,  density: -39544.495498
(469s) Epoch=3, Group=29loss: 51702.093496,  ess_sis: 1.000066,  density: -39203.238418
(470s) Epoch=3, Group=30loss: 51408.184023,  ess_sis: 1.000102,  density: -38937.587100
(469s) Epoch=3, Group=31loss: 52010.043281,  ess_sis: 1.000046,  density: -39250.648633
(470s) Epoch=3, Group=32loss: 51962.494063,  ess_sis: 1.000000,  density: -38965.389395
(470s) Epoch=3, Group=33loss: 52470.429160,  ess_sis: 1.000137,  density: -39690.066992
(469s) Epoch=3, Group=34loss: 51351.061230,  ess_sis: 1.000133,  density: -38602.008926
(469s) Epoch=3, Group=35loss: 52310.469023,  ess_sis: 1.001441,  density: -39276.346592
(470s) Epoch=3, Group=36loss: 50988.888086,  ess_sis: 1.000091,  density: -38368.166172
(469s) Epoch=3, Group=37loss: 51821.834414,  ess_sis: 1.000353,  density: -39012.177656
(469s) Epoch=3, Group=38loss: 51992.098672,  ess_sis: 1.000982,  density: -39221.697881
(470s) Epoch=3, Group=39loss: 51122.486914,  ess_sis: 1.000008,  density: -38550.139600
(469s) Epoch=3, Group=40loss: 50870.488887,  ess_sis: 1.000874,  density: -38319.251787
(469s) Epoch=3, Group=41loss: 51433.979395,  ess_sis: 1.000006,  density: -38559.299258
(469s) Epoch=3, Group=42loss: 51901.258770,  ess_sis: 1.000376,  density: -39170.964424
(469s) Epoch=3, Group=43loss: 51771.116719,  ess_sis: 1.000037,  density: -38976.618154
(469s) Epoch=3, Group=44loss: 52326.264883,  ess_sis: 1.000018,  density: -39448.838291
(468s) Epoch=3, Group=45loss: 52198.963125,  ess_sis: 1.000551,  density: -39355.268428
(469s) Epoch=3, Group=46loss: 51700.151992,  ess_sis: 1.000371,  density: -38961.810752
(470s) Epoch=3, Group=47loss: 51366.455723,  ess_sis: 1.000097,  density: -38640.927637
(469s) Epoch=3, Group=48loss: 51856.044727,  ess_sis: 1.000372,  density: -39073.547998
(470s) Epoch=3, Group=49loss: 51876.403359,  ess_sis: 1.000001,  density: -39404.713965
(470s) Epoch=3, Group=50loss: 52004.829336,  ess_sis: 1.000813,  density: -39412.822090
(469s) Epoch=3, Group=51loss: 52368.684082,  ess_sis: 1.001628,  density: -39693.685977
(469s) Epoch=3, Group=52loss: 52491.643418,  ess_sis: 1.001019,  density: -39776.599199
(470s) Epoch=3, Group=53loss: 52555.737207,  ess_sis: 1.000000,  density: -39588.659463
(469s) Epoch=3, Group=54loss: 52135.720547,  ess_sis: 1.000773,  density: -39377.414268
(469s) Epoch=3, Group=55loss: 51985.458574,  ess_sis: 1.000000,  density: -39090.681396
(469s) Epoch=3, Group=56loss: 51992.295645,  ess_sis: 1.000000,  density: -39037.858340
(469s) Epoch=3, Group=57loss: 52460.050703,  ess_sis: 1.000375,  density: -39349.705527
(470s) Epoch=3, Group=58loss: 52074.400664,  ess_sis: 1.000016,  density: -39396.528721
(469s) Epoch=3, Group=59loss: 51937.766445,  ess_sis: 1.000029,  density: -39240.217441
(469s) Epoch=4, Group=0loss: 51709.764609,  ess_sis: 1.000003,  density: -38926.038184
(469s) Epoch=4, Group=1loss: 51521.111094,  ess_sis: 1.000989,  density: -38639.176084
(469s) Epoch=4, Group=2loss: 51878.247129,  ess_sis: 1.000171,  density: -39038.179268
(469s) Epoch=4, Group=3loss: 52084.349687,  ess_sis: 1.000029,  density: -39502.234980
(468s) Epoch=4, Group=4loss: 51818.377246,  ess_sis: 1.000079,  density: -38762.617842
(467s) Epoch=4, Group=5loss: 52278.235449,  ess_sis: 1.000014,  density: -39564.831943
(468s) Epoch=4, Group=6loss: 51688.049980,  ess_sis: 1.000036,  density: -38984.836592
(468s) Epoch=4, Group=7loss: 51391.872070,  ess_sis: 1.000017,  density: -38976.209785
(468s) Epoch=4, Group=8loss: 51957.401602,  ess_sis: 1.001021,  density: -39158.657266
(468s) Epoch=4, Group=9loss: 51502.080703,  ess_sis: 1.000211,  density: -38922.580342
(468s) Epoch=4, Group=10loss: 51289.616465,  ess_sis: 1.000000,  density: -38565.197490
