TrueKL=0.000830, loss: 21.008132,  ess_rws: 1.152749,  ess_eta: 49.925108,  ess_z: 10.468719,  inckl_eta: 0.045687,  inckl_z: 0.432675
TrueKL=0.008480, loss: 21.051677,  ess_rws: 1.152453,  ess_eta: 49.916412,  ess_z: 10.506043,  inckl_eta: 0.045300,  inckl_z: 0.427274
TrueKL=0.013014, loss: 21.104627,  ess_rws: 1.153647,  ess_eta: 49.920503,  ess_z: 10.573709,  inckl_eta: 0.046049,  inckl_z: 0.427452
TrueKL=0.000876, loss: 21.048035,  ess_rws: 1.156424,  ess_eta: 49.917133,  ess_z: 10.629714,  inckl_eta: 0.045596,  inckl_z: 0.419207
TrueKL=0.000845, loss: 21.096223,  ess_rws: 1.154087,  ess_eta: 49.921758,  ess_z: 10.516004,  inckl_eta: 0.049103,  inckl_z: 0.424887
TrueKL=0.000820, loss: 21.076818,  ess_rws: 1.150716,  ess_eta: 49.922941,  ess_z: 10.656820,  inckl_eta: 0.048726,  inckl_z: 0.426576
TrueKL=0.001357, loss: 21.025613,  ess_rws: 1.155774,  ess_eta: 49.920692,  ess_z: 10.837037,  inckl_eta: 0.047082,  inckl_z: 0.417002
TrueKL=0.001380, loss: 20.866424,  ess_rws: 1.157071,  ess_eta: 49.911519,  ess_z: 10.789227,  inckl_eta: 0.048143,  inckl_z: 0.414962
TrueKL=0.000882, loss: 20.868911,  ess_rws: 1.149989,  ess_eta: 49.918447,  ess_z: 10.855202,  inckl_eta: 0.047254,  inckl_z: 0.409567
TrueKL=0.000840, loss: 20.932069,  ess_rws: 1.157649,  ess_eta: 49.919678,  ess_z: 10.915872,  inckl_eta: 0.046305,  inckl_z: 0.407182
TrueKL=0.000910, loss: 20.977153,  ess_rws: 1.154031,  ess_eta: 49.914832,  ess_z: 10.887633,  inckl_eta: 0.046413,  inckl_z: 0.406431
TrueKL=0.000920, loss: 20.899947,  ess_rws: 1.158517,  ess_eta: 49.924175,  ess_z: 10.968260,  inckl_eta: 0.049562,  inckl_z: 0.404876
TrueKL=0.000872, loss: 20.860591,  ess_rws: 1.151509,  ess_eta: 49.921131,  ess_z: 11.039851,  inckl_eta: 0.050562,  inckl_z: 0.409844
TrueKL=0.000882, loss: 20.837735,  ess_rws: 1.154959,  ess_eta: 49.917852,  ess_z: 11.091346,  inckl_eta: 0.047319,  inckl_z: 0.402140
TrueKL=0.000950, loss: 20.800159,  ess_rws: 1.151425,  ess_eta: 49.914127,  ess_z: 11.197831,  inckl_eta: 0.048323,  inckl_z: 0.402634
TrueKL=0.001023, loss: 20.966366,  ess_rws: 1.155070,  ess_eta: 49.913898,  ess_z: 11.090622,  inckl_eta: 0.046886,  inckl_z: 0.410423
TrueKL=0.003736, loss: 20.769587,  ess_rws: 1.153306,  ess_eta: 49.921102,  ess_z: 11.292793,  inckl_eta: 0.045630,  inckl_z: 0.396245
TrueKL=0.000907, loss: 20.829324,  ess_rws: 1.155799,  ess_eta: 49.917049,  ess_z: 11.343073,  inckl_eta: 0.045851,  inckl_z: 0.398452
TrueKL=0.000990, loss: 20.837234,  ess_rws: 1.151950,  ess_eta: 49.912361,  ess_z: 11.243528,  inckl_eta: 0.048047,  inckl_z: 0.394772
TrueKL=0.000891, loss: 20.936680,  ess_rws: 1.158243,  ess_eta: 49.919909,  ess_z: 11.246259,  inckl_eta: 0.046460,  inckl_z: 0.394187
TrueKL=0.000981, loss: 20.857339,  ess_rws: 1.155401,  ess_eta: 49.919024,  ess_z: 11.333192,  inckl_eta: 0.046354,  inckl_z: 0.386029
TrueKL=0.000919, loss: 20.902169,  ess_rws: 1.159638,  ess_eta: 49.913251,  ess_z: 11.432850,  inckl_eta: 0.047202,  inckl_z: 0.388197
TrueKL=0.000933, loss: 20.848485,  ess_rws: 1.155024,  ess_eta: 49.917169,  ess_z: 11.454395,  inckl_eta: 0.047973,  inckl_z: 0.386278
TrueKL=0.000827, loss: 20.730963,  ess_rws: 1.152490,  ess_eta: 49.922117,  ess_z: 11.251130,  inckl_eta: 0.046772,  inckl_z: 0.384989
TrueKL=0.001026, loss: 20.700056,  ess_rws: 1.156615,  ess_eta: 49.905604,  ess_z: 11.435394,  inckl_eta: 0.200119,  inckl_z: 0.382190
TrueKL=0.009366, loss: 20.764101,  ess_rws: 1.160035,  ess_eta: 49.916515,  ess_z: 11.557663,  inckl_eta: 0.049093,  inckl_z: 0.381518
TrueKL=0.000938, loss: 20.731161,  ess_rws: 1.151118,  ess_eta: 49.920016,  ess_z: 11.657268,  inckl_eta: 0.048309,  inckl_z: 0.384154
TrueKL=0.001974, loss: 20.747360,  ess_rws: 1.155030,  ess_eta: 49.915142,  ess_z: 11.398887,  inckl_eta: 0.046079,  inckl_z: 0.388198
TrueKL=0.000901, loss: 20.838825,  ess_rws: 1.158431,  ess_eta: 49.916710,  ess_z: 11.677389,  inckl_eta: 0.047374,  inckl_z: 0.380851
TrueKL=0.000824, loss: 20.844271,  ess_rws: 1.154436,  ess_eta: 49.921312,  ess_z: 11.631848,  inckl_eta: 0.046750,  inckl_z: 0.380333
TrueKL=0.008017, loss: 20.801037,  ess_rws: 1.156927,  ess_eta: 49.914866,  ess_z: 11.676781,  inckl_eta: 0.048924,  inckl_z: 0.376237
TrueKL=0.000885, loss: 20.788604,  ess_rws: 1.154419,  ess_eta: 49.922142,  ess_z: 11.682131,  inckl_eta: 0.046489,  inckl_z: 0.379668
TrueKL=0.001071, loss: 20.853948,  ess_rws: 1.157907,  ess_eta: 49.907556,  ess_z: 11.747732,  inckl_eta: 0.048397,  inckl_z: 0.369856
TrueKL=0.000820, loss: 20.866122,  ess_rws: 1.154753,  ess_eta: 49.925443,  ess_z: 11.629503,  inckl_eta: 0.047224,  inckl_z: 0.379688
TrueKL=0.000911, loss: 20.853459,  ess_rws: 1.159011,  ess_eta: 49.916081,  ess_z: 11.714439,  inckl_eta: 0.415437,  inckl_z: 0.378207
TrueKL=0.000885, loss: 20.916121,  ess_rws: 1.156001,  ess_eta: 49.919105,  ess_z: 11.771297,  inckl_eta: 0.048535,  inckl_z: 0.373894
