snr: 1.015311, var: 1.029711
snr: 0.958774, var: 0.982537
snr: 0.968736, var: 0.986443
snr: 0.977649, var: 0.989358
snr: 0.979998, var: 1.008416
snr: 1.058503, var: 1.082755
snr: 0.995570, var: 1.012026
snr: 1.009495, var: 1.019688
snr: 0.993614, var: 1.004999
snr: 0.956175, var: 0.970021
snr: 0.999832, var: 1.007236
snr: 0.999639, var: 1.011136
snr: 0.975305, var: 0.984165
snr: 0.995049, var: 1.008918
snr: 1.019103, var: 1.028029
snr: 0.998890, var: 1.005175
snr: 1.025943, var: 1.033857
snr: 0.962234, var: 0.972583
snr: 0.936336, var: 0.944225
snr: 0.996135, var: 1.001840
snr: 0.986845, var: 0.990522
snr: 1.071659, var: 1.084495
snr: 1.029281, var: 1.034491
snr: 1.099451, var: 1.102405
snr: 1.103214, var: 1.109062
snr: 0.995313, var: 1.009311
snr: 0.988789, var: 1.001479
snr: 1.006567, var: 1.011886
snr: 1.022763, var: 1.022946
snr: 1.022389, var: 1.036742
snr: 1.007045, var: 1.016027
snr: 0.995927, var: 1.004407
snr: 0.986830, var: 0.991661
snr: 0.991531, var: 0.991555
snr: 0.962400, var: 0.964451
snr: 0.960614, var: 0.966233
snr: 0.956206, var: 0.958781
snr: 0.960363, var: 0.962684
snr: 1.018432, var: 1.024391
snr: 1.005877, var: 1.015862
snr: 1.094447, var: 1.098946
snr: 1.056055, var: 1.057636
snr: 1.036240, var: 1.040556
snr: 0.984956, var: 0.989694
snr: 1.020400, var: 1.025233
snr: 1.063740, var: 1.081168
snr: 1.002051, var: 1.006341
snr: 1.040633, var: 1.049027
snr: 0.999491, var: 1.002214
snr: 1.028234, var: 1.044131
snr: 1.038723, var: 1.044227
snr: 0.962330, var: 0.968656
snr: 0.964998, var: 0.968900
snr: 1.020434, var: 1.024145
snr: 1.099067, var: 1.102668
snr: 1.025926, var: 1.029418
snr: 1.011754, var: 1.017036
snr: 0.999622, var: 1.002430
snr: 1.033891, var: 1.034610
snr: 0.988920, var: 0.989025
snr: 0.992446, var: 0.991249
snr: 1.029824, var: 1.035684
snr: 1.108220, var: 1.114034
snr: 1.109291, var: 1.115400
snr: 1.125216, var: 1.142797
snr: 1.133957, var: 1.139389
snr: 1.085811, var: 1.089456
snr: 1.112473, var: 1.113070
snr: 1.018397, var: 1.019817
snr: 1.007834, var: 1.019191
snr: 1.041344, var: 1.045980
snr: 1.059162, var: 1.062481
snr: 1.038111, var: 1.044274
snr: 1.013110, var: 1.036104
snr: 1.005165, var: 1.013516
snr: 0.977233, var: 0.981528
snr: 1.016668, var: 1.020648
snr: 0.967136, var: 0.966806
snr: 1.032246, var: 1.035410
snr: 1.007976, var: 1.016845
snr: 1.010674, var: 1.016712
snr: 1.003602, var: 1.001851
snr: 0.998624, var: 1.001848
snr: 1.037106, var: 1.046219
snr: 1.105436, var: 1.108372
snr: 1.070400, var: 1.086209
snr: 1.146496, var: 1.155607
snr: 1.142620, var: 1.149591
snr: 1.083686, var: 1.089689
snr: 1.016883, var: 1.017672
snr: 1.070268, var: 1.071581
snr: 1.079084, var: 1.079476
snr: 1.041713, var: 1.042899
snr: 0.989256, var: 0.993245
snr: 1.018545, var: 1.017571
snr: 1.048827, var: 1.060147
snr: 1.092978, var: 1.112866
snr: 1.061394, var: 1.069957
snr: 1.129979, var: 1.143252
snr: 1.100390, var: 1.105032
snr: 1.099485, var: 1.101653
snr: 1.076077, var: 1.074286
snr: 1.127151, var: 1.128639
snr: 1.122375, var: 1.121109
snr: 1.107123, var: 1.108282
snr: 1.121180, var: 1.138141
snr: 1.152738, var: 1.160678
snr: 1.146613, var: 1.148605
snr: 1.093002, var: 1.097865
snr: 1.111825, var: 1.111536
snr: 1.088632, var: 1.086030
snr: 1.021940, var: 1.026183
snr: 1.081525, var: 1.087357
snr: 1.101274, var: 1.106555
snr: 1.046394, var: 1.064391
snr: 1.096663, var: 1.113969
snr: 1.123185, var: 1.132803
snr: 1.109255, var: 1.112957
snr: 1.110832, var: 1.110102
snr: 1.128331, var: 1.141938
snr: 1.064396, var: 1.069715
snr: 1.063907, var: 1.065902
snr: 1.136050, var: 1.138441
snr: 1.185695, var: 1.186620
snr: 1.186658, var: 1.186547
snr: 1.182138, var: 1.192547
snr: 1.107762, var: 1.113261
snr: 1.124812, var: 1.124763
snr: 1.185468, var: 1.182845
snr: 1.143064, var: 1.141738
snr: 1.147945, var: 1.146425
snr: 1.118121, var: 1.135341
snr: 1.067918, var: 1.074453
snr: 1.126635, var: 1.130310
snr: 1.147266, var: 1.147482
snr: 1.108919, var: 1.108039
snr: 1.136089, var: 1.143476
snr: 1.106415, var: 1.105924
snr: 1.071384, var: 1.068324
snr: 1.078926, var: 1.076580
snr: 1.119697, var: 1.121565
snr: 1.072211, var: 1.076874
snr: 1.091503, var: 1.102480
snr: 1.116546, var: 1.120935
snr: 1.231127, var: 1.233002
snr: 1.159165, var: 1.163595
snr: 1.167213, var: 1.171502
snr: 1.159800, var: 1.167678
snr: 1.084103, var: 1.085218
snr: 1.192122, var: 1.194312
snr: 1.114912, var: 1.113378
snr: 1.202695, var: 1.204781
snr: 1.114550, var: 1.116498
snr: 1.194608, var: 1.195977
snr: 1.160523, var: 1.160085
snr: 1.108248, var: 1.107090
snr: 1.151380, var: 1.146813
snr: 1.164731, var: 1.163711
snr: 1.182384, var: 1.182107
snr: 1.136557, var: 1.136062
snr: 1.204491, var: 1.204787
snr: 1.191645, var: 1.189706
snr: 1.143471, var: 1.145075
snr: 1.146313, var: 1.146136
snr: 1.161009, var: 1.160269
snr: 1.138950, var: 1.145668
snr: 1.112730, var: 1.111942
snr: 1.118219, var: 1.112229
snr: 1.160143, var: 1.158057
snr: 1.152615, var: 1.149943
snr: 1.074550, var: 1.074316
snr: 1.171417, var: 1.172293
snr: 1.202983, var: 1.202383
snr: 1.196159, var: 1.199092
snr: 1.148007, var: 1.148228
snr: 1.187305, var: 1.185389
snr: 1.098221, var: 1.092641
snr: 1.115610, var: 1.114360
snr: 1.190974, var: 1.188154
snr: 1.162237, var: 1.163681
snr: 1.230389, var: 1.234034
snr: 1.171049, var: 1.169526
snr: 1.139428, var: 1.135448
snr: 1.136260, var: 1.137546
snr: 1.224882, var: 1.221301
snr: 1.178256, var: 1.175827
snr: 1.110133, var: 1.107054
snr: 1.122227, var: 1.118955
snr: 1.128025, var: 1.126670
snr: 1.112880, var: 1.109941
snr: 1.153492, var: 1.153312
snr: 1.186406, var: 1.185457
snr: 1.161162, var: 1.160892
snr: 1.163351, var: 1.160790
snr: 1.188203, var: 1.194244
snr: 1.226394, var: 1.229906
snr: 1.238284, var: 1.243812
snr: 1.176552, var: 1.177963
snr: 1.197833, var: 1.206365
snr: 1.222875, var: 1.223841
snr: 1.220732, var: 1.222991
snr: 1.168940, var: 1.172359
snr: 1.190084, var: 1.191004
snr: 1.216433, var: 1.220066
snr: 1.259649, var: 1.263190
snr: 1.235867, var: 1.239204
snr: 1.132100, var: 1.133166
snr: 1.162430, var: 1.174115
snr: 1.184307, var: 1.185648
snr: 1.189256, var: 1.187015
snr: 1.232935, var: 1.231929
snr: 1.205874, var: 1.209153
snr: 1.221399, var: 1.226199
snr: 1.141947, var: 1.144351
snr: 1.247487, var: 1.246757
snr: 1.182948, var: 1.184582
snr: 1.260821, var: 1.264762
snr: 1.282169, var: 1.282603
snr: 1.211584, var: 1.223498
snr: 1.179396, var: 1.185925
snr: 1.191038, var: 1.195620
snr: 1.209781, var: 1.209032
snr: 1.238715, var: 1.239895
snr: 1.191985, var: 1.195390
snr: 1.180504, var: 1.180454
snr: 1.169257, var: 1.170446
snr: 1.138220, var: 1.140630
snr: 1.151991, var: 1.151046
snr: 1.192037, var: 1.194638
snr: 1.256153, var: 1.257623
snr: 1.281701, var: 1.286455
snr: 1.254722, var: 1.257097
snr: 1.190820, var: 1.194373
snr: 1.283941, var: 1.287457
snr: 1.241181, var: 1.240761
snr: 1.226108, var: 1.232374
snr: 1.139616, var: 1.141643
snr: 1.098666, var: 1.099790
snr: 1.200423, var: 1.197251
snr: 1.242459, var: 1.248401
snr: 1.141336, var: 1.141068
snr: 1.201337, var: 1.201067
snr: 1.219997, var: 1.249624
snr: 1.187062, var: 1.197791
snr: 1.165547, var: 1.172296
snr: 1.212874, var: 1.214078
snr: 1.254025, var: 1.254802
snr: 1.312966, var: 1.320495
snr: 1.321929, var: 1.328536
