snr: 0.579683, var: 0.887549
snr: 0.549639, var: 0.873313
snr: 0.579358, var: 0.865673
snr: 0.571466, var: 0.886705
snr: 0.578900, var: 0.899467
snr: 0.583930, var: 0.887358
snr: 0.570356, var: 0.827670
snr: 0.567214, var: 0.849491
snr: 0.556920, var: 0.898685
snr: 0.574846, var: 0.893284
snr: 0.546349, var: 0.825771
snr: 0.557588, var: 0.826232
snr: 0.555701, var: 0.890321
snr: 0.585841, var: 0.889531
snr: 0.598668, var: 0.889811
snr: 0.594688, var: 0.873684
snr: 0.578396, var: 0.840738
snr: 0.578525, var: 0.850961
snr: 0.590876, var: 0.900981
snr: 0.555949, var: 0.853058
snr: 0.568474, var: 0.849640
snr: 0.581235, var: 0.854735
snr: 0.577531, var: 0.874911
snr: 0.578919, var: 0.892764
snr: 0.567176, var: 0.860555
snr: 0.585188, var: 0.870204
snr: 0.577132, var: 0.858507
snr: 0.581773, var: 0.876615
snr: 0.588338, var: 0.874996
snr: 0.592868, var: 0.871545
snr: 0.577432, var: 0.838044
snr: 0.570189, var: 0.830716
snr: 0.551676, var: 0.795768
snr: 0.552086, var: 0.794407
snr: 0.571326, var: 0.833533
snr: 0.573960, var: 0.840053
snr: 0.596345, var: 0.874615
snr: 0.626470, var: 0.906914
snr: 0.599498, var: 0.872535
snr: 0.599501, var: 0.892258
snr: 0.568993, var: 0.854380
snr: 0.560234, var: 0.829408
snr: 0.604812, var: 0.891330
snr: 0.586986, var: 0.861864
snr: 0.569802, var: 0.833916
snr: 0.574922, var: 0.837167
snr: 0.550565, var: 0.828621
snr: 0.568027, var: 0.861764
snr: 0.591503, var: 0.890096
snr: 0.604781, var: 0.893778
snr: 0.618775, var: 0.871476
snr: 0.620441, var: 0.892943
snr: 0.590206, var: 0.877427
snr: 0.584073, var: 0.886722
snr: 0.579176, var: 0.849788
snr: 0.576840, var: 0.858300
snr: 0.559483, var: 0.840886
snr: 0.546763, var: 0.801193
snr: 0.538617, var: 0.810660
snr: 0.535975, var: 0.813944
snr: 0.597345, var: 0.854926
snr: 0.636790, var: 0.872728
snr: 0.611890, var: 0.872524
snr: 0.598721, var: 0.862130
snr: 0.589377, var: 0.833228
snr: 0.615684, var: 0.889826
snr: 0.609373, var: 0.926236
snr: 0.586836, var: 0.880082
snr: 0.594313, var: 0.885550
snr: 0.573958, var: 0.830779
snr: 0.584064, var: 0.844920
snr: 0.602142, var: 0.875451
snr: 0.607954, var: 0.927556
snr: 0.575115, var: 0.843874
snr: 0.592304, var: 0.876765
snr: 0.554803, var: 0.850389
snr: 0.596550, var: 0.905027
snr: 0.617361, var: 0.903106
snr: 0.593345, var: 0.883693
snr: 0.599128, var: 0.867422
snr: 0.597472, var: 0.874421
snr: 0.575063, var: 0.825185
snr: 0.591539, var: 0.863537
snr: 0.625807, var: 0.868552
snr: 0.629687, var: 0.884689
snr: 0.626317, var: 0.887653
snr: 0.626024, var: 0.871785
snr: 0.597871, var: 0.858130
snr: 0.566724, var: 0.826106
snr: 0.593017, var: 0.837539
snr: 0.609126, var: 0.871304
snr: 0.611093, var: 0.848298
snr: 0.590503, var: 0.812122
snr: 0.597637, var: 0.876218
snr: 0.600230, var: 0.896255
snr: 0.605227, var: 0.854977
snr: 0.649754, var: 0.896841
snr: 0.643350, var: 0.885060
snr: 0.648795, var: 0.960800
snr: 0.626302, var: 0.896060
snr: 0.628983, var: 0.888488
snr: 0.622760, var: 0.881695
snr: 0.623874, var: 0.868493
snr: 0.622418, var: 0.877812
snr: 0.606771, var: 0.851145
snr: 0.602610, var: 0.839955
snr: 0.626192, var: 0.896897
snr: 0.635852, var: 0.914683
snr: 0.616849, var: 0.879125
snr: 0.647994, var: 0.880612
snr: 0.636813, var: 0.864076
snr: 0.605525, var: 0.860829
snr: 0.626789, var: 0.895736
snr: 0.637717, var: 0.915700
snr: 0.633369, var: 0.908007
snr: 0.604141, var: 0.884424
snr: 0.636286, var: 0.929802
snr: 0.637440, var: 0.908116
snr: 0.637120, var: 0.907425
snr: 0.645677, var: 0.896488
snr: 0.610867, var: 0.878777
snr: 0.619139, var: 0.869033
snr: 0.612580, var: 0.858521
snr: 0.606203, var: 0.831520
snr: 0.637372, var: 0.920161
snr: 0.615445, var: 0.900233
snr: 0.602163, var: 0.873073
snr: 0.615750, var: 0.847618
snr: 0.661134, var: 0.915286
snr: 0.640228, var: 0.878849
snr: 0.623212, var: 0.846707
snr: 0.606140, var: 0.844832
snr: 0.608325, var: 0.833225
snr: 0.581920, var: 0.826442
snr: 0.606760, var: 0.865843
snr: 0.622743, var: 0.876105
snr: 0.635434, var: 0.866251
snr: 0.616112, var: 0.871698
snr: 0.607948, var: 0.852663
snr: 0.633642, var: 0.884422
snr: 0.628023, var: 0.848488
snr: 0.637226, var: 0.863389
snr: 0.650401, var: 0.913400
snr: 0.667499, var: 0.935492
snr: 0.660927, var: 0.869910
snr: 0.655316, var: 0.870834
snr: 0.657217, var: 0.876804
snr: 0.660255, var: 0.906578
snr: 0.636059, var: 0.916920
snr: 0.646527, var: 0.912871
snr: 0.628096, var: 0.919245
snr: 0.624219, var: 0.867447
