snr: 1.028139, var: 1.067389
snr: 1.038940, var: 1.091625
snr: 0.998625, var: 1.033254
snr: 0.968301, var: 0.998568
snr: 1.003690, var: 1.037079
snr: 0.984608, var: 1.017157
snr: 0.986217, var: 1.015774
snr: 1.033673, var: 1.067442
snr: 1.118605, var: 1.156652
snr: 1.054767, var: 1.092790
snr: 1.029274, var: 1.070130
snr: 1.087084, var: 1.132813
snr: 1.064993, var: 1.104411
snr: 1.071261, var: 1.127433
snr: 0.991455, var: 1.031999
snr: 1.008075, var: 1.049443
snr: 1.078906, var: 1.126388
snr: 1.023695, var: 1.073889
snr: 1.044488, var: 1.079381
snr: 1.078872, var: 1.112970
snr: 1.063225, var: 1.113468
snr: 1.033372, var: 1.069905
snr: 1.038837, var: 1.078843
snr: 1.025317, var: 1.063494
snr: 1.079098, var: 1.131714
snr: 1.053429, var: 1.097152
snr: 1.084581, var: 1.128034
snr: 1.077279, var: 1.116757
snr: 1.090992, var: 1.124272
snr: 1.150972, var: 1.191953
snr: 1.100044, var: 1.139538
snr: 1.081761, var: 1.125232
snr: 1.032277, var: 1.065746
snr: 1.002730, var: 1.035196
snr: 1.012234, var: 1.050760
snr: 1.031066, var: 1.062192
snr: 1.041183, var: 1.085067
snr: 1.116732, var: 1.159420
snr: 1.090698, var: 1.126624
snr: 1.030451, var: 1.075400
snr: 1.080474, var: 1.125958
snr: 1.075356, var: 1.123964
snr: 1.041979, var: 1.090044
snr: 1.020235, var: 1.074295
snr: 1.060057, var: 1.101456
snr: 1.040687, var: 1.077507
snr: 0.952999, var: 0.986575
snr: 0.964564, var: 1.016241
snr: 0.974206, var: 1.020154
snr: 1.015521, var: 1.062977
snr: 1.077307, var: 1.123023
snr: 1.038146, var: 1.082776
snr: 1.025235, var: 1.067419
snr: 1.057234, var: 1.095725
snr: 0.993974, var: 1.037212
snr: 1.045936, var: 1.100930
snr: 1.086692, var: 1.150213
snr: 1.071639, var: 1.124647
snr: 1.086296, var: 1.124792
snr: 1.060744, var: 1.102117
snr: 1.041285, var: 1.080068
snr: 1.029775, var: 1.072553
snr: 1.024785, var: 1.064792
snr: 1.019384, var: 1.054819
snr: 1.038881, var: 1.077903
snr: 1.061349, var: 1.103112
snr: 1.040726, var: 1.089472
snr: 1.039061, var: 1.084307
snr: 1.072903, var: 1.108551
snr: 1.057953, var: 1.099738
snr: 0.971373, var: 1.007718
snr: 1.031035, var: 1.075065
snr: 1.067425, var: 1.108093
snr: 1.066870, var: 1.101637
snr: 1.044388, var: 1.089486
snr: 1.031239, var: 1.083188
snr: 1.034120, var: 1.073746
snr: 1.064820, var: 1.106152
snr: 1.148177, var: 1.185711
snr: 1.136807, var: 1.189068
snr: 1.041691, var: 1.094752
snr: 1.025084, var: 1.068951
snr: 1.022120, var: 1.061370
snr: 1.145314, var: 1.197596
snr: 1.124775, var: 1.166111
snr: 1.046319, var: 1.089149
snr: 1.043009, var: 1.086824
snr: 1.049822, var: 1.090313
snr: 1.110371, var: 1.149843
snr: 1.092462, var: 1.127912
snr: 1.065215, var: 1.096793
