(276s) loss_phi: -377.990596,  loss_theta: 1021.454448,  ess_rws: inf,  ess_mu: 1.479469,  ess_local: 2.267915,  density: -5728.822996
(277s) loss_phi: -379.610083,  loss_theta: 1025.937911,  ess_rws: inf,  ess_mu: 1.467756,  ess_local: 2.276221,  density: -5769.698829
(277s) loss_phi: -371.534396,  loss_theta: 1029.403160,  ess_rws: inf,  ess_mu: 1.466979,  ess_local: 2.267702,  density: -5742.851937
(277s) loss_phi: -376.284403,  loss_theta: 1033.866845,  ess_rws: inf,  ess_mu: 1.468442,  ess_local: 2.272372,  density: -5770.427688
(278s) loss_phi: -378.589268,  loss_theta: 1035.089264,  ess_rws: inf,  ess_mu: 1.463818,  ess_local: 2.273583,  density: -5755.654272
(278s) loss_phi: -373.719715,  loss_theta: 1028.095390,  ess_rws: inf,  ess_mu: 1.472316,  ess_local: 2.274052,  density: -5727.267076
(277s) loss_phi: -380.749130,  loss_theta: 1033.855139,  ess_rws: inf,  ess_mu: 1.480272,  ess_local: 2.276784,  density: -5725.107143
(275s) loss_phi: -377.058743,  loss_theta: 1031.558366,  ess_rws: inf,  ess_mu: 1.455723,  ess_local: 2.276796,  density: -5734.919434
(277s) loss_phi: -375.479390,  loss_theta: 1040.954119,  ess_rws: inf,  ess_mu: 1.457154,  ess_local: 2.276553,  density: -5776.409432
(276s) loss_phi: -379.160126,  loss_theta: 1040.703423,  ess_rws: inf,  ess_mu: 1.454805,  ess_local: 2.277846,  density: -5798.965379
(277s) loss_phi: -377.417727,  loss_theta: 1040.942817,  ess_rws: inf,  ess_mu: 1.458832,  ess_local: 2.281088,  density: -5816.019176
(273s) loss_phi: -379.268443,  loss_theta: 1044.946546,  ess_rws: inf,  ess_mu: 1.460247,  ess_local: 2.285619,  density: -5827.178458
(277s) loss_phi: -382.975710,  loss_theta: 1037.454212,  ess_rws: inf,  ess_mu: 1.461822,  ess_local: 2.290204,  density: -5770.851884
(277s) loss_phi: -379.702256,  loss_theta: 1042.375256,  ess_rws: inf,  ess_mu: 1.454878,  ess_local: 2.284460,  density: -5763.078444
(277s) loss_phi: -371.490814,  loss_theta: 1041.565289,  ess_rws: inf,  ess_mu: 1.453566,  ess_local: 2.280044,  density: -5785.066743
(276s) loss_phi: -373.261077,  loss_theta: 1073.868412,  ess_rws: inf,  ess_mu: 1.458945,  ess_local: 2.281562,  density: -5746.629302
(277s) loss_phi: -381.628750,  loss_theta: 1039.483250,  ess_rws: inf,  ess_mu: 1.467687,  ess_local: 2.284992,  density: -5776.156575
(277s) loss_phi: -383.697566,  loss_theta: 1056.340893,  ess_rws: inf,  ess_mu: 1.458810,  ess_local: 2.289904,  density: -5763.597601
(276s) loss_phi: -379.934622,  loss_theta: 1054.354433,  ess_rws: inf,  ess_mu: 1.456261,  ess_local: 2.285959,  density: -5843.620272
(276s) loss_phi: -380.654678,  loss_theta: 1052.887460,  ess_rws: inf,  ess_mu: 1.452483,  ess_local: 2.280949,  density: -5834.531147
(276s) loss_phi: -374.963187,  loss_theta: 1048.104751,  ess_rws: inf,  ess_mu: 1.459798,  ess_local: 2.277455,  density: -5868.030140
(277s) loss_phi: -383.704458,  loss_theta: 1056.169200,  ess_rws: inf,  ess_mu: 1.462667,  ess_local: 2.284042,  density: -5875.878325
(277s) loss_phi: -378.886100,  loss_theta: 1048.808779,  ess_rws: inf,  ess_mu: 1.446039,  ess_local: 2.287087,  density: -5854.708972
(273s) loss_phi: -391.118961,  loss_theta: 1035.833592,  ess_rws: inf,  ess_mu: 1.460228,  ess_local: 2.290659,  density: -5824.563828
(277s) loss_phi: -387.894951,  loss_theta: 1073.694756,  ess_rws: inf,  ess_mu: 1.452855,  ess_local: 2.295158,  density: -5880.791690
(276s) loss_phi: -382.539795,  loss_theta: 1055.573385,  ess_rws: inf,  ess_mu: 1.452722,  ess_local: 2.288522,  density: -5868.735541
