(388s) loss_phi: -499.069086,  loss_theta: 419.641687,  ess_rws: 1.020162,  ess_mu: 1.264892,  ess_local: 1.027805,  density: -761.035837
(387s) loss_phi: -499.288808,  loss_theta: 421.890179,  ess_rws: 1.017484,  ess_mu: 1.267570,  ess_local: 1.028088,  density: -761.149632
(387s) loss_phi: -499.102455,  loss_theta: 419.384772,  ess_rws: 1.018968,  ess_mu: 1.259502,  ess_local: 1.028004,  density: -758.945970
(388s) loss_phi: -498.067579,  loss_theta: 417.599499,  ess_rws: 1.019279,  ess_mu: 1.265113,  ess_local: 1.029303,  density: -757.422240
(387s) loss_phi: -497.713292,  loss_theta: 415.298927,  ess_rws: 1.019800,  ess_mu: 1.270362,  ess_local: 1.028404,  density: -755.006269
(387s) loss_phi: -496.953621,  loss_theta: 414.101600,  ess_rws: 1.018885,  ess_mu: 1.258504,  ess_local: 1.027144,  density: -753.778141
(387s) loss_phi: -497.059910,  loss_theta: 413.807138,  ess_rws: 1.020713,  ess_mu: 1.263671,  ess_local: 1.030457,  density: -753.134897
(389s) loss_phi: -496.605403,  loss_theta: 408.373281,  ess_rws: 1.019585,  ess_mu: 1.264793,  ess_local: 1.027100,  density: -749.744116
(388s) loss_phi: -495.905134,  loss_theta: 409.285978,  ess_rws: 1.019965,  ess_mu: 1.270829,  ess_local: 1.029660,  density: -748.033598
(386s) loss_phi: -494.689302,  loss_theta: 403.271395,  ess_rws: 1.019402,  ess_mu: 1.267462,  ess_local: 1.028784,  density: -743.969595
(383s) loss_phi: -494.531338,  loss_theta: 402.163371,  ess_rws: 1.018576,  ess_mu: 1.269297,  ess_local: 1.029602,  density: -743.974601
(387s) loss_phi: -493.863323,  loss_theta: 397.802802,  ess_rws: 1.019868,  ess_mu: 1.269579,  ess_local: 1.028303,  density: -740.184093
(388s) loss_phi: -492.735978,  loss_theta: 397.233519,  ess_rws: 1.019986,  ess_mu: 1.266777,  ess_local: 1.029187,  density: -740.134778
(388s) loss_phi: -492.496168,  loss_theta: 396.916083,  ess_rws: 1.019737,  ess_mu: 1.270723,  ess_local: 1.027825,  density: -738.378671
(388s) loss_phi: -491.692558,  loss_theta: 393.423562,  ess_rws: 1.019593,  ess_mu: 1.271419,  ess_local: 1.028944,  density: -735.648474
(387s) loss_phi: -491.403987,  loss_theta: 393.172980,  ess_rws: 1.020409,  ess_mu: 1.270173,  ess_local: 1.029728,  density: -734.987200
(388s) loss_phi: -490.921673,  loss_theta: 392.763881,  ess_rws: 1.021344,  ess_mu: 1.277019,  ess_local: 1.028825,  density: -733.010003
(388s) loss_phi: -490.701870,  loss_theta: 392.041293,  ess_rws: 1.021203,  ess_mu: 1.271681,  ess_local: 1.030160,  density: -732.425467
(388s) loss_phi: -489.450050,  loss_theta: 384.433656,  ess_rws: 1.019760,  ess_mu: 1.267313,  ess_local: 1.029603,  density: -727.513381
(388s) loss_phi: -489.249772,  loss_theta: 386.018574,  ess_rws: 1.020280,  ess_mu: 1.269439,  ess_local: 1.029479,  density: -726.015340
(387s) loss_phi: -489.328265,  loss_theta: 387.136674,  ess_rws: 1.020886,  ess_mu: 1.270615,  ess_local: 1.030853,  density: -726.361813
(388s) loss_phi: -488.590894,  loss_theta: 381.459311,  ess_rws: 1.020622,  ess_mu: 1.277026,  ess_local: 1.028612,  density: -722.106464
