(143s) phi_loss: -721.827,  theta_loss: 18756.472,  ess: 4.011
(144s) phi_loss: -718.774,  theta_loss: 18567.719,  ess: 4.004
(144s) phi_loss: -718.935,  theta_loss: 18759.333,  ess: 4.022
(143s) phi_loss: -719.079,  theta_loss: 18947.676,  ess: 4.065
(143s) phi_loss: -719.912,  theta_loss: 18505.275,  ess: 4.066
(143s) phi_loss: -726.763,  theta_loss: 18509.506,  ess: 4.082
(144s) phi_loss: -721.317,  theta_loss: 18845.769,  ess: 4.044
(144s) phi_loss: -726.989,  theta_loss: 18712.487,  ess: 4.066
(143s) phi_loss: -726.970,  theta_loss: 18824.152,  ess: 4.073
(143s) phi_loss: -725.826,  theta_loss: 18784.955,  ess: 4.020
(144s) phi_loss: -719.748,  theta_loss: 18965.329,  ess: 4.059
(143s) phi_loss: -720.488,  theta_loss: 18669.440,  ess: 4.093
(144s) phi_loss: -717.210,  theta_loss: 18918.986,  ess: 4.039
(143s) phi_loss: -726.685,  theta_loss: 18918.803,  ess: 4.114
(143s) phi_loss: -725.870,  theta_loss: 18756.799,  ess: 4.079
(144s) phi_loss: -720.285,  theta_loss: 18703.114,  ess: 4.049
(143s) phi_loss: -719.109,  theta_loss: 18761.021,  ess: 4.075
(144s) phi_loss: -720.867,  theta_loss: 18733.947,  ess: 4.089
(143s) phi_loss: -720.461,  theta_loss: 18803.130,  ess: 4.075
(140s) phi_loss: -723.252,  theta_loss: 18428.290,  ess: 4.038
(139s) phi_loss: -726.588,  theta_loss: 18466.221,  ess: 4.083
(139s) phi_loss: -726.711,  theta_loss: 18928.811,  ess: 4.129
(139s) phi_loss: -725.065,  theta_loss: 18675.132,  ess: 4.067
(139s) phi_loss: -721.131,  theta_loss: 18431.452,  ess: 4.086
(139s) phi_loss: -725.988,  theta_loss: 18622.942,  ess: 4.066
(139s) phi_loss: -727.389,  theta_loss: 18441.178,  ess: 4.090
(140s) phi_loss: -723.575,  theta_loss: 18485.698,  ess: 4.081
(140s) phi_loss: -726.771,  theta_loss: 18794.201,  ess: 4.131
(139s) phi_loss: -725.918,  theta_loss: 18913.551,  ess: 4.128
(139s) phi_loss: -718.086,  theta_loss: 18643.367,  ess: 4.130
(139s) phi_loss: -717.673,  theta_loss: 18570.969,  ess: 4.073
(139s) phi_loss: -716.594,  theta_loss: 18469.089,  ess: 4.112
(139s) phi_loss: -717.180,  theta_loss: 18556.592,  ess: 4.080
(139s) phi_loss: -716.893,  theta_loss: 19021.683,  ess: 4.046
(140s) phi_loss: -724.164,  theta_loss: 18543.634,  ess: 4.081
(140s) phi_loss: -722.725,  theta_loss: 18512.941,  ess: 4.053
