(325s) phi_loss: -830.018,  theta_loss: 1308.873,  ess: 3.786
(326s) phi_loss: -830.367,  theta_loss: 1304.609,  ess: 3.785
(325s) phi_loss: -830.175,  theta_loss: 1306.155,  ess: 3.789
(326s) phi_loss: -829.766,  theta_loss: 1300.900,  ess: 3.785
(326s) phi_loss: -830.061,  theta_loss: 1304.764,  ess: 3.789
(325s) phi_loss: -830.149,  theta_loss: 1305.369,  ess: 3.782
(324s) phi_loss: -829.826,  theta_loss: 1304.740,  ess: 3.786
(325s) phi_loss: -830.368,  theta_loss: 1299.860,  ess: 3.787
(325s) phi_loss: -830.734,  theta_loss: 1299.832,  ess: 3.788
(326s) phi_loss: -830.547,  theta_loss: 1305.185,  ess: 3.788
(326s) phi_loss: -830.338,  theta_loss: 1307.117,  ess: 3.787
(326s) phi_loss: -829.970,  theta_loss: 1307.533,  ess: 3.787
(325s) phi_loss: -830.953,  theta_loss: 1302.491,  ess: 3.787
(325s) phi_loss: -830.393,  theta_loss: 1303.480,  ess: 3.789
(325s) phi_loss: -830.667,  theta_loss: 1304.204,  ess: 3.789
(325s) phi_loss: -830.680,  theta_loss: 1300.997,  ess: 3.783
(325s) phi_loss: -830.299,  theta_loss: 1313.072,  ess: 3.787
(326s) phi_loss: -831.035,  theta_loss: 1308.145,  ess: 3.790
(325s) phi_loss: -830.741,  theta_loss: 1301.469,  ess: 3.788
(324s) phi_loss: -830.643,  theta_loss: 1299.293,  ess: 3.791
(326s) phi_loss: -831.048,  theta_loss: 1303.380,  ess: 3.790
(325s) phi_loss: -829.511,  theta_loss: 1309.886,  ess: 3.788
(326s) phi_loss: -829.603,  theta_loss: 1301.132,  ess: 3.786
(325s) phi_loss: -830.593,  theta_loss: 1299.741,  ess: 3.787
(325s) phi_loss: -830.007,  theta_loss: 1308.850,  ess: 3.791
(325s) phi_loss: -830.248,  theta_loss: 1301.988,  ess: 3.791
(325s) phi_loss: -830.313,  theta_loss: 1301.188,  ess: 3.789
(326s) phi_loss: -830.350,  theta_loss: 1305.538,  ess: 3.789
(326s) phi_loss: -830.167,  theta_loss: 1302.807,  ess: 3.787
(325s) phi_loss: -830.514,  theta_loss: 1298.233,  ess: 3.791
(325s) phi_loss: -830.181,  theta_loss: 1301.923,  ess: 3.789
(325s) phi_loss: -830.216,  theta_loss: 1301.974,  ess: 3.790
(325s) phi_loss: -830.719,  theta_loss: 1305.178,  ess: 3.790
(325s) phi_loss: -830.421,  theta_loss: 1298.405,  ess: 3.791
(326s) phi_loss: -829.747,  theta_loss: 1302.572,  ess: 3.793
(326s) phi_loss: -829.871,  theta_loss: 1295.995,  ess: 3.791
(326s) phi_loss: -830.007,  theta_loss: 1298.249,  ess: 3.791
(325s) phi_loss: -829.865,  theta_loss: 1300.489,  ess: 3.789
(324s) phi_loss: -829.682,  theta_loss: 1305.965,  ess: 3.788
