(8s) phi_loss: -2597.333,  theta_loss: 1732.650,  ess: 1.026
(8s) phi_loss: -2589.461,  theta_loss: 1722.199,  ess: 1.027
(9s) phi_loss: -2579.069,  theta_loss: 1711.019,  ess: 1.027
(9s) phi_loss: -2566.979,  theta_loss: 1698.786,  ess: 1.025
(8s) phi_loss: -2562.044,  theta_loss: 1691.208,  ess: 1.028
(8s) phi_loss: -2558.051,  theta_loss: 1685.553,  ess: 1.026
(8s) phi_loss: -2562.709,  theta_loss: 1688.033,  ess: 1.030
(8s) phi_loss: -2558.347,  theta_loss: 1682.460,  ess: 1.026
(8s) phi_loss: -2551.876,  theta_loss: 1673.580,  ess: 1.028
(8s) phi_loss: -2554.274,  theta_loss: 1674.333,  ess: 1.026
(8s) phi_loss: -2558.826,  theta_loss: 1677.838,  ess: 1.028
(8s) phi_loss: -2531.432,  theta_loss: 1652.747,  ess: 1.028
(8s) phi_loss: -2519.479,  theta_loss: 1641.932,  ess: 1.028
(8s) phi_loss: -2517.021,  theta_loss: 1633.903,  ess: 1.029
(8s) phi_loss: -2520.128,  theta_loss: 1636.365,  ess: 1.029
(8s) phi_loss: -2517.751,  theta_loss: 1633.006,  ess: 1.031
(8s) phi_loss: -2505.261,  theta_loss: 1621.214,  ess: 1.028
(8s) phi_loss: -2503.314,  theta_loss: 1618.783,  ess: 1.028
(8s) phi_loss: -2495.429,  theta_loss: 1609.501,  ess: 1.027
(8s) phi_loss: -2493.113,  theta_loss: 1608.673,  ess: 1.031
(8s) phi_loss: -2487.169,  theta_loss: 1604.920,  ess: 1.029
(8s) phi_loss: -2485.701,  theta_loss: 1605.006,  ess: 1.028
(8s) phi_loss: -2491.925,  theta_loss: 1608.558,  ess: 1.030
(8s) phi_loss: -2474.548,  theta_loss: 1594.746,  ess: 1.030
(9s) phi_loss: -2470.470,  theta_loss: 1589.148,  ess: 1.031
(9s) phi_loss: -2460.738,  theta_loss: 1578.869,  ess: 1.030
(9s) phi_loss: -2461.216,  theta_loss: 1578.213,  ess: 1.028
(9s) phi_loss: -2459.875,  theta_loss: 1578.493,  ess: 1.030
(8s) phi_loss: -2458.951,  theta_loss: 1572.399,  ess: 1.028
(8s) phi_loss: -2461.075,  theta_loss: 1572.144,  ess: 1.030
(8s) phi_loss: -2449.640,  theta_loss: 1556.914,  ess: 1.029
(8s) phi_loss: -2448.007,  theta_loss: 1559.587,  ess: 1.031
(8s) phi_loss: -2446.697,  theta_loss: 1560.233,  ess: 1.030
(8s) phi_loss: -2442.397,  theta_loss: 1553.192,  ess: 1.030
(8s) phi_loss: -2439.299,  theta_loss: 1551.866,  ess: 1.031
(9s) phi_loss: -2428.409,  theta_loss: 1536.605,  ess: 1.030
(8s) phi_loss: -2436.249,  theta_loss: 1543.413,  ess: 1.027
(8s) phi_loss: -2423.623,  theta_loss: 1529.049,  ess: 1.032
(8s) phi_loss: -2436.860,  theta_loss: 1540.634,  ess: 1.030
(8s) phi_loss: -2425.295,  theta_loss: 1526.325,  ess: 1.034
(9s) phi_loss: -2417.190,  theta_loss: 1519.020,  ess: 1.031
(9s) phi_loss: -2414.960,  theta_loss: 1520.748,  ess: 1.032
(9s) phi_loss: -2411.699,  theta_loss: 1519.164,  ess: 1.030
(9s) phi_loss: -2404.458,  theta_loss: 1512.748,  ess: 1.031
(8s) phi_loss: -2398.681,  theta_loss: 1503.354,  ess: 1.032
(8s) phi_loss: -2401.511,  theta_loss: 1502.787,  ess: 1.032
(8s) phi_loss: -2409.237,  theta_loss: 1503.196,  ess: 1.032
(8s) phi_loss: -2395.685,  theta_loss: 1486.209,  ess: 1.033
(8s) phi_loss: -2383.761,  theta_loss: 1475.720,  ess: 1.029
(8s) phi_loss: -2380.819,  theta_loss: 1474.551,  ess: 1.031
(8s) phi_loss: -2377.530,  theta_loss: 1476.476,  ess: 1.030
(8s) phi_loss: -2376.677,  theta_loss: 1471.753,  ess: 1.033
(8s) phi_loss: -2393.056,  theta_loss: 1483.715,  ess: 1.030
(8s) phi_loss: -2384.948,  theta_loss: 1471.779,  ess: 1.032
(8s) phi_loss: -2369.323,  theta_loss: 1460.339,  ess: 1.033
(8s) phi_loss: -2374.380,  theta_loss: 1466.145,  ess: 1.032
(8s) phi_loss: -2364.030,  theta_loss: 1458.892,  ess: 1.035
(8s) phi_loss: -2362.284,  theta_loss: 1457.904,  ess: 1.032
(8s) phi_loss: -2360.634,  theta_loss: 1455.817,  ess: 1.032
(8s) phi_loss: -2380.646,  theta_loss: 1475.816,  ess: 1.034
(8s) phi_loss: -2357.474,  theta_loss: 1449.472,  ess: 1.031
(8s) phi_loss: -2349.457,  theta_loss: 1440.172,  ess: 1.031
(8s) phi_loss: -2343.120,  theta_loss: 1431.109,  ess: 1.032
(8s) phi_loss: -2347.596,  theta_loss: 1436.506,  ess: 1.032
