(113s) phi_loss: -599.524,  theta_loss: 950.808,  ess: 4.319
(114s) phi_loss: -601.244,  theta_loss: 932.144,  ess: 4.314
(114s) phi_loss: -599.664,  theta_loss: 938.261,  ess: 4.322
(114s) phi_loss: -598.955,  theta_loss: 943.691,  ess: 4.326
(112s) phi_loss: -599.405,  theta_loss: 946.049,  ess: 4.334
(113s) phi_loss: -598.066,  theta_loss: 943.735,  ess: 4.326
(114s) phi_loss: -597.988,  theta_loss: 944.430,  ess: 4.336
(114s) phi_loss: -598.112,  theta_loss: 940.053,  ess: 4.310
(112s) phi_loss: -599.069,  theta_loss: 939.302,  ess: 4.304
(110s) phi_loss: -599.693,  theta_loss: 937.792,  ess: 4.316
(106s) phi_loss: -597.618,  theta_loss: 943.457,  ess: 4.320
(106s) phi_loss: -598.644,  theta_loss: 940.316,  ess: 4.323
(107s) phi_loss: -597.954,  theta_loss: 941.866,  ess: 4.337
(109s) phi_loss: -597.735,  theta_loss: 935.818,  ess: 4.330
(114s) phi_loss: -598.045,  theta_loss: 940.681,  ess: 4.333
(113s) phi_loss: -598.026,  theta_loss: 937.945,  ess: 4.318
(113s) phi_loss: -599.130,  theta_loss: 934.600,  ess: 4.301
(114s) phi_loss: -597.155,  theta_loss: 954.476,  ess: 4.338
(114s) phi_loss: -597.341,  theta_loss: 934.784,  ess: 4.329
(114s) phi_loss: -597.170,  theta_loss: 947.213,  ess: 4.312
(114s) phi_loss: -597.995,  theta_loss: 932.205,  ess: 4.330
(114s) phi_loss: -598.509,  theta_loss: 933.756,  ess: 4.346
(114s) phi_loss: -596.544,  theta_loss: 944.091,  ess: 4.331
(114s) phi_loss: -597.436,  theta_loss: 935.206,  ess: 4.331
(109s) phi_loss: -597.375,  theta_loss: 934.346,  ess: 4.321
(110s) phi_loss: -596.847,  theta_loss: 943.433,  ess: 4.330
(113s) phi_loss: -596.079,  theta_loss: 949.439,  ess: 4.341
(114s) phi_loss: -595.688,  theta_loss: 951.146,  ess: 4.340
(114s) phi_loss: -596.098,  theta_loss: 940.060,  ess: 4.314
(113s) phi_loss: -597.024,  theta_loss: 932.726,  ess: 4.323
(114s) phi_loss: -596.628,  theta_loss: 940.735,  ess: 4.323
(114s) phi_loss: -595.677,  theta_loss: 942.539,  ess: 4.342
(114s) phi_loss: -596.126,  theta_loss: 939.693,  ess: 4.344
(114s) phi_loss: -594.467,  theta_loss: 949.274,  ess: 4.316
(106s) phi_loss: -595.532,  theta_loss: 940.930,  ess: 4.338
(107s) phi_loss: -595.414,  theta_loss: 946.741,  ess: 4.337
(106s) phi_loss: -594.702,  theta_loss: 955.704,  ess: 4.334
(106s) phi_loss: -595.138,  theta_loss: 949.562,  ess: 4.340
(106s) phi_loss: -594.822,  theta_loss: 956.685,  ess: 4.336
(106s) phi_loss: -594.163,  theta_loss: 943.206,  ess: 4.350
(106s) phi_loss: -593.946,  theta_loss: 949.849,  ess: 4.345
(106s) phi_loss: -593.712,  theta_loss: 952.513,  ess: 4.335
(107s) phi_loss: -594.313,  theta_loss: 958.251,  ess: 4.359
(106s) phi_loss: -595.183,  theta_loss: 947.171,  ess: 4.341
(109s) phi_loss: -593.735,  theta_loss: 955.504,  ess: 4.319
(114s) phi_loss: -592.464,  theta_loss: 957.367,  ess: 4.326
(114s) phi_loss: -594.697,  theta_loss: 945.145,  ess: 4.330
(114s) phi_loss: -594.327,  theta_loss: 949.253,  ess: 4.341
(112s) phi_loss: -593.670,  theta_loss: 955.205,  ess: 4.343
(114s) phi_loss: -595.033,  theta_loss: 940.670,  ess: 4.329
(114s) phi_loss: -594.976,  theta_loss: 940.558,  ess: 4.316
(110s) phi_loss: -592.462,  theta_loss: 970.672,  ess: 4.360
(106s) phi_loss: -593.921,  theta_loss: 943.492,  ess: 4.376
(109s) phi_loss: -594.087,  theta_loss: 945.445,  ess: 4.360
(106s) phi_loss: -592.606,  theta_loss: 958.363,  ess: 4.343
(106s) phi_loss: -593.516,  theta_loss: 949.163,  ess: 4.362
(107s) phi_loss: -593.836,  theta_loss: 947.816,  ess: 4.360
(113s) phi_loss: -592.592,  theta_loss: 944.919,  ess: 4.374
(111s) phi_loss: -593.593,  theta_loss: 940.991,  ess: 4.355
(114s) phi_loss: -592.432,  theta_loss: 958.832,  ess: 4.362
(114s) phi_loss: -592.874,  theta_loss: 943.269,  ess: 4.359
(114s) phi_loss: -592.722,  theta_loss: 957.256,  ess: 4.340
