EUBOs, ELBOs, ESSs
-171.958726501, -197.227658081, 1.67196851969
-172.298439026, -197.611959839, 1.68844809532
-172.335856628, -197.538078308, 1.68232675791
-172.343107605, -197.965766907, 1.63572869301
-172.184823608, -197.411209106, 1.6545083642
-172.113777161, -197.705383301, 1.65404462814
-172.419100952, -197.467492676, 1.67506914139
-172.131599426, -197.279962158, 1.66218855381
-172.270031738, -197.500924683, 1.67792319059
-172.212619019, -197.566340637, 1.66196045876
-172.253120422, -197.653417969, 1.67666139603
-172.078465271, -197.313725281, 1.68030216694
-172.164979553, -197.443734741, 1.68734943867
-172.20554657, -197.674468994, 1.67962702513
-172.094491577, -197.376777649, 1.68528314829
-172.245446777, -197.817228699, 1.66379691362
-172.209159851, -197.454455566, 1.66954188347
-172.247930908, -197.260665894, 1.67748020887
-172.182563782, -197.341395569, 1.6856877923
-172.112153625, -197.180604553, 1.6722979784
-172.032743835, -197.236669922, 1.67584894896
-172.03000946, -196.846972656, 1.68081902266
-172.118858337, -197.165045166, 1.68842186928
-171.939450073, -196.882359314, 1.67564741373
-172.193406677, -197.071090698, 1.70080156326
-172.056871033, -197.459344482, 1.67644280195
-172.003599548, -197.134965515, 1.67267258167
-172.171092224, -197.25766449, 1.67093297243
-171.844499207, -197.012164307, 1.68551726341
-172.189273071, -197.406813049, 1.68830119371
-171.7740448, -197.211375427, 1.66688367128
-172.117590332, -197.427807617, 1.70427422523
-172.058766174, -197.188909912, 1.68242089748
-171.752494812, -196.919189453, 1.68908878565
-172.101454163, -197.187579346, 1.67202277184
-172.121598816, -197.140953064, 1.67852900028
-172.24045105, -197.463485718, 1.68453264236
-171.892373657, -197.241079712, 1.67840241194
-172.13951416, -197.103935242, 1.68100875616
-172.102923584, -197.19082489, 1.68051702976
-172.05234375, -197.023478699, 1.682800138
-171.958314514, -196.969694519, 1.69867731333
-172.02660675, -197.013859558, 1.68557811975
-171.913607788, -196.790205383, 1.69062421322
-172.106381226, -197.339149475, 1.6923992157
-172.133192444, -196.993933105, 1.68921620846
-172.425968933, -197.254956055, 1.69507056475
-172.109004211, -196.905744934, 1.69465978146
-171.897123718, -196.899571228, 1.70808883905
-172.104168701, -197.420657349, 1.68120484352
-172.232003784, -197.01428833, 1.68575724363
