EUBO, ELBO, ESS, KLs_eta_ex, KLs_eta_in, KL_z_ex, KL_z_in
-191.763800354, -207.674120331, 1.43029527426, 33.0254188919, 15.7468029594, 1.55465484798, 1.12607625842
-191.850101776, -207.130611267, 1.47285132885, 31.66018013, 15.3884524727, 1.54146351814, 1.14364507258
-191.93789032, -207.696063385, 1.44925579906, 32.095063591, 15.4508922386, 1.52284761786, 1.14738609791
-191.934700165, -207.657548065, 1.45461952686, 32.2981279945, 15.5930452156, 1.50080949605, 1.15345112443
-191.899368591, -207.597506714, 1.44849679828, 32.3597841263, 15.6107635117, 1.54134785116, 1.20203041494
-192.293658295, -207.928742523, 1.44925518274, 32.332635231, 16.0003336334, 1.56323489308, 1.22143675923
-191.868210297, -207.974768829, 1.46188351989, 31.8685405731, 15.5064173794, 1.56914508224, 1.18268815517
-191.843843842, -207.799103088, 1.44214649439, 32.1375064659, 15.1549705315, 1.57318652391, 1.11959085047
-191.642946625, -207.250176849, 1.46893947482, 31.6891225243, 15.1670247459, 1.56886940777, 1.13610191345
-191.405865784, -207.21480484, 1.44404587865, 32.0037934303, 14.8770419502, 1.73592483163, 1.10817688346
-191.960786591, -207.879694977, 1.43236464739, 32.825763073, 15.4522006512, 1.56623572171, 1.15826156735
-191.397555695, -206.521387634, 1.46593157887, 31.096542244, 15.2794120979, 1.49977946997, 1.08645614743
-191.790920563, -207.51201355, 1.45777756333, 32.227656498, 15.79288414, 1.51652125418, 1.10788983226
-191.68761734, -207.951357269, 1.45869069219, 32.8816663361, 15.2086693859, 1.60976355433, 1.14966275334
-191.726312561, -207.672993469, 1.45042409062, 32.2249747658, 15.2604437828, 1.52886686385, 1.10381625175
-191.531818237, -207.583842316, 1.44893850088, 31.7520736885, 15.3381890488, 1.56696794987, 1.09420639694
-191.431858063, -207.53009964, 1.44669833422, 33.2111836052, 15.1893640804, 1.50451549113, 1.09320188761
-191.32652832, -207.23112854, 1.45979205012, 32.3363933945, 15.1985328102, 1.52110979438, 1.06772057772
-191.377093048, -206.816121979, 1.45295694232, 31.5309890556, 15.164365921, 1.54575258493, 1.08090942323
-191.207287445, -206.896387177, 1.44780272245, 32.1597032356, 15.1308873081, 1.49656667173, 1.03907806814
-191.079763794, -206.856488037, 1.45845969796, 32.3004201889, 14.6939086342, 1.55000983298, 1.06309596777
-191.205339661, -206.492174683, 1.47467708826, 30.840188961, 15.0030066299, 1.47747693419, 1.03289801359
-191.148642578, -206.383445282, 1.4798154664, 30.7642154121, 15.0416265297, 1.45403446376, 1.02146071613
-191.141577759, -206.463522339, 1.47050217628, 31.8041313553, 14.7473008442, 1.5161054486, 1.05771647513
-191.241212616, -206.990834656, 1.45786354423, 31.9364099312, 14.9358452702, 1.52812365234, 0.986523681283
-191.137884369, -207.113057861, 1.45742374897, 32.4648378372, 14.830231123, 1.41556373358, 1.00111800253
-191.178486786, -206.618735046, 1.47617013931, 31.6879073143, 14.8696270847, 1.42591860712, 1.05823509634
-191.26997345, -206.713172913, 1.44744263768, 31.7045343208, 15.3293278408, 1.41391201794, 1.03123118937
-190.919111328, -206.4089151, 1.46018896699, 31.9628485298, 15.0507125759, 1.47031383157, 1.0003254807
-190.9621138, -206.173898315, 1.47443902254, 31.5466657829, 15.1636724949, 1.3787773937, 0.959855401516
-191.016454468, -206.337103577, 1.47064781904, 31.2550998497, 15.0366886711, 1.43779777527, 1.0052202189
-191.263244934, -207.054075165, 1.45240841746, 31.6921728516, 15.1392636681, 1.44156950891, 1.00445981503
-191.214002991, -207.064262848, 1.43952820897, 33.0800992203, 14.9871687794, 1.55959875166, 1.0187068212
-191.178202057, -206.594765167, 1.44939415932, 31.8473331261, 15.150975132, 1.4513425529, 0.979670109749
-190.80918335, -206.480924988, 1.45619268298, 32.092569294, 14.8044308853, 1.39307542503, 0.978605413437
-190.658008881, -206.106463318, 1.47984450817, 31.4070201683, 14.7650824165, 1.39812902093, 0.949444776177
-190.827782135, -206.644491882, 1.4547501719, 31.6490700722, 14.6066097164, 1.38215628207, 0.947856265903
-190.948516541, -205.956842346, 1.48080269814, 31.1003804398, 15.1773485851, 1.46104248226, 1.00362579107
-191.361786652, -206.731015167, 1.47497936368, 30.9982911873, 15.5099326897, 1.33872076571, 0.974553818107
-190.967126465, -206.413342133, 1.46788273096, 31.3327716637, 14.902668314, 1.347660653, 0.938372711539
-191.050711823, -206.896208344, 1.45621316552, 31.9373065758, 14.9273495102, 1.36151019812, 0.95014392674
-190.766030579, -205.9860495, 1.47212363005, 30.9557835197, 14.6121471786, 1.38693667769, 0.944887140393
-190.845870667, -206.426979675, 1.47069970965, 31.4607946968, 14.7369629669, 1.38501725137, 0.917540279627
-190.681196899, -206.233708344, 1.46917508006, 31.2170785141, 14.6986029148, 1.45403579235, 0.954598653913
-190.751254883, -206.234293213, 1.44717985153, 31.421065464, 14.7723994923, 1.39774235427, 0.987998762727
