EUBO_ave, ELBO_ave, ESS, KLs_eta_ex_ag, KLs_eta_in_ag, KL_z_ex_ag, KL_z_in_ag
-293.5772399902344, -658.665283203125, 1.0326327085494995, 452.1961669921875, 17.4091796875, 84.46449279785156, 17.545272827148438
-299.896484375, -649.8668212890625, 1.0441948175430298, 476.7563171386719, 16.291667938232422, 126.73954772949219, 19.660703659057617
-304.9950256347656, -681.6151733398438, 1.0221083164215088, 485.3296813964844, 16.541397094726562, 104.9988021850586, 19.521202087402344
-287.75823974609375, -553.403564453125, 1.0399023294448853, 411.3244934082031, 16.83739471435547, 85.69168090820312, 17.340442657470703
-277.044921875, -605.094482421875, 1.0697001218795776, 464.5038757324219, 16.089506149291992, 90.65435791015625, 19.674644470214844
-292.33837890625, -650.049072265625, 1.03780996799469, 484.42315673828125, 16.09632682800293, 103.37496185302734, 20.392169952392578
-329.7027587890625, -789.6336669921875, 1.0334248542785645, 628.252197265625, 17.63144874572754, 122.03128814697266, 20.420551300048828
-270.09344482421875, -518.3130493164062, 1.0362058877944946, 389.4288635253906, 15.763402938842773, 101.3327407836914, 19.5659236907959
-289.2318115234375, -566.5068969726562, 1.0277959108352661, 394.91619873046875, 17.095760345458984, 109.09148406982422, 19.307395935058594
-305.84588623046875, -720.954833984375, 1.0076241493225098, 581.851806640625, 17.051057815551758, 99.51628875732422, 20.969383239746094
-333.4420166015625, -682.4813232421875, 1.0538257360458374, 513.6918334960938, 17.013010025024414, 124.2314682006836, 19.7109317779541
-280.6661071777344, -589.8986206054688, 1.0459884405136108, 440.950927734375, 16.588958740234375, 82.03912353515625, 17.830068588256836
-272.94342041015625, -512.9947509765625, 1.047129511833191, 361.4736022949219, 15.526952743530273, 83.2109375, 19.403051376342773
-278.99798583984375, -596.1286010742188, 1.0780308246612549, 433.0867614746094, 16.473499298095703, 89.0456771850586, 19.027179718017578
