symKL_DB_eta: 2.393,  symKL_DB_z: 1.634,  loss: -463.322,  ess: 8.343,  kl_eta_ex: 0.009,  kl_eta_in: 0.006,  kl_z_ex: 0.181,  kl_z_in: 0.083
symKL_DB_eta: 2.335,  symKL_DB_z: 1.439,  loss: -463.253,  ess: 8.351,  kl_eta_ex: 0.007,  kl_eta_in: 0.005,  kl_z_ex: 0.181,  kl_z_in: 0.081
symKL_DB_eta: 2.364,  symKL_DB_z: 1.548,  loss: -463.311,  ess: 8.343,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.181,  kl_z_in: 0.082
symKL_DB_eta: 2.367,  symKL_DB_z: 1.455,  loss: -463.442,  ess: 8.348,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.182,  kl_z_in: 0.082
symKL_DB_eta: 2.390,  symKL_DB_z: 1.392,  loss: -463.076,  ess: 8.335,  kl_eta_ex: 0.007,  kl_eta_in: 0.005,  kl_z_ex: 0.181,  kl_z_in: 0.082
symKL_DB_eta: 2.324,  symKL_DB_z: 1.411,  loss: -462.966,  ess: 8.350,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.180,  kl_z_in: 0.081
symKL_DB_eta: 2.405,  symKL_DB_z: 1.521,  loss: -463.236,  ess: 8.348,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.181,  kl_z_in: 0.082
symKL_DB_eta: 2.344,  symKL_DB_z: 1.750,  loss: -463.298,  ess: 8.349,  kl_eta_ex: 0.009,  kl_eta_in: 0.006,  kl_z_ex: 0.178,  kl_z_in: 0.080
symKL_DB_eta: 2.379,  symKL_DB_z: 1.539,  loss: -463.395,  ess: 8.347,  kl_eta_ex: 0.007,  kl_eta_in: 0.005,  kl_z_ex: 0.177,  kl_z_in: 0.080
symKL_DB_eta: 2.373,  symKL_DB_z: 1.703,  loss: -462.965,  ess: 8.342,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.170,  kl_z_in: 0.079
symKL_DB_eta: 2.420,  symKL_DB_z: 1.637,  loss: -463.127,  ess: 8.333,  kl_eta_ex: 0.009,  kl_eta_in: 0.006,  kl_z_ex: 0.170,  kl_z_in: 0.077
symKL_DB_eta: 2.360,  symKL_DB_z: 1.473,  loss: -463.404,  ess: 8.347,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.172,  kl_z_in: 0.078
symKL_DB_eta: 2.430,  symKL_DB_z: 1.467,  loss: -463.247,  ess: 8.352,  kl_eta_ex: 0.009,  kl_eta_in: 0.006,  kl_z_ex: 0.165,  kl_z_in: 0.076
symKL_DB_eta: 2.403,  symKL_DB_z: 1.509,  loss: -463.192,  ess: 8.344,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.165,  kl_z_in: 0.076
symKL_DB_eta: 2.377,  symKL_DB_z: 1.406,  loss: -462.921,  ess: 8.346,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.165,  kl_z_in: 0.076
symKL_DB_eta: 2.403,  symKL_DB_z: 1.467,  loss: -463.309,  ess: 8.345,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.169,  kl_z_in: 0.077
symKL_DB_eta: 2.382,  symKL_DB_z: 1.306,  loss: -463.447,  ess: 8.349,  kl_eta_ex: 0.009,  kl_eta_in: 0.006,  kl_z_ex: 0.165,  kl_z_in: 0.076
symKL_DB_eta: 2.351,  symKL_DB_z: 1.336,  loss: -463.517,  ess: 8.344,  kl_eta_ex: 0.008,  kl_eta_in: 0.005,  kl_z_ex: 0.164,  kl_z_in: 0.076
symKL_DB_eta: 2.425,  symKL_DB_z: 1.394,  loss: -463.076,  ess: 8.346,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.161,  kl_z_in: 0.075
symKL_DB_eta: 2.452,  symKL_DB_z: 1.462,  loss: -463.582,  ess: 8.343,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.164,  kl_z_in: 0.076
