(252s) loss: 38.012,  ess: 5.671,  kl_eta_ex: 16.095,  kl_eta_in: 38.748,  kl_z_ex: 0.013,  kl_z_in: 0.006
(250s) loss: 37.558,  ess: 5.682,  kl_eta_ex: 15.787,  kl_eta_in: 38.143,  kl_z_ex: 0.012,  kl_z_in: 0.006
(253s) loss: 37.074,  ess: 5.695,  kl_eta_ex: 15.382,  kl_eta_in: 37.342,  kl_z_ex: 0.012,  kl_z_in: 0.006
(250s) loss: 36.582,  ess: 5.703,  kl_eta_ex: 15.142,  kl_eta_in: 36.851,  kl_z_ex: 0.011,  kl_z_in: 0.006
(250s) loss: 36.221,  ess: 5.712,  kl_eta_ex: 14.953,  kl_eta_in: 36.304,  kl_z_ex: 0.011,  kl_z_in: 0.006
(249s) loss: 36.065,  ess: 5.717,  kl_eta_ex: 14.794,  kl_eta_in: 36.011,  kl_z_ex: 0.011,  kl_z_in: 0.006
(256s) loss: 35.723,  ess: 5.733,  kl_eta_ex: 14.517,  kl_eta_in: 35.693,  kl_z_ex: 0.010,  kl_z_in: 0.005
(251s) loss: 35.477,  ess: 5.744,  kl_eta_ex: 14.241,  kl_eta_in: 35.259,  kl_z_ex: 0.010,  kl_z_in: 0.005
(253s) loss: 35.231,  ess: 5.754,  kl_eta_ex: 14.027,  kl_eta_in: 35.206,  kl_z_ex: 0.010,  kl_z_in: 0.005
(252s) loss: 35.012,  ess: 5.775,  kl_eta_ex: 13.801,  kl_eta_in: 35.497,  kl_z_ex: 0.009,  kl_z_in: 0.005
(253s) loss: 35.103,  ess: 5.792,  kl_eta_ex: 13.425,  kl_eta_in: 35.501,  kl_z_ex: 0.009,  kl_z_in: 0.005
(253s) loss: 35.025,  ess: 5.830,  kl_eta_ex: 13.031,  kl_eta_in: 35.918,  kl_z_ex: 0.010,  kl_z_in: 0.005
(252s) loss: 35.230,  ess: 5.894,  kl_eta_ex: 12.596,  kl_eta_in: 36.582,  kl_z_ex: 0.009,  kl_z_in: 0.005
(251s) loss: 35.301,  ess: 5.981,  kl_eta_ex: 11.988,  kl_eta_in: 36.440,  kl_z_ex: 0.009,  kl_z_in: 0.005
(254s) loss: 35.452,  ess: 6.087,  kl_eta_ex: 11.323,  kl_eta_in: 35.920,  kl_z_ex: 0.009,  kl_z_in: 0.004
(250s) loss: 35.480,  ess: 6.185,  kl_eta_ex: 10.673,  kl_eta_in: 35.152,  kl_z_ex: 0.009,  kl_z_in: 0.004
(249s) loss: 35.310,  ess: 6.275,  kl_eta_ex: 9.926,  kl_eta_in: 33.831,  kl_z_ex: 0.008,  kl_z_in: 0.004
(248s) loss: 35.253,  ess: 6.359,  kl_eta_ex: 9.178,  kl_eta_in: 32.343,  kl_z_ex: 0.008,  kl_z_in: 0.004
(250s) loss: 35.097,  ess: 6.458,  kl_eta_ex: 8.448,  kl_eta_in: 31.134,  kl_z_ex: 0.008,  kl_z_in: 0.004
(253s) loss: 35.084,  ess: 6.574,  kl_eta_ex: 7.727,  kl_eta_in: 29.585,  kl_z_ex: 0.008,  kl_z_in: 0.004
(251s) loss: 35.018,  ess: 6.745,  kl_eta_ex: 7.187,  kl_eta_in: 28.598,  kl_z_ex: 0.007,  kl_z_in: 0.004
(251s) loss: 35.264,  ess: 6.959,  kl_eta_ex: 6.873,  kl_eta_in: 27.893,  kl_z_ex: 0.007,  kl_z_in: 0.003
(253s) loss: 35.332,  ess: 7.129,  kl_eta_ex: 6.621,  kl_eta_in: 26.403,  kl_z_ex: 0.007,  kl_z_in: 0.003
(251s) loss: 35.000,  ess: 7.216,  kl_eta_ex: 6.375,  kl_eta_in: 24.450,  kl_z_ex: 0.007,  kl_z_in: 0.003
(251s) loss: 34.796,  ess: 7.286,  kl_eta_ex: 6.185,  kl_eta_in: 22.566,  kl_z_ex: 0.007,  kl_z_in: 0.003
(251s) loss: 34.465,  ess: 7.348,  kl_eta_ex: 5.944,  kl_eta_in: 20.490,  kl_z_ex: 0.007,  kl_z_in: 0.003
(250s) loss: 34.083,  ess: 7.404,  kl_eta_ex: 5.733,  kl_eta_in: 18.655,  kl_z_ex: 0.007,  kl_z_in: 0.003
(253s) loss: 33.656,  ess: 7.457,  kl_eta_ex: 5.522,  kl_eta_in: 16.701,  kl_z_ex: 0.006,  kl_z_in: 0.003
(252s) loss: 33.361,  ess: 7.509,  kl_eta_ex: 5.278,  kl_eta_in: 14.988,  kl_z_ex: 0.006,  kl_z_in: 0.003
(253s) loss: 32.651,  ess: 7.562,  kl_eta_ex: 5.033,  kl_eta_in: 13.225,  kl_z_ex: 0.006,  kl_z_in: 0.002
(255s) loss: 32.045,  ess: 7.614,  kl_eta_ex: 4.790,  kl_eta_in: 11.528,  kl_z_ex: 0.006,  kl_z_in: 0.002
(253s) loss: 31.324,  ess: 7.658,  kl_eta_ex: 4.481,  kl_eta_in: 9.941,  kl_z_ex: 0.005,  kl_z_in: 0.002
(248s) loss: 30.500,  ess: 7.700,  kl_eta_ex: 4.168,  kl_eta_in: 8.337,  kl_z_ex: 0.005,  kl_z_in: 0.002
(248s) loss: 29.914,  ess: 7.746,  kl_eta_ex: 3.718,  kl_eta_in: 6.735,  kl_z_ex: 0.005,  kl_z_in: 0.002
(248s) loss: 29.195,  ess: 7.782,  kl_eta_ex: 3.197,  kl_eta_in: 5.192,  kl_z_ex: 0.004,  kl_z_in: 0.002
(250s) loss: 28.570,  ess: 7.810,  kl_eta_ex: 2.595,  kl_eta_in: 3.800,  kl_z_ex: 0.004,  kl_z_in: 0.002
(251s) loss: 28.379,  ess: 7.853,  kl_eta_ex: 1.939,  kl_eta_in: 2.597,  kl_z_ex: 0.004,  kl_z_in: 0.002
(255s) loss: 28.131,  ess: 7.923,  kl_eta_ex: 1.289,  kl_eta_in: 1.611,  kl_z_ex: 0.004,  kl_z_in: 0.001
(253s) loss: 27.866,  ess: 8.032,  kl_eta_ex: 0.725,  kl_eta_in: 0.858,  kl_z_ex: 0.003,  kl_z_in: 0.001
(249s) loss: 27.880,  ess: 8.279,  kl_eta_ex: 0.312,  kl_eta_in: 0.358,  kl_z_ex: 0.003,  kl_z_in: 0.001
(252s) loss: 27.740,  ess: 8.694,  kl_eta_ex: 0.098,  kl_eta_in: 0.113,  kl_z_ex: 0.003,  kl_z_in: 0.001
(254s) loss: 27.822,  ess: 8.955,  kl_eta_ex: 0.034,  kl_eta_in: 0.040,  kl_z_ex: 0.003,  kl_z_in: 0.001
(253s) loss: 27.839,  ess: 9.043,  kl_eta_ex: 0.020,  kl_eta_in: 0.022,  kl_z_ex: 0.003,  kl_z_in: 0.001
(250s) loss: 27.516,  ess: 9.099,  kl_eta_ex: 0.012,  kl_eta_in: 0.013,  kl_z_ex: 0.003,  kl_z_in: 0.001
(250s) loss: 27.986,  ess: 9.142,  kl_eta_ex: 0.008,  kl_eta_in: 0.008,  kl_z_ex: 0.003,  kl_z_in: 0.001
(249s) loss: 27.897,  ess: 9.167,  kl_eta_ex: 0.006,  kl_eta_in: 0.006,  kl_z_ex: 0.003,  kl_z_in: 0.001
(250s) loss: 27.926,  ess: 9.199,  kl_eta_ex: 0.004,  kl_eta_in: 0.004,  kl_z_ex: 0.003,  kl_z_in: 0.001
(255s) loss: 27.868,  ess: 9.210,  kl_eta_ex: 0.003,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
