symKL_DB_eta: 168.958,  symKL_DB_z: 12.505,  loss: -769.172,  ess: 5.553,  kl_eta_ex: 269.644,  kl_eta_in: 304.333,  kl_z_ex: 16.693,  kl_z_in: 3.256
symKL_DB_eta: 169.616,  symKL_DB_z: 11.963,  loss: -763.778,  ess: 5.555,  kl_eta_ex: 271.258,  kl_eta_in: 299.141,  kl_z_ex: 16.342,  kl_z_in: 3.170
symKL_DB_eta: 168.293,  symKL_DB_z: 11.509,  loss: -760.688,  ess: 5.568,  kl_eta_ex: 269.900,  kl_eta_in: 293.882,  kl_z_ex: 15.366,  kl_z_in: 3.050
symKL_DB_eta: 162.162,  symKL_DB_z: 10.976,  loss: -752.404,  ess: 5.575,  kl_eta_ex: 258.199,  kl_eta_in: 281.622,  kl_z_ex: 13.062,  kl_z_in: 2.783
symKL_DB_eta: 152.044,  symKL_DB_z: 10.297,  loss: -735.582,  ess: 5.582,  kl_eta_ex: 242.575,  kl_eta_in: 270.483,  kl_z_ex: 11.270,  kl_z_in: 2.616
symKL_DB_eta: 140.046,  symKL_DB_z: 8.957,  loss: -710.605,  ess: 5.600,  kl_eta_ex: 219.454,  kl_eta_in: 254.197,  kl_z_ex: 8.904,  kl_z_in: 2.356
symKL_DB_eta: 124.842,  symKL_DB_z: 7.861,  loss: -682.511,  ess: 5.608,  kl_eta_ex: 195.993,  kl_eta_in: 238.532,  kl_z_ex: 7.368,  kl_z_in: 2.140
symKL_DB_eta: 107.801,  symKL_DB_z: 6.650,  loss: -652.611,  ess: 5.627,  kl_eta_ex: 170.171,  kl_eta_in: 219.393,  kl_z_ex: 5.961,  kl_z_in: 1.993
symKL_DB_eta: 95.253,  symKL_DB_z: 5.943,  loss: -627.034,  ess: 5.637,  kl_eta_ex: 147.130,  kl_eta_in: 201.368,  kl_z_ex: 4.887,  kl_z_in: 1.809
symKL_DB_eta: 82.538,  symKL_DB_z: 5.336,  loss: -600.598,  ess: 5.660,  kl_eta_ex: 123.735,  kl_eta_in: 181.457,  kl_z_ex: 4.047,  kl_z_in: 1.666
symKL_DB_eta: 69.421,  symKL_DB_z: 4.622,  loss: -575.571,  ess: 5.685,  kl_eta_ex: 102.188,  kl_eta_in: 162.713,  kl_z_ex: 3.366,  kl_z_in: 1.460
symKL_DB_eta: 56.534,  symKL_DB_z: 4.039,  loss: -552.080,  ess: 5.722,  kl_eta_ex: 80.222,  kl_eta_in: 141.100,  kl_z_ex: 2.578,  kl_z_in: 1.192
symKL_DB_eta: 44.157,  symKL_DB_z: 3.580,  loss: -532.048,  ess: 5.768,  kl_eta_ex: 61.464,  kl_eta_in: 120.625,  kl_z_ex: 1.945,  kl_z_in: 0.950
symKL_DB_eta: 34.815,  symKL_DB_z: 3.222,  loss: -517.434,  ess: 5.825,  kl_eta_ex: 47.995,  kl_eta_in: 102.551,  kl_z_ex: 1.434,  kl_z_in: 0.731
symKL_DB_eta: 28.795,  symKL_DB_z: 2.933,  loss: -508.262,  ess: 5.885,  kl_eta_ex: 39.374,  kl_eta_in: 89.003,  kl_z_ex: 1.116,  kl_z_in: 0.593
symKL_DB_eta: 26.166,  symKL_DB_z: 2.590,  loss: -502.882,  ess: 5.915,  kl_eta_ex: 37.406,  kl_eta_in: 86.227,  kl_z_ex: 0.902,  kl_z_in: 0.487
symKL_DB_eta: 25.590,  symKL_DB_z: 2.413,  loss: -498.652,  ess: 5.921,  kl_eta_ex: 37.712,  kl_eta_in: 86.264,  kl_z_ex: 0.793,  kl_z_in: 0.425
symKL_DB_eta: 25.277,  symKL_DB_z: 2.292,  loss: -494.174,  ess: 5.915,  kl_eta_ex: 37.619,  kl_eta_in: 85.634,  kl_z_ex: 0.726,  kl_z_in: 0.393
symKL_DB_eta: 25.081,  symKL_DB_z: 2.162,  loss: -489.740,  ess: 5.910,  kl_eta_ex: 36.886,  kl_eta_in: 82.623,  kl_z_ex: 0.694,  kl_z_in: 0.387
symKL_DB_eta: 24.620,  symKL_DB_z: 2.125,  loss: -485.632,  ess: 5.907,  kl_eta_ex: 35.896,  kl_eta_in: 79.664,  kl_z_ex: 0.654,  kl_z_in: 0.372
symKL_DB_eta: 24.224,  symKL_DB_z: 2.105,  loss: -482.288,  ess: 5.916,  kl_eta_ex: 34.935,  kl_eta_in: 76.528,  kl_z_ex: 0.626,  kl_z_in: 0.361
symKL_DB_eta: 24.002,  symKL_DB_z: 2.137,  loss: -479.250,  ess: 5.923,  kl_eta_ex: 33.977,  kl_eta_in: 72.617,  kl_z_ex: 0.603,  kl_z_in: 0.341
symKL_DB_eta: 23.539,  symKL_DB_z: 2.121,  loss: -476.838,  ess: 5.929,  kl_eta_ex: 33.082,  kl_eta_in: 69.909,  kl_z_ex: 0.587,  kl_z_in: 0.331
symKL_DB_eta: 23.272,  symKL_DB_z: 2.126,  loss: -474.493,  ess: 5.935,  kl_eta_ex: 32.196,  kl_eta_in: 66.214,  kl_z_ex: 0.569,  kl_z_in: 0.320
symKL_DB_eta: 22.906,  symKL_DB_z: 2.175,  loss: -472.265,  ess: 5.950,  kl_eta_ex: 31.240,  kl_eta_in: 63.339,  kl_z_ex: 0.563,  kl_z_in: 0.314
symKL_DB_eta: 22.534,  symKL_DB_z: 2.098,  loss: -470.375,  ess: 5.961,  kl_eta_ex: 30.240,  kl_eta_in: 59.919,  kl_z_ex: 0.541,  kl_z_in: 0.299
symKL_DB_eta: 22.223,  symKL_DB_z: 1.941,  loss: -468.324,  ess: 5.975,  kl_eta_ex: 29.407,  kl_eta_in: 56.817,  kl_z_ex: 0.527,  kl_z_in: 0.290
symKL_DB_eta: 21.427,  symKL_DB_z: 1.996,  loss: -466.271,  ess: 5.990,  kl_eta_ex: 27.972,  kl_eta_in: 53.944,  kl_z_ex: 0.504,  kl_z_in: 0.277
symKL_DB_eta: 20.924,  symKL_DB_z: 1.870,  loss: -464.284,  ess: 6.001,  kl_eta_ex: 26.968,  kl_eta_in: 51.221,  kl_z_ex: 0.489,  kl_z_in: 0.268
symKL_DB_eta: 20.413,  symKL_DB_z: 1.803,  loss: -462.262,  ess: 6.013,  kl_eta_ex: 26.068,  kl_eta_in: 48.609,  kl_z_ex: 0.479,  kl_z_in: 0.258
symKL_DB_eta: 19.934,  symKL_DB_z: 1.802,  loss: -460.517,  ess: 6.028,  kl_eta_ex: 24.803,  kl_eta_in: 45.764,  kl_z_ex: 0.460,  kl_z_in: 0.248
symKL_DB_eta: 19.198,  symKL_DB_z: 1.800,  loss: -458.587,  ess: 6.044,  kl_eta_ex: 23.631,  kl_eta_in: 43.202,  kl_z_ex: 0.446,  kl_z_in: 0.239
symKL_DB_eta: 18.690,  symKL_DB_z: 1.702,  loss: -456.621,  ess: 6.064,  kl_eta_ex: 22.564,  kl_eta_in: 40.414,  kl_z_ex: 0.428,  kl_z_in: 0.227
symKL_DB_eta: 17.822,  symKL_DB_z: 1.638,  loss: -454.617,  ess: 6.085,  kl_eta_ex: 21.193,  kl_eta_in: 38.133,  kl_z_ex: 0.413,  kl_z_in: 0.219
symKL_DB_eta: 17.209,  symKL_DB_z: 1.517,  loss: -452.757,  ess: 6.106,  kl_eta_ex: 20.040,  kl_eta_in: 35.552,  kl_z_ex: 0.395,  kl_z_in: 0.208
symKL_DB_eta: 16.523,  symKL_DB_z: 1.571,  loss: -450.740,  ess: 6.129,  kl_eta_ex: 18.677,  kl_eta_in: 33.413,  kl_z_ex: 0.386,  kl_z_in: 0.200
symKL_DB_eta: 15.663,  symKL_DB_z: 1.508,  loss: -448.999,  ess: 6.155,  kl_eta_ex: 17.472,  kl_eta_in: 31.023,  kl_z_ex: 0.371,  kl_z_in: 0.190
symKL_DB_eta: 15.038,  symKL_DB_z: 1.439,  loss: -446.888,  ess: 6.186,  kl_eta_ex: 16.289,  kl_eta_in: 29.037,  kl_z_ex: 0.361,  kl_z_in: 0.186
symKL_DB_eta: 14.256,  symKL_DB_z: 1.426,  loss: -444.941,  ess: 6.220,  kl_eta_ex: 14.935,  kl_eta_in: 26.468,  kl_z_ex: 0.347,  kl_z_in: 0.176
symKL_DB_eta: 13.490,  symKL_DB_z: 1.278,  loss: -442.873,  ess: 6.256,  kl_eta_ex: 13.675,  kl_eta_in: 24.286,  kl_z_ex: 0.333,  kl_z_in: 0.167
symKL_DB_eta: 12.685,  symKL_DB_z: 1.265,  loss: -440.962,  ess: 6.300,  kl_eta_ex: 12.437,  kl_eta_in: 22.118,  kl_z_ex: 0.322,  kl_z_in: 0.160
symKL_DB_eta: 11.878,  symKL_DB_z: 1.198,  loss: -438.818,  ess: 6.345,  kl_eta_ex: 11.164,  kl_eta_in: 19.822,  kl_z_ex: 0.308,  kl_z_in: 0.153
symKL_DB_eta: 11.070,  symKL_DB_z: 1.205,  loss: -436.763,  ess: 6.404,  kl_eta_ex: 9.939,  kl_eta_in: 17.549,  kl_z_ex: 0.294,  kl_z_in: 0.143
symKL_DB_eta: 10.332,  symKL_DB_z: 1.113,  loss: -434.911,  ess: 6.468,  kl_eta_ex: 8.656,  kl_eta_in: 15.290,  kl_z_ex: 0.282,  kl_z_in: 0.136
symKL_DB_eta: 9.483,  symKL_DB_z: 1.051,  loss: -433.127,  ess: 6.552,  kl_eta_ex: 7.439,  kl_eta_in: 13.224,  kl_z_ex: 0.268,  kl_z_in: 0.129
symKL_DB_eta: 8.648,  symKL_DB_z: 1.056,  loss: -431.151,  ess: 6.642,  kl_eta_ex: 6.247,  kl_eta_in: 11.148,  kl_z_ex: 0.252,  kl_z_in: 0.119
symKL_DB_eta: 7.753,  symKL_DB_z: 0.993,  loss: -429.128,  ess: 6.761,  kl_eta_ex: 5.121,  kl_eta_in: 9.222,  kl_z_ex: 0.239,  kl_z_in: 0.111
symKL_DB_eta: 6.850,  symKL_DB_z: 0.966,  loss: -427.363,  ess: 6.899,  kl_eta_ex: 4.014,  kl_eta_in: 7.087,  kl_z_ex: 0.226,  kl_z_in: 0.103
symKL_DB_eta: 5.925,  symKL_DB_z: 0.950,  loss: -425.904,  ess: 7.070,  kl_eta_ex: 2.992,  kl_eta_in: 5.246,  kl_z_ex: 0.212,  kl_z_in: 0.095
symKL_DB_eta: 4.985,  symKL_DB_z: 0.891,  loss: -424.515,  ess: 7.307,  kl_eta_ex: 2.112,  kl_eta_in: 3.679,  kl_z_ex: 0.203,  kl_z_in: 0.092
symKL_DB_eta: 4.135,  symKL_DB_z: 0.917,  loss: -423.504,  ess: 7.587,  kl_eta_ex: 1.394,  kl_eta_in: 2.381,  kl_z_ex: 0.193,  kl_z_in: 0.084
symKL_DB_eta: 3.516,  symKL_DB_z: 0.835,  loss: -422.850,  ess: 7.883,  kl_eta_ex: 0.936,  kl_eta_in: 1.623,  kl_z_ex: 0.191,  kl_z_in: 0.081
symKL_DB_eta: 3.235,  symKL_DB_z: 0.884,  loss: -422.514,  ess: 8.024,  kl_eta_ex: 0.668,  kl_eta_in: 1.125,  kl_z_ex: 0.181,  kl_z_in: 0.076
symKL_DB_eta: 3.082,  symKL_DB_z: 0.842,  loss: -422.400,  ess: 8.070,  kl_eta_ex: 0.521,  kl_eta_in: 0.811,  kl_z_ex: 0.178,  kl_z_in: 0.074
symKL_DB_eta: 2.972,  symKL_DB_z: 0.847,  loss: -422.513,  ess: 8.115,  kl_eta_ex: 0.408,  kl_eta_in: 0.619,  kl_z_ex: 0.175,  kl_z_in: 0.071
symKL_DB_eta: 2.870,  symKL_DB_z: 0.795,  loss: -422.263,  ess: 8.155,  kl_eta_ex: 0.319,  kl_eta_in: 0.462,  kl_z_ex: 0.170,  kl_z_in: 0.068
symKL_DB_eta: 2.782,  symKL_DB_z: 0.798,  loss: -422.234,  ess: 8.187,  kl_eta_ex: 0.248,  kl_eta_in: 0.336,  kl_z_ex: 0.166,  kl_z_in: 0.067
symKL_DB_eta: 2.678,  symKL_DB_z: 0.762,  loss: -422.271,  ess: 8.222,  kl_eta_ex: 0.193,  kl_eta_in: 0.258,  kl_z_ex: 0.162,  kl_z_in: 0.065
symKL_DB_eta: 2.621,  symKL_DB_z: 0.788,  loss: -422.132,  ess: 8.245,  kl_eta_ex: 0.154,  kl_eta_in: 0.202,  kl_z_ex: 0.160,  kl_z_in: 0.064
symKL_DB_eta: 2.572,  symKL_DB_z: 0.784,  loss: -422.094,  ess: 8.272,  kl_eta_ex: 0.119,  kl_eta_in: 0.149,  kl_z_ex: 0.158,  kl_z_in: 0.063
symKL_DB_eta: 2.492,  symKL_DB_z: 0.781,  loss: -422.191,  ess: 8.297,  kl_eta_ex: 0.096,  kl_eta_in: 0.119,  kl_z_ex: 0.154,  kl_z_in: 0.062
symKL_DB_eta: 2.423,  symKL_DB_z: 0.764,  loss: -422.284,  ess: 8.314,  kl_eta_ex: 0.078,  kl_eta_in: 0.089,  kl_z_ex: 0.155,  kl_z_in: 0.060
symKL_DB_eta: 2.393,  symKL_DB_z: 0.739,  loss: -422.039,  ess: 8.332,  kl_eta_ex: 0.060,  kl_eta_in: 0.071,  kl_z_ex: 0.149,  kl_z_in: 0.059
symKL_DB_eta: 2.359,  symKL_DB_z: 0.765,  loss: -422.199,  ess: 8.346,  kl_eta_ex: 0.046,  kl_eta_in: 0.051,  kl_z_ex: 0.149,  kl_z_in: 0.057
symKL_DB_eta: 2.329,  symKL_DB_z: 0.752,  loss: -422.069,  ess: 8.358,  kl_eta_ex: 0.037,  kl_eta_in: 0.041,  kl_z_ex: 0.148,  kl_z_in: 0.058
