(382s) loss: 26.623,  ess: 6.685,  kl_eta_ex: 2.171,  kl_eta_in: 0.916,  kl_z_ex: 0.008,  kl_z_in: 0.002
(382s) loss: 26.599,  ess: 6.694,  kl_eta_ex: 2.156,  kl_eta_in: 0.912,  kl_z_ex: 0.007,  kl_z_in: 0.002
(383s) loss: 26.561,  ess: 6.695,  kl_eta_ex: 2.117,  kl_eta_in: 0.905,  kl_z_ex: 0.007,  kl_z_in: 0.002
(382s) loss: 26.679,  ess: 6.698,  kl_eta_ex: 2.123,  kl_eta_in: 0.897,  kl_z_ex: 0.007,  kl_z_in: 0.002
(383s) loss: 26.516,  ess: 6.710,  kl_eta_ex: 2.100,  kl_eta_in: 0.895,  kl_z_ex: 0.007,  kl_z_in: 0.002
(382s) loss: 26.604,  ess: 6.708,  kl_eta_ex: 2.093,  kl_eta_in: 0.887,  kl_z_ex: 0.007,  kl_z_in: 0.002
(383s) loss: 26.589,  ess: 6.714,  kl_eta_ex: 2.087,  kl_eta_in: 0.881,  kl_z_ex: 0.007,  kl_z_in: 0.002
(382s) loss: 26.522,  ess: 6.718,  kl_eta_ex: 2.081,  kl_eta_in: 0.876,  kl_z_ex: 0.008,  kl_z_in: 0.002
(383s) loss: 26.522,  ess: 6.719,  kl_eta_ex: 2.052,  kl_eta_in: 0.871,  kl_z_ex: 0.006,  kl_z_in: 0.002
(385s) loss: 26.569,  ess: 6.723,  kl_eta_ex: 2.037,  kl_eta_in: 0.867,  kl_z_ex: 0.007,  kl_z_in: 0.002
(383s) loss: 26.521,  ess: 6.723,  kl_eta_ex: 2.011,  kl_eta_in: 0.860,  kl_z_ex: 0.007,  kl_z_in: 0.002
(382s) loss: 26.595,  ess: 6.728,  kl_eta_ex: 2.013,  kl_eta_in: 0.859,  kl_z_ex: 0.007,  kl_z_in: 0.002
(382s) loss: 26.563,  ess: 6.730,  kl_eta_ex: 2.002,  kl_eta_in: 0.853,  kl_z_ex: 0.007,  kl_z_in: 0.002
(382s) loss: 26.611,  ess: 6.737,  kl_eta_ex: 1.998,  kl_eta_in: 0.849,  kl_z_ex: 0.006,  kl_z_in: 0.002
(382s) loss: 26.607,  ess: 6.737,  kl_eta_ex: 1.995,  kl_eta_in: 0.845,  kl_z_ex: 0.006,  kl_z_in: 0.002
(384s) loss: 26.548,  ess: 6.741,  kl_eta_ex: 1.979,  kl_eta_in: 0.842,  kl_z_ex: 0.006,  kl_z_in: 0.002
(383s) loss: 26.586,  ess: 6.742,  kl_eta_ex: 1.967,  kl_eta_in: 0.841,  kl_z_ex: 0.006,  kl_z_in: 0.002
(384s) loss: 26.460,  ess: 6.753,  kl_eta_ex: 1.939,  kl_eta_in: 0.833,  kl_z_ex: 0.006,  kl_z_in: 0.001
(382s) loss: 26.565,  ess: 6.737,  kl_eta_ex: 1.934,  kl_eta_in: 0.831,  kl_z_ex: 0.006,  kl_z_in: 0.002
(382s) loss: 26.530,  ess: 6.747,  kl_eta_ex: 1.934,  kl_eta_in: 0.831,  kl_z_ex: 0.006,  kl_z_in: 0.001
(383s) loss: 26.534,  ess: 6.758,  kl_eta_ex: 1.927,  kl_eta_in: 0.829,  kl_z_ex: 0.006,  kl_z_in: 0.001
(382s) loss: 26.421,  ess: 6.752,  kl_eta_ex: 1.911,  kl_eta_in: 0.824,  kl_z_ex: 0.006,  kl_z_in: 0.001
(382s) loss: 26.546,  ess: 6.757,  kl_eta_ex: 1.903,  kl_eta_in: 0.822,  kl_z_ex: 0.006,  kl_z_in: 0.001
(382s) loss: 26.522,  ess: 6.759,  kl_eta_ex: 1.891,  kl_eta_in: 0.818,  kl_z_ex: 0.006,  kl_z_in: 0.001
(382s) loss: 26.411,  ess: 6.760,  kl_eta_ex: 1.881,  kl_eta_in: 0.818,  kl_z_ex: 0.005,  kl_z_in: 0.001
(384s) loss: 26.447,  ess: 6.752,  kl_eta_ex: 1.899,  kl_eta_in: 0.815,  kl_z_ex: 0.006,  kl_z_in: 0.001
(383s) loss: 26.473,  ess: 6.762,  kl_eta_ex: 1.873,  kl_eta_in: 0.811,  kl_z_ex: 0.005,  kl_z_in: 0.001
(382s) loss: 26.577,  ess: 6.766,  kl_eta_ex: 1.881,  kl_eta_in: 0.812,  kl_z_ex: 0.005,  kl_z_in: 0.001
(382s) loss: 26.551,  ess: 6.767,  kl_eta_ex: 1.869,  kl_eta_in: 0.810,  kl_z_ex: 0.005,  kl_z_in: 0.001
(383s) loss: 26.425,  ess: 6.771,  kl_eta_ex: 1.856,  kl_eta_in: 0.811,  kl_z_ex: 0.005,  kl_z_in: 0.001
(381s) loss: 26.542,  ess: 6.765,  kl_eta_ex: 1.846,  kl_eta_in: 0.803,  kl_z_ex: 0.005,  kl_z_in: 0.001
(383s) loss: 26.476,  ess: 6.777,  kl_eta_ex: 1.848,  kl_eta_in: 0.801,  kl_z_ex: 0.005,  kl_z_in: 0.001
(382s) loss: 26.506,  ess: 6.769,  kl_eta_ex: 1.852,  kl_eta_in: 0.803,  kl_z_ex: 0.005,  kl_z_in: 0.001
(383s) loss: 26.466,  ess: 6.780,  kl_eta_ex: 1.828,  kl_eta_in: 0.798,  kl_z_ex: 0.005,  kl_z_in: 0.001
(383s) loss: 26.486,  ess: 6.776,  kl_eta_ex: 1.829,  kl_eta_in: 0.797,  kl_z_ex: 0.005,  kl_z_in: 0.001
(383s) loss: 26.430,  ess: 6.774,  kl_eta_ex: 1.836,  kl_eta_in: 0.796,  kl_z_ex: 0.004,  kl_z_in: 0.001
(383s) loss: 26.511,  ess: 6.779,  kl_eta_ex: 1.827,  kl_eta_in: 0.792,  kl_z_ex: 0.005,  kl_z_in: 0.001
(382s) loss: 26.441,  ess: 6.782,  kl_eta_ex: 1.822,  kl_eta_in: 0.790,  kl_z_ex: 0.005,  kl_z_in: 0.001
(382s) loss: 26.526,  ess: 6.776,  kl_eta_ex: 1.825,  kl_eta_in: 0.789,  kl_z_ex: 0.004,  kl_z_in: 0.001
(382s) loss: 26.462,  ess: 6.787,  kl_eta_ex: 1.819,  kl_eta_in: 0.783,  kl_z_ex: 0.005,  kl_z_in: 0.001
(382s) loss: 26.444,  ess: 6.790,  kl_eta_ex: 1.818,  kl_eta_in: 0.784,  kl_z_ex: 0.005,  kl_z_in: 0.001
(382s) loss: 26.438,  ess: 6.790,  kl_eta_ex: 1.808,  kl_eta_in: 0.779,  kl_z_ex: 0.005,  kl_z_in: 0.001
(382s) loss: 26.470,  ess: 6.786,  kl_eta_ex: 1.806,  kl_eta_in: 0.779,  kl_z_ex: 0.005,  kl_z_in: 0.001
(382s) loss: 26.496,  ess: 6.786,  kl_eta_ex: 1.806,  kl_eta_in: 0.776,  kl_z_ex: 0.005,  kl_z_in: 0.001
(381s) loss: 26.501,  ess: 6.793,  kl_eta_ex: 1.801,  kl_eta_in: 0.773,  kl_z_ex: 0.004,  kl_z_in: 0.001
(382s) loss: 26.437,  ess: 6.803,  kl_eta_ex: 1.784,  kl_eta_in: 0.772,  kl_z_ex: 0.004,  kl_z_in: 0.001
(382s) loss: 26.414,  ess: 6.800,  kl_eta_ex: 1.784,  kl_eta_in: 0.771,  kl_z_ex: 0.004,  kl_z_in: 0.001
(382s) loss: 26.403,  ess: 6.801,  kl_eta_ex: 1.789,  kl_eta_in: 0.769,  kl_z_ex: 0.004,  kl_z_in: 0.001
(383s) loss: 26.378,  ess: 6.801,  kl_eta_ex: 1.777,  kl_eta_in: 0.766,  kl_z_ex: 0.004,  kl_z_in: 0.001
(383s) loss: 26.506,  ess: 6.796,  kl_eta_ex: 1.782,  kl_eta_in: 0.767,  kl_z_ex: 0.004,  kl_z_in: 0.001
(382s) loss: 26.341,  ess: 6.799,  kl_eta_ex: 1.768,  kl_eta_in: 0.762,  kl_z_ex: 0.004,  kl_z_in: 0.001
(384s) loss: 26.371,  ess: 6.807,  kl_eta_ex: 1.752,  kl_eta_in: 0.759,  kl_z_ex: 0.004,  kl_z_in: 0.001
(383s) loss: 26.388,  ess: 6.806,  kl_eta_ex: 1.755,  kl_eta_in: 0.758,  kl_z_ex: 0.004,  kl_z_in: 0.001
(383s) loss: 26.324,  ess: 6.804,  kl_eta_ex: 1.769,  kl_eta_in: 0.757,  kl_z_ex: 0.004,  kl_z_in: 0.001
(383s) loss: 26.441,  ess: 6.810,  kl_eta_ex: 1.767,  kl_eta_in: 0.759,  kl_z_ex: 0.004,  kl_z_in: 0.001
(383s) loss: 26.335,  ess: 6.821,  kl_eta_ex: 1.746,  kl_eta_in: 0.754,  kl_z_ex: 0.004,  kl_z_in: 0.001
(382s) loss: 26.352,  ess: 6.816,  kl_eta_ex: 1.746,  kl_eta_in: 0.752,  kl_z_ex: 0.004,  kl_z_in: 0.001
(382s) loss: 26.308,  ess: 6.818,  kl_eta_ex: 1.731,  kl_eta_in: 0.750,  kl_z_ex: 0.004,  kl_z_in: 0.001
(383s) loss: 26.308,  ess: 6.816,  kl_eta_ex: 1.719,  kl_eta_in: 0.747,  kl_z_ex: 0.004,  kl_z_in: 0.001
(382s) loss: 26.368,  ess: 6.817,  kl_eta_ex: 1.742,  kl_eta_in: 0.748,  kl_z_ex: 0.004,  kl_z_in: 0.001
(384s) loss: 26.351,  ess: 6.819,  kl_eta_ex: 1.727,  kl_eta_in: 0.744,  kl_z_ex: 0.004,  kl_z_in: 0.001
(382s) loss: 26.324,  ess: 6.826,  kl_eta_ex: 1.711,  kl_eta_in: 0.741,  kl_z_ex: 0.004,  kl_z_in: 0.001
(383s) loss: 26.338,  ess: 6.817,  kl_eta_ex: 1.708,  kl_eta_in: 0.740,  kl_z_ex: 0.004,  kl_z_in: 0.001
(382s) loss: 26.324,  ess: 6.828,  kl_eta_ex: 1.719,  kl_eta_in: 0.742,  kl_z_ex: 0.004,  kl_z_in: 0.001
(383s) loss: 26.384,  ess: 6.822,  kl_eta_ex: 1.727,  kl_eta_in: 0.741,  kl_z_ex: 0.004,  kl_z_in: 0.001
(382s) loss: 26.301,  ess: 6.827,  kl_eta_ex: 1.716,  kl_eta_in: 0.736,  kl_z_ex: 0.004,  kl_z_in: 0.001
(382s) loss: 26.312,  ess: 6.825,  kl_eta_ex: 1.708,  kl_eta_in: 0.734,  kl_z_ex: 0.004,  kl_z_in: 0.001
(383s) loss: 26.388,  ess: 6.817,  kl_eta_ex: 1.723,  kl_eta_in: 0.734,  kl_z_ex: 0.004,  kl_z_in: 0.001
(384s) loss: 26.347,  ess: 6.825,  kl_eta_ex: 1.706,  kl_eta_in: 0.733,  kl_z_ex: 0.004,  kl_z_in: 0.001
(383s) loss: 26.322,  ess: 6.825,  kl_eta_ex: 1.719,  kl_eta_in: 0.730,  kl_z_ex: 0.004,  kl_z_in: 0.001
(382s) loss: 26.332,  ess: 6.834,  kl_eta_ex: 1.704,  kl_eta_in: 0.732,  kl_z_ex: 0.004,  kl_z_in: 0.001
(383s) loss: 26.282,  ess: 6.831,  kl_eta_ex: 1.696,  kl_eta_in: 0.727,  kl_z_ex: 0.004,  kl_z_in: 0.001
(383s) loss: 26.337,  ess: 6.831,  kl_eta_ex: 1.706,  kl_eta_in: 0.728,  kl_z_ex: 0.004,  kl_z_in: 0.001
(382s) loss: 26.338,  ess: 6.833,  kl_eta_ex: 1.699,  kl_eta_in: 0.728,  kl_z_ex: 0.004,  kl_z_in: 0.001
