(364s) loss: 26.454,  ess: 6.827,  kl_eta_ex: 1.826,  kl_eta_in: 0.723,  kl_z_ex: 0.006,  kl_z_in: 0.002
(364s) loss: 26.422,  ess: 6.819,  kl_eta_ex: 1.844,  kl_eta_in: 0.723,  kl_z_ex: 0.006,  kl_z_in: 0.001
(365s) loss: 26.476,  ess: 6.827,  kl_eta_ex: 1.825,  kl_eta_in: 0.720,  kl_z_ex: 0.006,  kl_z_in: 0.002
(364s) loss: 26.417,  ess: 6.828,  kl_eta_ex: 1.812,  kl_eta_in: 0.718,  kl_z_ex: 0.006,  kl_z_in: 0.001
(364s) loss: 26.391,  ess: 6.832,  kl_eta_ex: 1.801,  kl_eta_in: 0.714,  kl_z_ex: 0.005,  kl_z_in: 0.001
(365s) loss: 26.453,  ess: 6.838,  kl_eta_ex: 1.810,  kl_eta_in: 0.714,  kl_z_ex: 0.005,  kl_z_in: 0.001
(365s) loss: 26.379,  ess: 6.840,  kl_eta_ex: 1.788,  kl_eta_in: 0.709,  kl_z_ex: 0.005,  kl_z_in: 0.001
(365s) loss: 26.381,  ess: 6.844,  kl_eta_ex: 1.771,  kl_eta_in: 0.706,  kl_z_ex: 0.005,  kl_z_in: 0.001
(364s) loss: 26.323,  ess: 6.839,  kl_eta_ex: 1.769,  kl_eta_in: 0.706,  kl_z_ex: 0.006,  kl_z_in: 0.001
(365s) loss: 26.340,  ess: 6.854,  kl_eta_ex: 1.764,  kl_eta_in: 0.702,  kl_z_ex: 0.006,  kl_z_in: 0.001
(364s) loss: 26.352,  ess: 6.848,  kl_eta_ex: 1.761,  kl_eta_in: 0.701,  kl_z_ex: 0.005,  kl_z_in: 0.001
(365s) loss: 26.307,  ess: 6.853,  kl_eta_ex: 1.741,  kl_eta_in: 0.697,  kl_z_ex: 0.005,  kl_z_in: 0.001
(365s) loss: 26.259,  ess: 6.852,  kl_eta_ex: 1.735,  kl_eta_in: 0.693,  kl_z_ex: 0.005,  kl_z_in: 0.001
(365s) loss: 26.440,  ess: 6.853,  kl_eta_ex: 1.744,  kl_eta_in: 0.697,  kl_z_ex: 0.005,  kl_z_in: 0.001
(365s) loss: 26.414,  ess: 6.851,  kl_eta_ex: 1.738,  kl_eta_in: 0.694,  kl_z_ex: 0.005,  kl_z_in: 0.001
(365s) loss: 26.328,  ess: 6.860,  kl_eta_ex: 1.723,  kl_eta_in: 0.691,  kl_z_ex: 0.004,  kl_z_in: 0.001
(364s) loss: 26.236,  ess: 6.875,  kl_eta_ex: 1.717,  kl_eta_in: 0.688,  kl_z_ex: 0.005,  kl_z_in: 0.001
(364s) loss: 26.286,  ess: 6.870,  kl_eta_ex: 1.700,  kl_eta_in: 0.686,  kl_z_ex: 0.004,  kl_z_in: 0.001
(364s) loss: 26.263,  ess: 6.872,  kl_eta_ex: 1.701,  kl_eta_in: 0.686,  kl_z_ex: 0.005,  kl_z_in: 0.001
(364s) loss: 26.302,  ess: 6.872,  kl_eta_ex: 1.686,  kl_eta_in: 0.681,  kl_z_ex: 0.005,  kl_z_in: 0.001
(365s) loss: 26.248,  ess: 6.879,  kl_eta_ex: 1.686,  kl_eta_in: 0.679,  kl_z_ex: 0.005,  kl_z_in: 0.001
(365s) loss: 26.300,  ess: 6.878,  kl_eta_ex: 1.687,  kl_eta_in: 0.680,  kl_z_ex: 0.005,  kl_z_in: 0.001
(364s) loss: 26.155,  ess: 6.885,  kl_eta_ex: 1.669,  kl_eta_in: 0.675,  kl_z_ex: 0.004,  kl_z_in: 0.001
(364s) loss: 26.175,  ess: 6.887,  kl_eta_ex: 1.668,  kl_eta_in: 0.676,  kl_z_ex: 0.005,  kl_z_in: 0.001
(365s) loss: 26.216,  ess: 6.896,  kl_eta_ex: 1.655,  kl_eta_in: 0.670,  kl_z_ex: 0.005,  kl_z_in: 0.001
(365s) loss: 26.230,  ess: 6.893,  kl_eta_ex: 1.658,  kl_eta_in: 0.670,  kl_z_ex: 0.004,  kl_z_in: 0.001
(365s) loss: 26.235,  ess: 6.899,  kl_eta_ex: 1.650,  kl_eta_in: 0.670,  kl_z_ex: 0.004,  kl_z_in: 0.001
(364s) loss: 26.200,  ess: 6.902,  kl_eta_ex: 1.632,  kl_eta_in: 0.666,  kl_z_ex: 0.004,  kl_z_in: 0.001
(364s) loss: 26.124,  ess: 6.907,  kl_eta_ex: 1.636,  kl_eta_in: 0.664,  kl_z_ex: 0.004,  kl_z_in: 0.001
(365s) loss: 26.170,  ess: 6.904,  kl_eta_ex: 1.618,  kl_eta_in: 0.663,  kl_z_ex: 0.004,  kl_z_in: 0.001
(365s) loss: 26.161,  ess: 6.907,  kl_eta_ex: 1.621,  kl_eta_in: 0.658,  kl_z_ex: 0.005,  kl_z_in: 0.001
(365s) loss: 26.236,  ess: 6.916,  kl_eta_ex: 1.612,  kl_eta_in: 0.659,  kl_z_ex: 0.004,  kl_z_in: 0.001
(365s) loss: 26.150,  ess: 6.928,  kl_eta_ex: 1.598,  kl_eta_in: 0.656,  kl_z_ex: 0.004,  kl_z_in: 0.001
(365s) loss: 26.211,  ess: 6.930,  kl_eta_ex: 1.604,  kl_eta_in: 0.654,  kl_z_ex: 0.004,  kl_z_in: 0.001
(364s) loss: 26.203,  ess: 6.928,  kl_eta_ex: 1.599,  kl_eta_in: 0.652,  kl_z_ex: 0.005,  kl_z_in: 0.001
(364s) loss: 26.083,  ess: 6.935,  kl_eta_ex: 1.570,  kl_eta_in: 0.648,  kl_z_ex: 0.004,  kl_z_in: 0.001
(365s) loss: 26.154,  ess: 6.938,  kl_eta_ex: 1.559,  kl_eta_in: 0.645,  kl_z_ex: 0.004,  kl_z_in: 0.001
(365s) loss: 26.134,  ess: 6.948,  kl_eta_ex: 1.538,  kl_eta_in: 0.641,  kl_z_ex: 0.004,  kl_z_in: 0.001
(365s) loss: 26.091,  ess: 6.959,  kl_eta_ex: 1.503,  kl_eta_in: 0.635,  kl_z_ex: 0.004,  kl_z_in: 0.001
(365s) loss: 26.160,  ess: 6.960,  kl_eta_ex: 1.494,  kl_eta_in: 0.629,  kl_z_ex: 0.004,  kl_z_in: 0.001
(364s) loss: 26.064,  ess: 6.966,  kl_eta_ex: 1.481,  kl_eta_in: 0.625,  kl_z_ex: 0.004,  kl_z_in: 0.001
(364s) loss: 26.104,  ess: 6.981,  kl_eta_ex: 1.434,  kl_eta_in: 0.620,  kl_z_ex: 0.003,  kl_z_in: 0.001
(365s) loss: 26.060,  ess: 6.987,  kl_eta_ex: 1.419,  kl_eta_in: 0.614,  kl_z_ex: 0.004,  kl_z_in: 0.001
(364s) loss: 26.022,  ess: 6.993,  kl_eta_ex: 1.398,  kl_eta_in: 0.608,  kl_z_ex: 0.004,  kl_z_in: 0.001
(364s) loss: 25.984,  ess: 7.003,  kl_eta_ex: 1.384,  kl_eta_in: 0.605,  kl_z_ex: 0.004,  kl_z_in: 0.001
(364s) loss: 26.105,  ess: 7.022,  kl_eta_ex: 1.346,  kl_eta_in: 0.598,  kl_z_ex: 0.004,  kl_z_in: 0.001
(364s) loss: 26.062,  ess: 7.030,  kl_eta_ex: 1.315,  kl_eta_in: 0.593,  kl_z_ex: 0.004,  kl_z_in: 0.001
(365s) loss: 26.036,  ess: 7.039,  kl_eta_ex: 1.298,  kl_eta_in: 0.588,  kl_z_ex: 0.003,  kl_z_in: 0.001
(365s) loss: 26.072,  ess: 7.053,  kl_eta_ex: 1.277,  kl_eta_in: 0.582,  kl_z_ex: 0.004,  kl_z_in: 0.001
(364s) loss: 26.070,  ess: 7.068,  kl_eta_ex: 1.264,  kl_eta_in: 0.580,  kl_z_ex: 0.004,  kl_z_in: 0.001
(364s) loss: 25.981,  ess: 7.068,  kl_eta_ex: 1.231,  kl_eta_in: 0.572,  kl_z_ex: 0.004,  kl_z_in: 0.001
(364s) loss: 26.058,  ess: 7.082,  kl_eta_ex: 1.212,  kl_eta_in: 0.564,  kl_z_ex: 0.004,  kl_z_in: 0.001
(365s) loss: 26.041,  ess: 7.088,  kl_eta_ex: 1.194,  kl_eta_in: 0.560,  kl_z_ex: 0.004,  kl_z_in: 0.001
(365s) loss: 26.047,  ess: 7.102,  kl_eta_ex: 1.179,  kl_eta_in: 0.557,  kl_z_ex: 0.003,  kl_z_in: 0.001
(366s) loss: 26.018,  ess: 7.107,  kl_eta_ex: 1.169,  kl_eta_in: 0.555,  kl_z_ex: 0.004,  kl_z_in: 0.001
(364s) loss: 25.990,  ess: 7.119,  kl_eta_ex: 1.149,  kl_eta_in: 0.552,  kl_z_ex: 0.003,  kl_z_in: 0.001
(364s) loss: 26.002,  ess: 7.128,  kl_eta_ex: 1.136,  kl_eta_in: 0.548,  kl_z_ex: 0.003,  kl_z_in: 0.001
(364s) loss: 26.011,  ess: 7.137,  kl_eta_ex: 1.123,  kl_eta_in: 0.547,  kl_z_ex: 0.004,  kl_z_in: 0.001
(363s) loss: 26.106,  ess: 7.143,  kl_eta_ex: 1.106,  kl_eta_in: 0.543,  kl_z_ex: 0.003,  kl_z_in: 0.001
(364s) loss: 26.076,  ess: 7.150,  kl_eta_ex: 1.096,  kl_eta_in: 0.544,  kl_z_ex: 0.003,  kl_z_in: 0.001
(365s) loss: 26.054,  ess: 7.159,  kl_eta_ex: 1.092,  kl_eta_in: 0.541,  kl_z_ex: 0.003,  kl_z_in: 0.001
(365s) loss: 25.951,  ess: 7.167,  kl_eta_ex: 1.077,  kl_eta_in: 0.538,  kl_z_ex: 0.004,  kl_z_in: 0.001
(364s) loss: 26.092,  ess: 7.170,  kl_eta_ex: 1.064,  kl_eta_in: 0.536,  kl_z_ex: 0.003,  kl_z_in: 0.001
(365s) loss: 26.048,  ess: 7.182,  kl_eta_ex: 1.058,  kl_eta_in: 0.534,  kl_z_ex: 0.003,  kl_z_in: 0.001
(364s) loss: 26.040,  ess: 7.192,  kl_eta_ex: 1.040,  kl_eta_in: 0.527,  kl_z_ex: 0.003,  kl_z_in: 0.001
(365s) loss: 26.034,  ess: 7.199,  kl_eta_ex: 1.007,  kl_eta_in: 0.518,  kl_z_ex: 0.003,  kl_z_in: 0.001
(365s) loss: 25.971,  ess: 7.221,  kl_eta_ex: 0.967,  kl_eta_in: 0.511,  kl_z_ex: 0.003,  kl_z_in: 0.001
(365s) loss: 25.994,  ess: 7.228,  kl_eta_ex: 0.953,  kl_eta_in: 0.507,  kl_z_ex: 0.003,  kl_z_in: 0.001
(365s) loss: 26.032,  ess: 7.241,  kl_eta_ex: 0.926,  kl_eta_in: 0.502,  kl_z_ex: 0.003,  kl_z_in: 0.001
(364s) loss: 25.914,  ess: 7.258,  kl_eta_ex: 0.903,  kl_eta_in: 0.493,  kl_z_ex: 0.003,  kl_z_in: 0.001
(364s) loss: 25.986,  ess: 7.273,  kl_eta_ex: 0.865,  kl_eta_in: 0.483,  kl_z_ex: 0.003,  kl_z_in: 0.001
(364s) loss: 25.840,  ess: 7.290,  kl_eta_ex: 0.841,  kl_eta_in: 0.475,  kl_z_ex: 0.003,  kl_z_in: 0.001
(365s) loss: 25.934,  ess: 7.304,  kl_eta_ex: 0.826,  kl_eta_in: 0.473,  kl_z_ex: 0.003,  kl_z_in: 0.001
(363s) loss: 25.820,  ess: 7.322,  kl_eta_ex: 0.794,  kl_eta_in: 0.468,  kl_z_ex: 0.003,  kl_z_in: 0.001
(364s) loss: 25.797,  ess: 7.322,  kl_eta_ex: 0.780,  kl_eta_in: 0.464,  kl_z_ex: 0.003,  kl_z_in: 0.001
(364s) loss: 25.818,  ess: 7.337,  kl_eta_ex: 0.756,  kl_eta_in: 0.461,  kl_z_ex: 0.003,  kl_z_in: 0.001
(363s) loss: 25.882,  ess: 7.342,  kl_eta_ex: 0.744,  kl_eta_in: 0.458,  kl_z_ex: 0.002,  kl_z_in: 0.001
(364s) loss: 25.824,  ess: 7.350,  kl_eta_ex: 0.725,  kl_eta_in: 0.453,  kl_z_ex: 0.003,  kl_z_in: 0.001
(364s) loss: 25.823,  ess: 7.356,  kl_eta_ex: 0.714,  kl_eta_in: 0.451,  kl_z_ex: 0.002,  kl_z_in: 0.001
(364s) loss: 25.807,  ess: 7.358,  kl_eta_ex: 0.703,  kl_eta_in: 0.449,  kl_z_ex: 0.003,  kl_z_in: 0.001
(364s) loss: 25.796,  ess: 7.374,  kl_eta_ex: 0.690,  kl_eta_in: 0.448,  kl_z_ex: 0.003,  kl_z_in: 0.001
(365s) loss: 25.767,  ess: 7.372,  kl_eta_ex: 0.690,  kl_eta_in: 0.448,  kl_z_ex: 0.003,  kl_z_in: 0.001
(364s) loss: 25.870,  ess: 7.378,  kl_eta_ex: 0.681,  kl_eta_in: 0.443,  kl_z_ex: 0.002,  kl_z_in: 0.001
(364s) loss: 25.782,  ess: 7.394,  kl_eta_ex: 0.670,  kl_eta_in: 0.440,  kl_z_ex: 0.003,  kl_z_in: 0.001
(364s) loss: 25.708,  ess: 7.389,  kl_eta_ex: 0.653,  kl_eta_in: 0.439,  kl_z_ex: 0.002,  kl_z_in: 0.001
(364s) loss: 25.682,  ess: 7.399,  kl_eta_ex: 0.653,  kl_eta_in: 0.437,  kl_z_ex: 0.002,  kl_z_in: 0.001
(364s) loss: 25.676,  ess: 7.400,  kl_eta_ex: 0.645,  kl_eta_in: 0.432,  kl_z_ex: 0.002,  kl_z_in: 0.001
(365s) loss: 25.666,  ess: 7.411,  kl_eta_ex: 0.642,  kl_eta_in: 0.431,  kl_z_ex: 0.002,  kl_z_in: 0.001
(365s) loss: 25.741,  ess: 7.410,  kl_eta_ex: 0.638,  kl_eta_in: 0.431,  kl_z_ex: 0.003,  kl_z_in: 0.001
(364s) loss: 25.707,  ess: 7.410,  kl_eta_ex: 0.631,  kl_eta_in: 0.429,  kl_z_ex: 0.002,  kl_z_in: 0.001
(364s) loss: 25.682,  ess: 7.405,  kl_eta_ex: 0.625,  kl_eta_in: 0.427,  kl_z_ex: 0.002,  kl_z_in: 0.001
(363s) loss: 25.742,  ess: 7.407,  kl_eta_ex: 0.620,  kl_eta_in: 0.425,  kl_z_ex: 0.002,  kl_z_in: 0.001
(364s) loss: 25.726,  ess: 7.411,  kl_eta_ex: 0.621,  kl_eta_in: 0.426,  kl_z_ex: 0.002,  kl_z_in: 0.001
(364s) loss: 25.732,  ess: 7.426,  kl_eta_ex: 0.621,  kl_eta_in: 0.426,  kl_z_ex: 0.002,  kl_z_in: 0.001
(365s) loss: 25.673,  ess: 7.423,  kl_eta_ex: 0.619,  kl_eta_in: 0.426,  kl_z_ex: 0.002,  kl_z_in: 0.001
