eubo: -362.490,  elbo: -417.876,  ess: 1.116
eubo: -355.072,  elbo: -409.733,  ess: 1.110
eubo: -361.014,  elbo: -417.620,  ess: 1.121
eubo: -359.195,  elbo: -413.061,  ess: 1.114
eubo: -364.319,  elbo: -418.344,  ess: 1.114
eubo: -360.594,  elbo: -414.529,  ess: 1.122
eubo: -357.288,  elbo: -407.944,  ess: 1.123
eubo: -360.059,  elbo: -415.189,  ess: 1.100
eubo: -361.162,  elbo: -414.416,  ess: 1.121
eubo: -357.498,  elbo: -410.839,  ess: 1.109
eubo: -362.290,  elbo: -418.640,  ess: 1.105
eubo: -357.342,  elbo: -412.315,  ess: 1.108
eubo: -359.454,  elbo: -412.464,  ess: 1.115
eubo: -359.684,  elbo: -412.711,  ess: 1.113
eubo: -360.706,  elbo: -416.223,  ess: 1.125
eubo: -361.212,  elbo: -417.887,  ess: 1.120
eubo: -359.747,  elbo: -412.340,  ess: 1.123
eubo: -359.711,  elbo: -413.557,  ess: 1.123
eubo: -363.818,  elbo: -418.809,  ess: 1.111
eubo: -361.738,  elbo: -419.767,  ess: 1.109
eubo: -360.443,  elbo: -415.248,  ess: 1.123
eubo: -358.278,  elbo: -412.361,  ess: 1.106
eubo: -360.891,  elbo: -415.552,  ess: 1.101
eubo: -361.543,  elbo: -419.192,  ess: 1.118
eubo: -359.099,  elbo: -412.957,  ess: 1.115
eubo: -360.748,  elbo: -418.141,  ess: 1.117
eubo: -357.955,  elbo: -409.410,  ess: 1.131
eubo: -358.792,  elbo: -412.456,  ess: 1.111
eubo: -358.869,  elbo: -414.276,  ess: 1.116
eubo: -361.858,  elbo: -415.915,  ess: 1.121
eubo: -364.121,  elbo: -414.224,  ess: 1.117
eubo: -354.303,  elbo: -403.602,  ess: 1.109
eubo: -359.699,  elbo: -413.037,  ess: 1.110
eubo: -351.241,  elbo: -399.277,  ess: 1.117
eubo: -360.163,  elbo: -414.614,  ess: 1.119
eubo: -357.051,  elbo: -408.734,  ess: 1.109
eubo: -352.686,  elbo: -405.203,  ess: 1.104
eubo: -362.180,  elbo: -419.073,  ess: 1.105
eubo: -359.864,  elbo: -413.638,  ess: 1.116
eubo: -363.116,  elbo: -416.908,  ess: 1.115
eubo: -359.496,  elbo: -412.768,  ess: 1.096
eubo: -355.352,  elbo: -406.183,  ess: 1.122
eubo: -356.713,  elbo: -405.109,  ess: 1.117
eubo: -356.075,  elbo: -409.303,  ess: 1.095
eubo: -357.372,  elbo: -408.227,  ess: 1.122
eubo: -360.488,  elbo: -412.688,  ess: 1.117
eubo: -358.938,  elbo: -410.050,  ess: 1.112
eubo: -363.820,  elbo: -424.378,  ess: 1.108
eubo: -360.136,  elbo: -412.458,  ess: 1.113
eubo: -362.184,  elbo: -415.262,  ess: 1.108
eubo: -354.212,  elbo: -409.991,  ess: 1.132
eubo: -356.540,  elbo: -409.299,  ess: 1.111
eubo: -360.723,  elbo: -414.887,  ess: 1.114
eubo: -360.235,  elbo: -414.771,  ess: 1.106
eubo: -357.670,  elbo: -415.912,  ess: 1.121
eubo: -358.361,  elbo: -411.684,  ess: 1.116
eubo: -353.585,  elbo: -404.723,  ess: 1.113
eubo: -361.432,  elbo: -416.564,  ess: 1.126
eubo: -356.662,  elbo: -410.661,  ess: 1.117
eubo: -359.039,  elbo: -411.456,  ess: 1.104
eubo: -361.039,  elbo: -413.577,  ess: 1.136
eubo: -355.932,  elbo: -408.141,  ess: 1.116
eubo: -359.199,  elbo: -413.265,  ess: 1.116
eubo: -355.190,  elbo: -412.116,  ess: 1.118
eubo: -362.853,  elbo: -414.421,  ess: 1.104
eubo: -361.433,  elbo: -415.915,  ess: 1.119
eubo: -356.592,  elbo: -411.277,  ess: 1.115
eubo: -361.458,  elbo: -415.019,  ess: 1.104
eubo: -362.426,  elbo: -417.609,  ess: 1.107
eubo: -356.230,  elbo: -405.953,  ess: 1.123
eubo: -361.143,  elbo: -415.912,  ess: 1.120
eubo: -360.966,  elbo: -412.477,  ess: 1.133
eubo: -351.844,  elbo: -404.573,  ess: 1.115
eubo: -363.682,  elbo: -419.579,  ess: 1.125
