(173s) loss: 31.921,  ess: 9.138,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.008,  kl_z_in: 0.003
(173s) loss: 31.767,  ess: 9.185,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.008,  kl_z_in: 0.003
(173s) loss: 31.703,  ess: 9.205,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.008,  kl_z_in: 0.003
(174s) loss: 31.721,  ess: 9.174,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.008,  kl_z_in: 0.003
(197s) loss: 31.536,  ess: 9.130,  kl_eta_ex: 0.006,  kl_eta_in: 0.002,  kl_z_ex: 0.007,  kl_z_in: 0.003
(198s) loss: 31.509,  ess: 9.206,  kl_eta_ex: 0.006,  kl_eta_in: 0.002,  kl_z_ex: 0.008,  kl_z_in: 0.003
(198s) loss: 31.503,  ess: 9.152,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.008,  kl_z_in: 0.003
(198s) loss: 31.248,  ess: 9.186,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.007,  kl_z_in: 0.002
(198s) loss: 31.219,  ess: 9.173,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.007,  kl_z_in: 0.003
(186s) loss: 31.131,  ess: 9.193,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.007,  kl_z_in: 0.002
(191s) loss: 31.232,  ess: 9.223,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.007,  kl_z_in: 0.002
(197s) loss: 31.121,  ess: 9.151,  kl_eta_ex: 0.006,  kl_eta_in: 0.002,  kl_z_ex: 0.007,  kl_z_in: 0.002
(197s) loss: 31.011,  ess: 9.183,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.007,  kl_z_in: 0.002
(197s) loss: 30.917,  ess: 9.191,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.007,  kl_z_in: 0.002
(198s) loss: 30.820,  ess: 9.198,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.007,  kl_z_in: 0.002
(197s) loss: 30.814,  ess: 9.200,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.007,  kl_z_in: 0.002
(198s) loss: 30.672,  ess: 9.189,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.007,  kl_z_in: 0.002
(198s) loss: 30.756,  ess: 9.180,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.006,  kl_z_in: 0.002
(199s) loss: 30.615,  ess: 9.217,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.007,  kl_z_in: 0.002
(198s) loss: 30.675,  ess: 9.196,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.006,  kl_z_in: 0.002
(184s) loss: 30.599,  ess: 9.212,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.006,  kl_z_in: 0.002
(173s) loss: 30.439,  ess: 9.214,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.006,  kl_z_in: 0.002
(173s) loss: 30.571,  ess: 9.210,  kl_eta_ex: 0.006,  kl_eta_in: 0.002,  kl_z_ex: 0.006,  kl_z_in: 0.002
(173s) loss: 30.342,  ess: 9.182,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.006,  kl_z_in: 0.002
(173s) loss: 30.397,  ess: 9.175,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.006,  kl_z_in: 0.002
(173s) loss: 30.298,  ess: 9.195,  kl_eta_ex: 0.006,  kl_eta_in: 0.002,  kl_z_ex: 0.006,  kl_z_in: 0.002
(173s) loss: 30.285,  ess: 9.162,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.006,  kl_z_in: 0.002
(173s) loss: 30.375,  ess: 9.173,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.006,  kl_z_in: 0.002
(173s) loss: 30.209,  ess: 9.207,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.006,  kl_z_in: 0.002
(184s) loss: 30.164,  ess: 9.187,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.006,  kl_z_in: 0.002
(198s) loss: 30.083,  ess: 9.220,  kl_eta_ex: 0.006,  kl_eta_in: 0.002,  kl_z_ex: 0.006,  kl_z_in: 0.002
(198s) loss: 30.064,  ess: 9.120,  kl_eta_ex: 0.006,  kl_eta_in: 0.002,  kl_z_ex: 0.005,  kl_z_in: 0.002
(198s) loss: 30.134,  ess: 9.194,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.006,  kl_z_in: 0.002
(198s) loss: 30.132,  ess: 9.184,  kl_eta_ex: 0.006,  kl_eta_in: 0.002,  kl_z_ex: 0.006,  kl_z_in: 0.002
(198s) loss: 29.834,  ess: 9.181,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.005,  kl_z_in: 0.002
(186s) loss: 30.013,  ess: 9.203,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.006,  kl_z_in: 0.002
(179s) loss: 30.075,  ess: 9.161,  kl_eta_ex: 0.006,  kl_eta_in: 0.002,  kl_z_ex: 0.005,  kl_z_in: 0.002
(180s) loss: 30.004,  ess: 9.205,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.005,  kl_z_in: 0.002
(176s) loss: 29.859,  ess: 9.149,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.005,  kl_z_in: 0.002
(194s) loss: 29.911,  ess: 9.196,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.005,  kl_z_in: 0.002
(197s) loss: 29.817,  ess: 9.196,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.005,  kl_z_in: 0.002
(180s) loss: 29.801,  ess: 9.220,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.005,  kl_z_in: 0.002
(179s) loss: 29.783,  ess: 9.213,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.005,  kl_z_in: 0.002
(197s) loss: 29.763,  ess: 9.190,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.005,  kl_z_in: 0.002
(197s) loss: 29.754,  ess: 9.193,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.005,  kl_z_in: 0.002
(180s) loss: 29.767,  ess: 9.194,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.005,  kl_z_in: 0.002
(180s) loss: 29.583,  ess: 9.210,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.005,  kl_z_in: 0.002
(180s) loss: 29.598,  ess: 9.214,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.005,  kl_z_in: 0.002
(180s) loss: 29.757,  ess: 9.220,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.005,  kl_z_in: 0.002
(180s) loss: 29.887,  ess: 9.190,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.005,  kl_z_in: 0.002
(193s) loss: 29.521,  ess: 9.200,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.005,  kl_z_in: 0.001
(197s) loss: 29.814,  ess: 9.223,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.005,  kl_z_in: 0.002
(197s) loss: 29.717,  ess: 9.210,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.005,  kl_z_in: 0.002
(187s) loss: 29.595,  ess: 9.170,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(179s) loss: 29.583,  ess: 9.199,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(180s) loss: 29.713,  ess: 9.189,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(179s) loss: 29.574,  ess: 9.218,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(197s) loss: 29.476,  ess: 9.138,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(197s) loss: 29.527,  ess: 9.204,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(197s) loss: 29.509,  ess: 9.174,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(197s) loss: 29.528,  ess: 9.177,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(182s) loss: 29.512,  ess: 9.232,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(180s) loss: 29.394,  ess: 9.143,  kl_eta_ex: 0.006,  kl_eta_in: 0.002,  kl_z_ex: 0.004,  kl_z_in: 0.001
(173s) loss: 29.335,  ess: 9.217,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(173s) loss: 29.395,  ess: 9.197,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(175s) loss: 29.480,  ess: 9.218,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(184s) loss: 29.239,  ess: 9.145,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(198s) loss: 29.337,  ess: 9.215,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(197s) loss: 29.449,  ess: 9.207,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(197s) loss: 29.459,  ess: 9.147,  kl_eta_ex: 0.006,  kl_eta_in: 0.002,  kl_z_ex: 0.004,  kl_z_in: 0.001
(183s) loss: 29.236,  ess: 9.211,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(185s) loss: 29.438,  ess: 9.194,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(197s) loss: 29.287,  ess: 9.190,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(198s) loss: 29.279,  ess: 9.218,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(193s) loss: 29.310,  ess: 9.201,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(195s) loss: 29.332,  ess: 9.163,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(197s) loss: 29.398,  ess: 9.197,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(182s) loss: 29.236,  ess: 9.214,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(180s) loss: 29.124,  ess: 9.170,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(194s) loss: 29.195,  ess: 9.198,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(197s) loss: 29.233,  ess: 9.213,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(197s) loss: 29.243,  ess: 9.204,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(198s) loss: 29.201,  ess: 9.219,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(198s) loss: 29.329,  ess: 9.183,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.004,  kl_z_in: 0.001
(197s) loss: 29.177,  ess: 9.188,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(197s) loss: 29.244,  ess: 9.185,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(187s) loss: 29.129,  ess: 9.189,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(172s) loss: 29.052,  ess: 9.208,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(172s) loss: 29.099,  ess: 9.225,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(172s) loss: 29.066,  ess: 9.156,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(172s) loss: 29.116,  ess: 9.191,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(179s) loss: 29.175,  ess: 9.213,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(196s) loss: 29.047,  ess: 9.222,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(197s) loss: 29.069,  ess: 9.203,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(197s) loss: 29.022,  ess: 9.161,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(196s) loss: 28.975,  ess: 9.218,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(197s) loss: 28.957,  ess: 9.227,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(182s) loss: 28.957,  ess: 9.227,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(179s) loss: 28.972,  ess: 9.189,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(180s) loss: 28.939,  ess: 9.181,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(180s) loss: 28.846,  ess: 9.202,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(180s) loss: 28.814,  ess: 9.193,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(180s) loss: 28.825,  ess: 9.206,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(180s) loss: 28.764,  ess: 9.143,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
(179s) loss: 28.873,  ess: 9.196,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.003,  kl_z_in: 0.001
