SymKL	EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
2272.644	-768.831	-3446.860	1.482	184.161	762.641	18.819	15.833
2275.217	-753.748	-3440.131	1.484	184.053	766.983	19.232	16.059
2280.700	-750.729	-3439.924	1.481	185.451	766.217	19.805	16.891
2268.959	-769.980	-3449.818	1.480	183.385	774.704	18.714	15.939
2264.345	-776.016	-3447.073	1.483	183.763	750.131	19.305	16.596
2268.389	-761.588	-3434.714	1.481	183.289	755.598	19.085	15.830
2281.239	-747.368	-3438.977	1.484	183.140	763.650	19.201	16.248
2266.943	-761.187	-3434.118	1.486	183.095	769.564	18.885	15.817
2280.196	-744.103	-3434.393	1.486	183.065	759.967	19.425	16.890
2279.026	-746.032	-3433.181	1.481	183.662	774.037	19.148	17.149
2278.270	-752.214	-3439.238	1.485	183.017	769.932	19.281	16.272
2265.557	-758.372	-3435.206	1.482	182.913	763.177	19.019	16.184
2270.614	-750.196	-3432.542	1.484	182.050	754.954	18.968	16.127
2263.574	-753.114	-3424.471	1.484	181.527	754.774	18.932	16.166
2278.805	-743.300	-3431.046	1.483	182.706	771.445	18.916	16.325
2267.445	-755.203	-3428.588	1.482	181.665	772.676	18.795	15.750
2270.226	-743.080	-3421.201	1.486	182.080	778.604	18.727	16.893
2245.414	-761.750	-3415.173	1.484	182.439	750.481	19.539	16.597
2255.001	-757.968	-3419.261	1.486	182.136	762.628	19.069	15.798
2260.637	-749.828	-3421.913	1.486	181.231	768.523	18.288	16.045
2259.441	-744.997	-3415.964	1.487	181.793	753.355	19.055	16.665
2261.173	-750.923	-3418.357	1.486	181.874	782.438	18.914	15.319
2258.014	-751.792	-3417.705	1.485	181.125	762.924	18.764	15.832
2251.720	-759.135	-3417.873	1.486	179.936	764.016	18.298	15.743
2245.664	-770.081	-3422.840	1.484	181.032	771.014	18.712	15.514
2250.871	-760.345	-3418.916	1.486	180.012	766.635	18.709	16.224
2256.173	-747.978	-3413.487	1.485	180.426	763.871	18.456	15.747
2257.795	-729.554	-3399.833	1.487	180.462	783.599	18.641	16.150
2264.522	-731.845	-3404.360	1.486	180.968	784.794	18.643	16.290
2248.739	-741.154	-3397.666	1.487	180.606	772.706	18.046	15.902
2253.639	-738.436	-3397.868	1.489	179.123	771.503	18.111	15.916
2259.204	-731.312	-3396.996	1.485	179.310	763.279	18.653	16.352
2269.857	-725.499	-3405.822	1.486	179.342	762.126	18.391	15.567
2250.187	-742.800	-3400.102	1.486	179.168	768.116	18.718	16.123
2249.416	-742.562	-3400.642	1.485	178.887	767.203	18.612	16.288
2239.753	-759.013	-3399.630	1.487	178.968	766.201	18.817	16.275
2253.058	-740.791	-3403.824	1.487	179.697	767.769	18.740	16.394
2263.957	-730.504	-3405.821	1.487	179.249	770.444	18.608	15.725
2254.723	-731.463	-3392.913	1.487	178.675	763.013	18.223	15.541
2269.911	-724.771	-3404.875	1.486	178.262	787.420	17.977	15.463
2255.726	-728.538	-3394.970	1.489	178.872	764.864	19.097	16.167
2247.016	-728.982	-3386.362	1.486	177.984	765.630	18.096	15.468
2243.753	-731.252	-3383.341	1.486	177.847	771.039	18.807	16.763
2245.077	-730.275	-3383.253	1.487	178.851	768.726	19.207	16.485
2244.043	-732.894	-3384.698	1.490	177.345	772.150	17.460	15.189
2237.372	-725.641	-3367.362	1.488	177.726	777.803	18.669	15.705
2245.415	-726.089	-3381.033	1.491	177.908	760.992	18.237	15.464
2246.345	-735.452	-3389.620	1.487	176.762	767.575	18.685	15.593
2247.597	-734.487	-3389.568	1.489	178.224	775.040	18.403	15.830
2256.215	-714.237	-3380.679	1.491	177.040	755.726	18.260	15.543
2245.422	-725.878	-3377.333	1.490	177.760	771.563	18.569	15.766
2247.682	-722.245	-3374.089	1.487	177.237	752.703	18.238	15.617
2234.800	-740.675	-3376.886	1.487	176.618	757.439	17.652	14.849
2251.103	-716.071	-3373.505	1.488	175.657	762.146	17.891	14.992
2242.499	-722.830	-3372.783	1.490	176.090	777.146	17.618	14.903
2245.847	-716.558	-3369.063	1.492	176.807	769.506	18.320	15.715
2245.942	-713.367	-3367.679	1.490	175.483	772.814	17.471	15.125
2236.045	-721.256	-3365.123	1.489	175.086	764.578	17.126	15.575
2227.823	-720.668	-3359.352	1.495	174.944	758.705	18.042	15.674
2248.435	-710.393	-3365.840	1.489	175.862	770.012	18.082	15.106
