symKL_DB_eta: 2.196,  symKL_DB_z: 1.615,  loss: -421.953,  ess: 8.392,  kl_eta_ex: 0.006,  kl_eta_in: 0.004,  kl_z_ex: 0.414,  kl_z_in: 0.153
symKL_DB_eta: 2.177,  symKL_DB_z: 1.492,  loss: -422.153,  ess: 8.398,  kl_eta_ex: 0.006,  kl_eta_in: 0.004,  kl_z_ex: 0.402,  kl_z_in: 0.149
symKL_DB_eta: 2.168,  symKL_DB_z: 1.529,  loss: -422.166,  ess: 8.399,  kl_eta_ex: 0.005,  kl_eta_in: 0.004,  kl_z_ex: 0.401,  kl_z_in: 0.150
symKL_DB_eta: 2.203,  symKL_DB_z: 1.439,  loss: -422.101,  ess: 8.399,  kl_eta_ex: 0.006,  kl_eta_in: 0.004,  kl_z_ex: 0.391,  kl_z_in: 0.144
symKL_DB_eta: 2.180,  symKL_DB_z: 1.524,  loss: -422.119,  ess: 8.400,  kl_eta_ex: 0.005,  kl_eta_in: 0.003,  kl_z_ex: 0.395,  kl_z_in: 0.145
symKL_DB_eta: 2.178,  symKL_DB_z: 1.472,  loss: -422.045,  ess: 8.404,  kl_eta_ex: 0.006,  kl_eta_in: 0.004,  kl_z_ex: 0.381,  kl_z_in: 0.139
symKL_DB_eta: 2.187,  symKL_DB_z: 1.437,  loss: -421.856,  ess: 8.396,  kl_eta_ex: 0.006,  kl_eta_in: 0.004,  kl_z_ex: 0.376,  kl_z_in: 0.135
symKL_DB_eta: 2.215,  symKL_DB_z: 1.443,  loss: -422.044,  ess: 8.401,  kl_eta_ex: 0.006,  kl_eta_in: 0.004,  kl_z_ex: 0.375,  kl_z_in: 0.135
symKL_DB_eta: 2.160,  symKL_DB_z: 1.414,  loss: -422.017,  ess: 8.406,  kl_eta_ex: 0.006,  kl_eta_in: 0.004,  kl_z_ex: 0.368,  kl_z_in: 0.132
symKL_DB_eta: 2.212,  symKL_DB_z: 1.425,  loss: -422.036,  ess: 8.397,  kl_eta_ex: 0.006,  kl_eta_in: 0.004,  kl_z_ex: 0.366,  kl_z_in: 0.131
symKL_DB_eta: 2.220,  symKL_DB_z: 1.402,  loss: -422.044,  ess: 8.403,  kl_eta_ex: 0.006,  kl_eta_in: 0.004,  kl_z_ex: 0.365,  kl_z_in: 0.129
symKL_DB_eta: 2.162,  symKL_DB_z: 1.422,  loss: -422.206,  ess: 8.406,  kl_eta_ex: 0.006,  kl_eta_in: 0.004,  kl_z_ex: 0.366,  kl_z_in: 0.126
symKL_DB_eta: 2.159,  symKL_DB_z: 1.332,  loss: -422.107,  ess: 8.410,  kl_eta_ex: 0.006,  kl_eta_in: 0.004,  kl_z_ex: 0.360,  kl_z_in: 0.126
symKL_DB_eta: 2.168,  symKL_DB_z: 1.327,  loss: -422.161,  ess: 8.405,  kl_eta_ex: 0.007,  kl_eta_in: 0.004,  kl_z_ex: 0.363,  kl_z_in: 0.122
symKL_DB_eta: 2.209,  symKL_DB_z: 1.309,  loss: -422.058,  ess: 8.405,  kl_eta_ex: 0.006,  kl_eta_in: 0.004,  kl_z_ex: 0.361,  kl_z_in: 0.121
symKL_DB_eta: 2.180,  symKL_DB_z: 1.339,  loss: -422.022,  ess: 8.407,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.352,  kl_z_in: 0.118
symKL_DB_eta: 2.171,  symKL_DB_z: 1.303,  loss: -422.001,  ess: 8.410,  kl_eta_ex: 0.006,  kl_eta_in: 0.004,  kl_z_ex: 0.346,  kl_z_in: 0.116
