symKL_DB_eta: 112.013,  symKL_DB_z: 31.074,  gap_eta: 103.871,  gap_z: 36.593,  loss: -3698.847,  ess: 5.979
symKL_DB_eta: 139.719,  symKL_DB_z: 31.046,  gap_eta: 101.986,  gap_z: 36.722,  loss: -3719.869,  ess: 5.985
symKL_DB_eta: 107.830,  symKL_DB_z: 43.842,  gap_eta: 100.338,  gap_z: 49.450,  loss: -3655.839,  ess: 5.984
symKL_DB_eta: 111.153,  symKL_DB_z: 47.187,  gap_eta: 100.409,  gap_z: 53.209,  loss: -3583.929,  ess: 5.994
symKL_DB_eta: 113.476,  symKL_DB_z: 41.460,  gap_eta: 99.286,  gap_z: 45.310,  loss: -3478.088,  ess: 6.000
symKL_DB_eta: 147.265,  symKL_DB_z: 34.147,  gap_eta: 98.367,  gap_z: 38.842,  loss: -3599.707,  ess: 5.994
symKL_DB_eta: 108.720,  symKL_DB_z: 32.056,  gap_eta: 97.619,  gap_z: 37.584,  loss: -3785.580,  ess: 5.997
symKL_DB_eta: 103.502,  symKL_DB_z: 23.729,  gap_eta: 95.707,  gap_z: 29.075,  loss: -3443.169,  ess: 5.995
symKL_DB_eta: 124.525,  symKL_DB_z: 26.894,  gap_eta: 95.173,  gap_z: 31.859,  loss: -3684.206,  ess: 6.002
symKL_DB_eta: 103.857,  symKL_DB_z: 27.413,  gap_eta: 95.601,  gap_z: 33.107,  loss: -3877.417,  ess: 5.999
symKL_DB_eta: 110.222,  symKL_DB_z: 30.447,  gap_eta: 94.908,  gap_z: 30.714,  loss: -3491.204,  ess: 6.005
symKL_DB_eta: 101.922,  symKL_DB_z: 32.476,  gap_eta: 93.922,  gap_z: 37.881,  loss: -3451.158,  ess: 6.010
symKL_DB_eta: 112.699,  symKL_DB_z: 29.578,  gap_eta: 92.803,  gap_z: 35.442,  loss: -3363.351,  ess: 6.012
symKL_DB_eta: 104.830,  symKL_DB_z: 46.957,  gap_eta: 93.929,  gap_z: 48.400,  loss: -3743.346,  ess: 6.016
symKL_DB_eta: 100.208,  symKL_DB_z: 25.748,  gap_eta: 92.179,  gap_z: 31.443,  loss: -3579.843,  ess: 6.010
symKL_DB_eta: 106.728,  symKL_DB_z: 34.513,  gap_eta: 91.437,  gap_z: 32.908,  loss: -3516.434,  ess: 6.024
symKL_DB_eta: 98.971,  symKL_DB_z: 26.540,  gap_eta: 88.754,  gap_z: 30.249,  loss: -3416.744,  ess: 6.021
symKL_DB_eta: 103.040,  symKL_DB_z: 47.411,  gap_eta: 90.001,  gap_z: 48.868,  loss: -3584.842,  ess: 6.022
symKL_DB_eta: 97.541,  symKL_DB_z: 27.132,  gap_eta: 87.637,  gap_z: 29.484,  loss: -3447.376,  ess: 6.034
symKL_DB_eta: 95.986,  symKL_DB_z: 27.480,  gap_eta: 87.706,  gap_z: 32.651,  loss: -3539.647,  ess: 6.032
symKL_DB_eta: 95.407,  symKL_DB_z: 30.776,  gap_eta: 87.118,  gap_z: 36.584,  loss: -3494.239,  ess: 6.041
symKL_DB_eta: 95.647,  symKL_DB_z: 29.958,  gap_eta: 85.765,  gap_z: 34.827,  loss: -3493.314,  ess: 6.042
symKL_DB_eta: 98.381,  symKL_DB_z: 28.817,  gap_eta: 86.020,  gap_z: 33.747,  loss: -3540.811,  ess: 6.041
symKL_DB_eta: 109.152,  symKL_DB_z: 29.586,  gap_eta: 85.981,  gap_z: 30.347,  loss: -3446.278,  ess: 6.039
symKL_DB_eta: 93.764,  symKL_DB_z: 30.654,  gap_eta: 84.261,  gap_z: 35.864,  loss: -3437.025,  ess: 6.042
symKL_DB_eta: 121.017,  symKL_DB_z: 26.704,  gap_eta: 83.153,  gap_z: 30.282,  loss: -3542.319,  ess: 6.047
symKL_DB_eta: 92.173,  symKL_DB_z: 23.104,  gap_eta: 83.375,  gap_z: 29.146,  loss: -3625.841,  ess: 6.049
symKL_DB_eta: 91.337,  symKL_DB_z: 27.613,  gap_eta: 83.045,  gap_z: 33.377,  loss: -3655.713,  ess: 6.050
symKL_DB_eta: 113.727,  symKL_DB_z: 22.376,  gap_eta: 82.524,  gap_z: 28.185,  loss: -3750.168,  ess: 6.048
symKL_DB_eta: 94.957,  symKL_DB_z: 29.854,  gap_eta: 82.735,  gap_z: 35.195,  loss: -3693.508,  ess: 6.050
symKL_DB_eta: 136.442,  symKL_DB_z: 21.326,  gap_eta: 81.080,  gap_z: 26.810,  loss: -3563.854,  ess: 6.058
symKL_DB_eta: 89.532,  symKL_DB_z: 21.316,  gap_eta: 79.608,  gap_z: 26.795,  loss: -3329.008,  ess: 6.056
symKL_DB_eta: 108.449,  symKL_DB_z: 21.044,  gap_eta: 79.070,  gap_z: 27.367,  loss: -3308.853,  ess: 6.061
symKL_DB_eta: 95.362,  symKL_DB_z: 31.342,  gap_eta: 79.485,  gap_z: 35.835,  loss: -3565.161,  ess: 6.069
symKL_DB_eta: 102.211,  symKL_DB_z: 26.319,  gap_eta: 79.585,  gap_z: 27.641,  loss: -3607.722,  ess: 6.067
symKL_DB_eta: 85.523,  symKL_DB_z: 24.436,  gap_eta: 77.291,  gap_z: 30.712,  loss: -3532.296,  ess: 6.070
symKL_DB_eta: 86.411,  symKL_DB_z: 26.025,  gap_eta: 77.651,  gap_z: 32.012,  loss: -3475.305,  ess: 6.074
symKL_DB_eta: 103.324,  symKL_DB_z: 23.556,  gap_eta: 76.813,  gap_z: 28.816,  loss: -3456.657,  ess: 6.072
symKL_DB_eta: 92.520,  symKL_DB_z: 24.979,  gap_eta: 76.172,  gap_z: 30.746,  loss: -3312.473,  ess: 6.077
symKL_DB_eta: 99.951,  symKL_DB_z: 34.006,  gap_eta: 75.609,  gap_z: 37.219,  loss: -3566.835,  ess: 6.080
symKL_DB_eta: 83.790,  symKL_DB_z: 25.470,  gap_eta: 74.995,  gap_z: 31.199,  loss: -3430.103,  ess: 6.080
symKL_DB_eta: 88.363,  symKL_DB_z: 28.359,  gap_eta: 75.578,  gap_z: 34.629,  loss: -3405.987,  ess: 6.081
