symKL_DB_eta: 4642.915,  symKL_DB_z: 81.033,  gap_eta: 4256.618,  gap_z: 40.718,  loss: -4009.992,  ess: 5.558
symKL_DB_eta: 4035.231,  symKL_DB_z: 102.023,  gap_eta: 3603.654,  gap_z: 44.780,  loss: -3957.114,  ess: 5.563
symKL_DB_eta: 4067.624,  symKL_DB_z: 78.704,  gap_eta: 3602.140,  gap_z: 39.221,  loss: -3819.047,  ess: 5.567
symKL_DB_eta: 4196.164,  symKL_DB_z: 104.270,  gap_eta: 3500.471,  gap_z: 40.645,  loss: -3706.310,  ess: 5.572
symKL_DB_eta: 3767.286,  symKL_DB_z: 103.648,  gap_eta: 3347.852,  gap_z: 37.020,  loss: -3681.704,  ess: 5.574
symKL_DB_eta: 3932.156,  symKL_DB_z: 119.090,  gap_eta: 3141.868,  gap_z: 38.327,  loss: -3566.158,  ess: 5.582
symKL_DB_eta: 3668.540,  symKL_DB_z: 130.409,  gap_eta: 2956.557,  gap_z: 41.993,  loss: -3483.314,  ess: 5.587
symKL_DB_eta: 3623.150,  symKL_DB_z: 87.805,  gap_eta: 2840.558,  gap_z: 36.827,  loss: -3339.758,  ess: 5.590
symKL_DB_eta: 3437.430,  symKL_DB_z: 100.409,  gap_eta: 2557.728,  gap_z: 34.594,  loss: -3213.121,  ess: 5.596
symKL_DB_eta: 3037.067,  symKL_DB_z: 118.698,  gap_eta: 2433.975,  gap_z: 32.833,  loss: -3155.593,  ess: 5.605
symKL_DB_eta: 2914.291,  symKL_DB_z: 90.746,  gap_eta: 2375.526,  gap_z: 33.918,  loss: -3082.165,  ess: 5.606
symKL_DB_eta: 2851.526,  symKL_DB_z: 88.422,  gap_eta: 2140.583,  gap_z: 31.441,  loss: -3038.749,  ess: 5.617
symKL_DB_eta: 2800.776,  symKL_DB_z: 106.042,  gap_eta: 2079.981,  gap_z: 31.331,  loss: -3010.985,  ess: 5.625
symKL_DB_eta: 2862.413,  symKL_DB_z: 111.905,  gap_eta: 2081.802,  gap_z: 30.130,  loss: -2902.212,  ess: 5.632
symKL_DB_eta: 2809.364,  symKL_DB_z: 105.988,  gap_eta: 2006.679,  gap_z: 29.716,  loss: -2875.814,  ess: 5.636
symKL_DB_eta: 2432.768,  symKL_DB_z: 101.037,  gap_eta: 1809.714,  gap_z: 31.414,  loss: -2767.253,  ess: 5.640
symKL_DB_eta: 2654.133,  symKL_DB_z: 119.735,  gap_eta: 1877.414,  gap_z: 30.090,  loss: -2719.434,  ess: 5.651
symKL_DB_eta: 2597.595,  symKL_DB_z: 98.050,  gap_eta: 1780.174,  gap_z: 28.493,  loss: -2629.708,  ess: 5.658
symKL_DB_eta: 2507.503,  symKL_DB_z: 99.104,  gap_eta: 1683.467,  gap_z: 30.227,  loss: -2567.872,  ess: 5.663
symKL_DB_eta: 2213.165,  symKL_DB_z: 84.206,  gap_eta: 1681.904,  gap_z: 27.757,  loss: -2505.856,  ess: 5.667
symKL_DB_eta: 2645.667,  symKL_DB_z: 115.675,  gap_eta: 1697.165,  gap_z: 29.875,  loss: -2524.739,  ess: 5.679
symKL_DB_eta: 2121.092,  symKL_DB_z: 94.854,  gap_eta: 1605.994,  gap_z: 26.644,  loss: -2491.984,  ess: 5.685
symKL_DB_eta: 2597.731,  symKL_DB_z: 89.084,  gap_eta: 1702.982,  gap_z: 26.547,  loss: -2418.235,  ess: 5.694
symKL_DB_eta: 2367.433,  symKL_DB_z: 131.698,  gap_eta: 1694.957,  gap_z: 24.938,  loss: -2303.434,  ess: 5.700
symKL_DB_eta: 2773.941,  symKL_DB_z: 110.563,  gap_eta: 1741.218,  gap_z: 27.225,  loss: -2359.392,  ess: 5.709
symKL_DB_eta: 2193.537,  symKL_DB_z: 113.680,  gap_eta: 1570.594,  gap_z: 25.423,  loss: -2351.245,  ess: 5.714
symKL_DB_eta: 2533.843,  symKL_DB_z: 102.393,  gap_eta: 1643.244,  gap_z: 26.333,  loss: -2312.261,  ess: 5.719
symKL_DB_eta: 2525.628,  symKL_DB_z: 128.912,  gap_eta: 1651.394,  gap_z: 24.464,  loss: -2270.048,  ess: 5.728
symKL_DB_eta: 3015.701,  symKL_DB_z: 122.910,  gap_eta: 1600.459,  gap_z: 25.548,  loss: -2271.334,  ess: 5.737
symKL_DB_eta: 2697.695,  symKL_DB_z: 115.928,  gap_eta: 1664.578,  gap_z: 25.321,  loss: -2319.419,  ess: 5.738
symKL_DB_eta: 2797.036,  symKL_DB_z: 93.550,  gap_eta: 1582.868,  gap_z: 23.534,  loss: -2263.179,  ess: 5.753
symKL_DB_eta: 2128.114,  symKL_DB_z: 118.415,  gap_eta: 1519.019,  gap_z: 24.735,  loss: -2196.227,  ess: 5.759
symKL_DB_eta: 2720.136,  symKL_DB_z: 120.960,  gap_eta: 1649.712,  gap_z: 26.341,  loss: -2208.072,  ess: 5.761
symKL_DB_eta: 2581.697,  symKL_DB_z: 122.056,  gap_eta: 1595.297,  gap_z: 24.236,  loss: -2170.024,  ess: 5.769
symKL_DB_eta: 2247.034,  symKL_DB_z: 112.530,  gap_eta: 1572.119,  gap_z: 22.677,  loss: -2176.141,  ess: 5.774
symKL_DB_eta: 2099.930,  symKL_DB_z: 101.889,  gap_eta: 1560.222,  gap_z: 25.954,  loss: -2092.801,  ess: 5.787
symKL_DB_eta: 2515.610,  symKL_DB_z: 107.544,  gap_eta: 1531.611,  gap_z: 23.285,  loss: -2122.559,  ess: 5.792
symKL_DB_eta: 2204.701,  symKL_DB_z: 131.673,  gap_eta: 1526.341,  gap_z: 23.255,  loss: -2057.630,  ess: 5.794
symKL_DB_eta: 2641.178,  symKL_DB_z: 98.182,  gap_eta: 1545.217,  gap_z: 21.598,  loss: -2086.750,  ess: 5.803
symKL_DB_eta: 2560.816,  symKL_DB_z: 81.656,  gap_eta: 1492.180,  gap_z: 24.768,  loss: -1977.072,  ess: 5.808
symKL_DB_eta: 2566.267,  symKL_DB_z: 113.331,  gap_eta: 1481.827,  gap_z: 22.126,  loss: -2004.841,  ess: 5.816
symKL_DB_eta: 2315.522,  symKL_DB_z: 111.565,  gap_eta: 1463.291,  gap_z: 21.578,  loss: -2001.548,  ess: 5.823
symKL_DB_eta: 2264.840,  symKL_DB_z: 120.680,  gap_eta: 1361.425,  gap_z: 21.108,  loss: -1862.077,  ess: 5.825
symKL_DB_eta: 2068.773,  symKL_DB_z: 139.090,  gap_eta: 1438.303,  gap_z: 21.884,  loss: -1870.795,  ess: 5.828
symKL_DB_eta: 2616.925,  symKL_DB_z: 100.435,  gap_eta: 1343.270,  gap_z: 21.854,  loss: -1941.144,  ess: 5.835
symKL_DB_eta: 2098.272,  symKL_DB_z: 89.402,  gap_eta: 1331.169,  gap_z: 20.212,  loss: -1811.071,  ess: 5.847
symKL_DB_eta: 2043.023,  symKL_DB_z: 95.505,  gap_eta: 1402.582,  gap_z: 21.609,  loss: -1855.619,  ess: 5.849
symKL_DB_eta: 1991.250,  symKL_DB_z: 102.864,  gap_eta: 1337.717,  gap_z: 22.525,  loss: -1840.570,  ess: 5.855
symKL_DB_eta: 2041.237,  symKL_DB_z: 106.397,  gap_eta: 1364.859,  gap_z: 20.836,  loss: -1813.909,  ess: 5.855
symKL_DB_eta: 1956.266,  symKL_DB_z: 140.725,  gap_eta: 1264.900,  gap_z: 19.792,  loss: -1785.125,  ess: 5.856
symKL_DB_eta: 2085.961,  symKL_DB_z: 119.566,  gap_eta: 1298.858,  gap_z: 18.987,  loss: -1797.885,  ess: 5.862
symKL_DB_eta: 2231.633,  symKL_DB_z: 107.443,  gap_eta: 1273.432,  gap_z: 20.905,  loss: -1787.432,  ess: 5.871
symKL_DB_eta: 2380.843,  symKL_DB_z: 115.817,  gap_eta: 1252.206,  gap_z: 22.244,  loss: -1788.674,  ess: 5.872
symKL_DB_eta: 2354.275,  symKL_DB_z: 103.499,  gap_eta: 1271.662,  gap_z: 19.374,  loss: -1767.072,  ess: 5.882
symKL_DB_eta: 2121.628,  symKL_DB_z: 76.289,  gap_eta: 1257.358,  gap_z: 18.259,  loss: -1760.914,  ess: 5.892
