symKL_DB_eta: 618.165,  symKL_DB_z: 117.018,  gap_eta: 360.028,  gap_z: 40.106,  loss: -8277.422,  ess: 5.751
symKL_DB_eta: 576.804,  symKL_DB_z: 135.691,  gap_eta: 359.935,  gap_z: 40.028,  loss: -8134.404,  ess: 5.752
symKL_DB_eta: 569.522,  symKL_DB_z: 138.187,  gap_eta: 361.350,  gap_z: 44.041,  loss: -8316.760,  ess: 5.750
symKL_DB_eta: 854.112,  symKL_DB_z: 139.352,  gap_eta: 361.138,  gap_z: 39.488,  loss: -8132.321,  ess: 5.748
symKL_DB_eta: 579.949,  symKL_DB_z: 144.933,  gap_eta: 359.963,  gap_z: 39.043,  loss: -8160.698,  ess: 5.754
symKL_DB_eta: 686.973,  symKL_DB_z: 145.736,  gap_eta: 357.118,  gap_z: 38.911,  loss: -8112.934,  ess: 5.753
symKL_DB_eta: 786.462,  symKL_DB_z: 90.542,  gap_eta: 346.965,  gap_z: 38.867,  loss: -7919.573,  ess: 5.763
symKL_DB_eta: 628.988,  symKL_DB_z: 134.659,  gap_eta: 357.430,  gap_z: 38.826,  loss: -8093.563,  ess: 5.759
symKL_DB_eta: 644.083,  symKL_DB_z: 100.369,  gap_eta: 356.762,  gap_z: 38.492,  loss: -8088.645,  ess: 5.761
symKL_DB_eta: 964.080,  symKL_DB_z: 108.327,  gap_eta: 363.606,  gap_z: 38.696,  loss: -8126.855,  ess: 5.753
symKL_DB_eta: 594.978,  symKL_DB_z: 156.633,  gap_eta: 356.679,  gap_z: 37.834,  loss: -8140.476,  ess: 5.755
symKL_DB_eta: 690.236,  symKL_DB_z: 110.717,  gap_eta: 355.491,  gap_z: 39.034,  loss: -8057.075,  ess: 5.764
symKL_DB_eta: 625.032,  symKL_DB_z: 119.310,  gap_eta: 355.600,  gap_z: 36.126,  loss: -7959.094,  ess: 5.764
symKL_DB_eta: 698.538,  symKL_DB_z: 126.896,  gap_eta: 360.731,  gap_z: 38.161,  loss: -8143.745,  ess: 5.763
symKL_DB_eta: 613.985,  symKL_DB_z: 106.044,  gap_eta: 358.756,  gap_z: 37.353,  loss: -8166.109,  ess: 5.757
symKL_DB_eta: 867.124,  symKL_DB_z: 115.286,  gap_eta: 363.575,  gap_z: 35.923,  loss: -8091.526,  ess: 5.761
symKL_DB_eta: 965.629,  symKL_DB_z: 146.598,  gap_eta: 357.937,  gap_z: 35.722,  loss: -8047.787,  ess: 5.762
symKL_DB_eta: 705.305,  symKL_DB_z: 126.365,  gap_eta: 359.877,  gap_z: 36.986,  loss: -8123.695,  ess: 5.763
symKL_DB_eta: 585.310,  symKL_DB_z: 133.440,  gap_eta: 354.738,  gap_z: 35.459,  loss: -7961.680,  ess: 5.767
symKL_DB_eta: 682.461,  symKL_DB_z: 115.488,  gap_eta: 357.416,  gap_z: 35.531,  loss: -7973.613,  ess: 5.766
symKL_DB_eta: 757.998,  symKL_DB_z: 121.608,  gap_eta: 356.946,  gap_z: 34.842,  loss: -7957.769,  ess: 5.766
symKL_DB_eta: 591.399,  symKL_DB_z: 141.388,  gap_eta: 362.003,  gap_z: 33.198,  loss: -8086.356,  ess: 5.761
symKL_DB_eta: 815.555,  symKL_DB_z: 152.811,  gap_eta: 362.351,  gap_z: 35.408,  loss: -8100.877,  ess: 5.771
symKL_DB_eta: 761.138,  symKL_DB_z: 138.342,  gap_eta: 364.273,  gap_z: 33.837,  loss: -8067.196,  ess: 5.773
symKL_DB_eta: 1015.080,  symKL_DB_z: 146.092,  gap_eta: 359.750,  gap_z: 35.160,  loss: -8099.312,  ess: 5.767
symKL_DB_eta: 536.759,  symKL_DB_z: 80.159,  gap_eta: 349.615,  gap_z: 33.947,  loss: -7996.908,  ess: 5.775
symKL_DB_eta: 930.357,  symKL_DB_z: 143.723,  gap_eta: 353.288,  gap_z: 34.581,  loss: -7727.035,  ess: 5.782
symKL_DB_eta: 570.333,  symKL_DB_z: 104.053,  gap_eta: 352.241,  gap_z: 34.801,  loss: -7833.716,  ess: 5.775
symKL_DB_eta: 735.271,  symKL_DB_z: 119.347,  gap_eta: 353.925,  gap_z: 38.994,  loss: -7744.857,  ess: 5.783
symKL_DB_eta: 706.821,  symKL_DB_z: 118.386,  gap_eta: 360.048,  gap_z: 33.049,  loss: -7737.050,  ess: 5.772
symKL_DB_eta: 586.041,  symKL_DB_z: 125.090,  gap_eta: 350.767,  gap_z: 32.887,  loss: -7963.261,  ess: 5.781
symKL_DB_eta: 926.061,  symKL_DB_z: 134.909,  gap_eta: 363.435,  gap_z: 34.661,  loss: -8155.046,  ess: 5.776
symKL_DB_eta: 548.418,  symKL_DB_z: 116.810,  gap_eta: 355.906,  gap_z: 34.724,  loss: -8097.914,  ess: 5.780
symKL_DB_eta: 502.332,  symKL_DB_z: 77.905,  gap_eta: 355.931,  gap_z: 32.232,  loss: -8015.591,  ess: 5.774
symKL_DB_eta: 664.632,  symKL_DB_z: 115.197,  gap_eta: 352.688,  gap_z: 32.475,  loss: -8023.968,  ess: 5.780
symKL_DB_eta: 586.823,  symKL_DB_z: 122.417,  gap_eta: 354.463,  gap_z: 32.330,  loss: -8010.050,  ess: 5.781
symKL_DB_eta: 587.431,  symKL_DB_z: 111.087,  gap_eta: 354.881,  gap_z: 31.579,  loss: -7682.250,  ess: 5.791
symKL_DB_eta: 754.984,  symKL_DB_z: 91.162,  gap_eta: 356.743,  gap_z: 33.312,  loss: -7833.536,  ess: 5.776
symKL_DB_eta: 1040.230,  symKL_DB_z: 122.207,  gap_eta: 358.629,  gap_z: 31.695,  loss: -7886.184,  ess: 5.783
symKL_DB_eta: 693.629,  symKL_DB_z: 108.226,  gap_eta: 351.686,  gap_z: 32.820,  loss: -7756.380,  ess: 5.787
symKL_DB_eta: 927.690,  symKL_DB_z: 201.298,  gap_eta: 353.155,  gap_z: 32.924,  loss: -7807.558,  ess: 5.782
symKL_DB_eta: 772.656,  symKL_DB_z: 153.416,  gap_eta: 354.992,  gap_z: 33.313,  loss: -7848.088,  ess: 5.781
symKL_DB_eta: 638.326,  symKL_DB_z: 128.790,  gap_eta: 354.137,  gap_z: 30.996,  loss: -7949.813,  ess: 5.783
symKL_DB_eta: 865.958,  symKL_DB_z: 105.804,  gap_eta: 355.834,  gap_z: 31.069,  loss: -7970.094,  ess: 5.785
symKL_DB_eta: 605.601,  symKL_DB_z: 82.292,  gap_eta: 352.899,  gap_z: 32.083,  loss: -7910.834,  ess: 5.788
symKL_DB_eta: 657.763,  symKL_DB_z: 141.522,  gap_eta: 360.043,  gap_z: 34.328,  loss: -7981.864,  ess: 5.789
symKL_DB_eta: 534.673,  symKL_DB_z: 134.269,  gap_eta: 353.852,  gap_z: 31.125,  loss: -8000.844,  ess: 5.784
symKL_DB_eta: 931.755,  symKL_DB_z: 102.110,  gap_eta: 347.550,  gap_z: 32.014,  loss: -7924.948,  ess: 5.793
