symKL_DB_eta: 664.168,  symKL_DB_z: 9.879,  gap: 663.283,  loss: -4318.512,  ess: 5.481
symKL_DB_eta: 649.805,  symKL_DB_z: 9.465,  gap: 648.243,  loss: -4310.199,  ess: 5.481
symKL_DB_eta: 654.288,  symKL_DB_z: 9.832,  gap: 653.580,  loss: -4319.300,  ess: 5.481
symKL_DB_eta: 643.134,  symKL_DB_z: 9.535,  gap: 642.087,  loss: -4311.119,  ess: 5.484
symKL_DB_eta: 649.753,  symKL_DB_z: 9.517,  gap: 648.825,  loss: -4315.963,  ess: 5.483
symKL_DB_eta: 657.722,  symKL_DB_z: 9.570,  gap: 657.091,  loss: -4315.320,  ess: 5.484
symKL_DB_eta: 647.442,  symKL_DB_z: 9.136,  gap: 646.602,  loss: -4307.134,  ess: 5.484
symKL_DB_eta: 642.244,  symKL_DB_z: 9.180,  gap: 640.929,  loss: -4315.282,  ess: 5.484
symKL_DB_eta: 643.560,  symKL_DB_z: 9.151,  gap: 642.191,  loss: -4317.345,  ess: 5.485
symKL_DB_eta: 647.378,  symKL_DB_z: 9.445,  gap: 646.156,  loss: -4311.965,  ess: 5.485
symKL_DB_eta: 634.728,  symKL_DB_z: 9.142,  gap: 633.363,  loss: -4300.055,  ess: 5.486
symKL_DB_eta: 634.004,  symKL_DB_z: 8.841,  gap: 632.306,  loss: -4291.120,  ess: 5.487
symKL_DB_eta: 635.653,  symKL_DB_z: 8.883,  gap: 634.510,  loss: -4290.881,  ess: 5.486
symKL_DB_eta: 638.607,  symKL_DB_z: 8.974,  gap: 637.469,  loss: -4302.356,  ess: 5.487
symKL_DB_eta: 635.980,  symKL_DB_z: 8.667,  gap: 634.390,  loss: -4297.441,  ess: 5.488
symKL_DB_eta: 644.357,  symKL_DB_z: 8.998,  gap: 643.393,  loss: -4295.891,  ess: 5.487
symKL_DB_eta: 630.939,  symKL_DB_z: 8.641,  gap: 629.621,  loss: -4288.600,  ess: 5.489
symKL_DB_eta: 618.184,  symKL_DB_z: 8.655,  gap: 617.237,  loss: -4288.504,  ess: 5.489
symKL_DB_eta: 614.357,  symKL_DB_z: 8.385,  gap: 613.405,  loss: -4283.213,  ess: 5.489
symKL_DB_eta: 617.526,  symKL_DB_z: 8.271,  gap: 615.988,  loss: -4278.261,  ess: 5.489
symKL_DB_eta: 616.104,  symKL_DB_z: 8.272,  gap: 614.355,  loss: -4280.896,  ess: 5.489
symKL_DB_eta: 621.642,  symKL_DB_z: 8.573,  gap: 620.160,  loss: -4284.333,  ess: 5.489
symKL_DB_eta: 611.717,  symKL_DB_z: 8.103,  gap: 610.366,  loss: -4268.548,  ess: 5.491
symKL_DB_eta: 622.218,  symKL_DB_z: 8.103,  gap: 620.150,  loss: -4266.922,  ess: 5.490
