symKL_DB_eta: 1232.855,  symKL_DB_z: 22.180,  gap: 1231.381,  loss: -4589.725,  ess: 5.467
symKL_DB_eta: 1230.480,  symKL_DB_z: 21.799,  gap: 1228.908,  loss: -4573.545,  ess: 5.468
symKL_DB_eta: 1208.281,  symKL_DB_z: 24.835,  gap: 1206.964,  loss: -4580.880,  ess: 5.467
symKL_DB_eta: 1209.803,  symKL_DB_z: 24.414,  gap: 1208.180,  loss: -4588.786,  ess: 5.468
symKL_DB_eta: 1202.169,  symKL_DB_z: 24.619,  gap: 1200.746,  loss: -4573.785,  ess: 5.467
symKL_DB_eta: 1210.928,  symKL_DB_z: 22.571,  gap: 1209.821,  loss: -4576.447,  ess: 5.468
symKL_DB_eta: 1223.024,  symKL_DB_z: 25.241,  gap: 1219.583,  loss: -4578.825,  ess: 5.468
symKL_DB_eta: 1225.202,  symKL_DB_z: 21.558,  gap: 1223.292,  loss: -4587.044,  ess: 5.468
symKL_DB_eta: 1217.294,  symKL_DB_z: 24.202,  gap: 1215.769,  loss: -4582.125,  ess: 5.468
symKL_DB_eta: 1203.848,  symKL_DB_z: 21.526,  gap: 1202.353,  loss: -4585.189,  ess: 5.469
symKL_DB_eta: 1214.981,  symKL_DB_z: 21.923,  gap: 1213.754,  loss: -4583.098,  ess: 5.469
symKL_DB_eta: 1220.685,  symKL_DB_z: 24.462,  gap: 1219.089,  loss: -4580.892,  ess: 5.468
symKL_DB_eta: 1208.502,  symKL_DB_z: 24.795,  gap: 1207.163,  loss: -4560.882,  ess: 5.469
symKL_DB_eta: 1227.408,  symKL_DB_z: 23.601,  gap: 1225.836,  loss: -4577.993,  ess: 5.469
symKL_DB_eta: 1228.926,  symKL_DB_z: 23.736,  gap: 1226.587,  loss: -4575.699,  ess: 5.469
symKL_DB_eta: 1209.635,  symKL_DB_z: 20.823,  gap: 1206.939,  loss: -4572.250,  ess: 5.470
symKL_DB_eta: 1214.968,  symKL_DB_z: 24.760,  gap: 1213.629,  loss: -4578.094,  ess: 5.470
symKL_DB_eta: 1197.912,  symKL_DB_z: 20.906,  gap: 1196.728,  loss: -4586.415,  ess: 5.470
symKL_DB_eta: 1227.477,  symKL_DB_z: 23.265,  gap: 1225.860,  loss: -4585.174,  ess: 5.470
symKL_DB_eta: 1221.218,  symKL_DB_z: 21.424,  gap: 1219.318,  loss: -4575.091,  ess: 5.471
symKL_DB_eta: 1211.278,  symKL_DB_z: 23.698,  gap: 1209.601,  loss: -4567.018,  ess: 5.472
symKL_DB_eta: 1213.946,  symKL_DB_z: 22.166,  gap: 1212.146,  loss: -4579.925,  ess: 5.470
symKL_DB_eta: 1212.192,  symKL_DB_z: 23.256,  gap: 1210.779,  loss: -4569.365,  ess: 5.471
symKL_DB_eta: 1208.256,  symKL_DB_z: 22.332,  gap: 1205.375,  loss: -4564.403,  ess: 5.471
symKL_DB_eta: 1224.493,  symKL_DB_z: 21.579,  gap: 1223.025,  loss: -4567.369,  ess: 5.472
symKL_DB_eta: 1217.645,  symKL_DB_z: 21.416,  gap: 1214.000,  loss: -4568.709,  ess: 5.471
symKL_DB_eta: 1221.107,  symKL_DB_z: 21.548,  gap: 1219.688,  loss: -4562.282,  ess: 5.471
symKL_DB_eta: 1202.699,  symKL_DB_z: 24.003,  gap: 1200.676,  loss: -4562.749,  ess: 5.472
symKL_DB_eta: 1204.319,  symKL_DB_z: 24.355,  gap: 1202.015,  loss: -4581.750,  ess: 5.472
symKL_DB_eta: 1204.464,  symKL_DB_z: 21.146,  gap: 1202.594,  loss: -4570.434,  ess: 5.473
symKL_DB_eta: 1199.770,  symKL_DB_z: 22.183,  gap: 1197.789,  loss: -4564.698,  ess: 5.472
symKL_DB_eta: 1194.457,  symKL_DB_z: 22.110,  gap: 1192.943,  loss: -4564.561,  ess: 5.472
symKL_DB_eta: 1200.258,  symKL_DB_z: 20.677,  gap: 1198.581,  loss: -4569.745,  ess: 5.474
symKL_DB_eta: 1209.909,  symKL_DB_z: 22.714,  gap: 1208.486,  loss: -4559.163,  ess: 5.473
symKL_DB_eta: 1197.409,  symKL_DB_z: 21.511,  gap: 1195.422,  loss: -4559.850,  ess: 5.473
symKL_DB_eta: 1186.946,  symKL_DB_z: 22.774,  gap: 1185.351,  loss: -4570.019,  ess: 5.473
symKL_DB_eta: 1192.835,  symKL_DB_z: 21.626,  gap: 1191.089,  loss: -4550.793,  ess: 5.474
symKL_DB_eta: 1184.978,  symKL_DB_z: 23.173,  gap: 1183.358,  loss: -4546.075,  ess: 5.474
symKL_DB_eta: 1191.953,  symKL_DB_z: 21.337,  gap: 1189.494,  loss: -4556.764,  ess: 5.474
symKL_DB_eta: 1197.164,  symKL_DB_z: 23.099,  gap: 1195.129,  loss: -4558.112,  ess: 5.474
symKL_DB_eta: 1189.504,  symKL_DB_z: 22.162,  gap: 1187.833,  loss: -4569.892,  ess: 5.474
symKL_DB_eta: 1189.119,  symKL_DB_z: 22.139,  gap: 1187.478,  loss: -4566.883,  ess: 5.475
symKL_DB_eta: 1203.243,  symKL_DB_z: 21.959,  gap: 1199.491,  loss: -4563.723,  ess: 5.474
symKL_DB_eta: 1193.728,  symKL_DB_z: 21.651,  gap: 1190.690,  loss: -4559.789,  ess: 5.473
symKL_DB_eta: 1193.291,  symKL_DB_z: 22.431,  gap: 1191.148,  loss: -4555.802,  ess: 5.475
symKL_DB_eta: 1188.867,  symKL_DB_z: 22.560,  gap: 1186.195,  loss: -4563.732,  ess: 5.475
symKL_DB_eta: 1187.118,  symKL_DB_z: 23.073,  gap: 1185.280,  loss: -4560.594,  ess: 5.474
symKL_DB_eta: 1181.958,  symKL_DB_z: 22.424,  gap: 1179.889,  loss: -4549.095,  ess: 5.476
symKL_DB_eta: 1186.389,  symKL_DB_z: 21.481,  gap: 1184.132,  loss: -4549.249,  ess: 5.476
symKL_DB_eta: 1185.300,  symKL_DB_z: 22.189,  gap: 1183.281,  loss: -4561.999,  ess: 5.475
symKL_DB_eta: 1187.494,  symKL_DB_z: 22.871,  gap: 1185.248,  loss: -4575.512,  ess: 5.476
symKL_DB_eta: 1189.155,  symKL_DB_z: 22.647,  gap: 1187.119,  loss: -4562.688,  ess: 5.475
symKL_DB_eta: 1203.413,  symKL_DB_z: 20.697,  gap: 1201.068,  loss: -4561.762,  ess: 5.476
