EUBO	ELBO	ESS	AKLs_ex	AKLs_in
-200.643	-202.232	7.190	1.122	1.442
-200.659	-202.190	7.278	1.090	1.398
-200.678	-202.186	7.315	1.059	1.354
-200.675	-202.133	7.348	1.029	1.311
-200.652	-202.103	7.376	1.000	1.270
-200.708	-202.083	7.452	0.971	1.230
-200.660	-202.049	7.442	0.943	1.191
-200.690	-202.023	7.517	0.916	1.153
-200.668	-201.983	7.524	0.889	1.116
-200.699	-201.965	7.592	0.864	1.081
-200.740	-201.949	7.651	0.839	1.047
-200.672	-201.895	7.672	0.815	1.014
-200.696	-201.879	7.703	0.791	0.982
-200.694	-201.853	7.739	0.768	0.950
-200.748	-201.845	7.811	0.746	0.921
-200.733	-201.824	7.826	0.724	0.892
-200.727	-201.807	7.842	0.703	0.864
-200.757	-201.794	7.915	0.683	0.836
-200.754	-201.766	7.928	0.663	0.810
-200.777	-201.751	8.001	0.644	0.784
-200.773	-201.725	8.040	0.625	0.759
-200.759	-201.696	8.051	0.606	0.735
-200.768	-201.690	8.071	0.588	0.712
-200.794	-201.680	8.120	0.571	0.690
-200.780	-201.651	8.157	0.555	0.667
-200.806	-201.644	8.194	0.539	0.647
-200.782	-201.618	8.206	0.522	0.626
-200.807	-201.618	8.254	0.507	0.605
-200.797	-201.580	8.291	0.492	0.586
-200.816	-201.578	8.332	0.477	0.567
-200.820	-201.572	8.349	0.463	0.550
-200.850	-201.565	8.394	0.450	0.532
-200.827	-201.545	8.393	0.436	0.515
-200.820	-201.528	8.423	0.423	0.499
-200.845	-201.518	8.465	0.411	0.483
-200.849	-201.507	8.500	0.399	0.468
-200.863	-201.495	8.550	0.387	0.453
-200.865	-201.475	8.568	0.376	0.439
-200.883	-201.474	8.613	0.365	0.426
-200.868	-201.457	8.615	0.354	0.412
-200.861	-201.439	8.641	0.343	0.399
-200.882	-201.440	8.674	0.333	0.386
-200.893	-201.423	8.721	0.324	0.374
-200.892	-201.422	8.730	0.314	0.363
-200.893	-201.412	8.742	0.305	0.351
-200.894	-201.399	8.779	0.296	0.340
-200.897	-201.379	8.809	0.287	0.329
-200.895	-201.377	8.830	0.278	0.319
-200.893	-201.362	8.848	0.270	0.309
-200.910	-201.361	8.877	0.262	0.299
-200.911	-201.358	8.892	0.254	0.290
-200.921	-201.348	8.931	0.247	0.281
-200.936	-201.351	8.951	0.240	0.272
-200.922	-201.328	8.972	0.233	0.264
-200.932	-201.330	8.990	0.226	0.255
-200.947	-201.323	9.024	0.219	0.247
-200.933	-201.311	9.028	0.212	0.240
-200.950	-201.309	9.068	0.206	0.232
-200.952	-201.307	9.070	0.200	0.225
-200.949	-201.298	9.090	0.194	0.218
-200.956	-201.287	9.130	0.188	0.211
