EUBO	ELBO	ESS	AKLs_ex	AKLs_in
-214.018	-320.875	1.693	118.052	18.890
-213.634	-317.518	1.696	116.453	18.676
-214.255	-316.738	1.715	116.924	18.823
-213.492	-315.811	1.716	114.978	18.616
-213.458	-318.466	1.694	117.127	18.601
-213.445	-316.636	1.702	115.908	18.722
-213.591	-315.942	1.697	115.430	18.466
-213.624	-318.563	1.694	117.542	18.676
-213.559	-315.691	1.712	115.922	18.609
-213.232	-317.746	1.701	116.350	18.458
-213.534	-317.482	1.704	115.887	18.925
-213.304	-314.811	1.710	113.523	18.623
-213.124	-315.833	1.709	114.571	18.565
-213.710	-315.312	1.698	114.973	18.850
-213.515	-315.067	1.715	113.695	18.528
-214.190	-316.267	1.694	116.496	19.247
-213.106	-317.746	1.725	115.603	18.628
-213.584	-317.172	1.711	116.334	18.599
-213.457	-317.995	1.694	116.225	18.591
-213.622	-317.146	1.719	115.528	18.304
-212.928	-315.871	1.720	115.020	18.286
-213.126	-318.113	1.712	117.030	18.182
-213.587	-321.264	1.692	118.656	18.140
-213.436	-316.024	1.722	115.254	18.212
-213.101	-314.750	1.719	113.003	18.170
-213.286	-314.456	1.705	112.357	18.291
-212.821	-314.441	1.720	113.020	18.275
-213.158	-315.871	1.708	114.240	18.373
-213.150	-314.953	1.698	114.627	18.109
-213.445	-315.005	1.703	112.926	18.230
-212.611	-314.279	1.704	112.711	18.035
-212.579	-314.051	1.707	113.036	18.349
-212.428	-313.411	1.708	112.043	17.965
-212.653	-314.994	1.717	114.558	17.682
-212.633	-315.558	1.712	115.265	18.088
-212.439	-314.586	1.709	114.484	17.764
-213.245	-315.644	1.706	114.919	18.533
-212.092	-313.609	1.706	113.355	17.684
-213.230	-315.402	1.732	112.724	18.034
-212.525	-315.316	1.697	115.049	17.874
-212.623	-312.156	1.718	111.865	17.935
-212.496	-313.148	1.710	113.206	17.886
-212.543	-315.170	1.718	114.974	17.828
-213.068	-317.044	1.711	115.332	18.195
-212.343	-313.014	1.721	113.518	17.759
-212.417	-315.469	1.702	114.634	17.538
-212.640	-313.761	1.720	113.385	17.608
-212.294	-316.636	1.729	114.592	17.623
-212.820	-313.839	1.713	112.813	17.888
-212.662	-311.861	1.715	111.536	17.792
-212.099	-313.387	1.702	112.918	17.616
-212.492	-316.086	1.730	115.229	17.369
-212.354	-316.325	1.729	114.520	17.485
-211.980	-315.321	1.713	113.898	17.791
-213.144	-314.822	1.716	113.774	18.097
-212.300	-315.131	1.711	113.487	17.732
-211.579	-313.662	1.729	112.936	17.229
-212.616	-313.947	1.716	113.151	17.653
-211.440	-312.868	1.703	112.950	17.155
-211.753	-313.192	1.735	113.125	17.243
-211.960	-312.503	1.713	111.353	17.559
-212.082	-311.844	1.707	110.753	17.596
