(440s) Epoch=0, Group=118, loss_phi: -225.949400,  loss_theta: 8043.158103,  ess_rws: 1.009756,  ess_what: 1.120952,  ess_where: 1.291990,  density: -4268.075374
(443s) Epoch=0, Group=119, loss_phi: -222.916180,  loss_theta: 7992.892239,  ess_rws: 1.010195,  ess_what: 1.117405,  ess_where: 1.298370,  density: -4246.293844
(439s) Epoch=0, Group=120, loss_phi: -225.613760,  loss_theta: 8030.851326,  ess_rws: 1.008450,  ess_what: 1.127529,  ess_where: 1.298648,  density: -4263.218335
(440s) Epoch=0, Group=121, loss_phi: -224.384956,  loss_theta: 7960.910903,  ess_rws: 1.006075,  ess_what: 1.127574,  ess_where: 1.297289,  density: -4239.675857
(439s) Epoch=0, Group=122, loss_phi: -228.138037,  loss_theta: 7841.770999,  ess_rws: 1.007978,  ess_what: 1.143266,  ess_where: 1.293210,  density: -4158.897184
(439s) Epoch=0, Group=123, loss_phi: -229.601482,  loss_theta: 7988.308167,  ess_rws: 1.012865,  ess_what: 1.113732,  ess_where: 1.296491,  density: -4256.677667
(439s) Epoch=0, Group=124, loss_phi: -230.190083,  loss_theta: 7733.104399,  ess_rws: 1.009669,  ess_what: 1.118392,  ess_where: 1.305987,  density: -4146.717617
(441s) Epoch=0, Group=125, loss_phi: -229.174258,  loss_theta: 8003.780667,  ess_rws: 1.013524,  ess_what: 1.112241,  ess_where: 1.309228,  density: -4267.285686
(439s) Epoch=0, Group=126, loss_phi: -231.961650,  loss_theta: 7820.495969,  ess_rws: 1.013971,  ess_what: 1.116650,  ess_where: 1.310142,  density: -4164.563193
(439s) Epoch=0, Group=127, loss_phi: -230.926054,  loss_theta: 8002.355496,  ess_rws: 1.010412,  ess_what: 1.127860,  ess_where: 1.296719,  density: -4260.180054
(441s) Epoch=0, Group=128, loss_phi: -227.971290,  loss_theta: 8116.858447,  ess_rws: 1.010667,  ess_what: 1.120063,  ess_where: 1.304069,  density: -4304.860385
(440s) Epoch=0, Group=129, loss_phi: -227.790734,  loss_theta: 7921.812805,  ess_rws: 1.006547,  ess_what: 1.138215,  ess_where: 1.303878,  density: -4238.286350
(440s) Epoch=0, Group=130, loss_phi: -229.724492,  loss_theta: 7755.158394,  ess_rws: 1.010168,  ess_what: 1.125914,  ess_where: 1.315975,  density: -4138.656664
(439s) Epoch=0, Group=131, loss_phi: -229.964175,  loss_theta: 7846.825056,  ess_rws: 1.008136,  ess_what: 1.126840,  ess_where: 1.318655,  density: -4176.623745
(437s) Epoch=0, Group=132, loss_phi: -228.020166,  loss_theta: 7990.945066,  ess_rws: 1.010801,  ess_what: 1.113440,  ess_where: 1.308035,  density: -4240.122954
(437s) Epoch=0, Group=133, loss_phi: -229.067046,  loss_theta: 7855.204189,  ess_rws: 1.011857,  ess_what: 1.120320,  ess_where: 1.308676,  density: -4178.481814
(441s) Epoch=0, Group=134, loss_phi: -229.894242,  loss_theta: 7738.193518,  ess_rws: 1.008164,  ess_what: 1.127559,  ess_where: 1.305342,  density: -4117.446547
(444s) Epoch=0, Group=135, loss_phi: -229.112670,  loss_theta: 8134.695610,  ess_rws: 1.011727,  ess_what: 1.134208,  ess_where: 1.317135,  density: -4312.985455
(445s) Epoch=0, Group=136, loss_phi: -230.276502,  loss_theta: 7888.885037,  ess_rws: 1.008473,  ess_what: 1.122807,  ess_where: 1.305985,  density: -4203.321027
(446s) Epoch=0, Group=137, loss_phi: -233.003618,  loss_theta: 7793.307642,  ess_rws: 1.006435,  ess_what: 1.126660,  ess_where: 1.301197,  density: -4162.451711
(438s) Epoch=0, Group=138, loss_phi: -232.668267,  loss_theta: 7835.361174,  ess_rws: 1.006597,  ess_what: 1.116328,  ess_where: 1.312922,  density: -4196.413439
(436s) Epoch=0, Group=139, loss_phi: -232.980573,  loss_theta: 7742.194719,  ess_rws: 1.006250,  ess_what: 1.141060,  ess_where: 1.322884,  density: -4141.849875
(435s) Epoch=0, Group=140, loss_phi: -232.198561,  loss_theta: 7828.648843,  ess_rws: 1.008475,  ess_what: 1.116840,  ess_where: 1.301437,  density: -4179.487487
(435s) Epoch=0, Group=141, loss_phi: -230.318121,  loss_theta: 8068.557456,  ess_rws: 1.007473,  ess_what: 1.115070,  ess_where: 1.314366,  density: -4293.519830
(435s) Epoch=0, Group=142, loss_phi: -233.536637,  loss_theta: 7948.041067,  ess_rws: 1.007621,  ess_what: 1.120818,  ess_where: 1.310600,  density: -4225.730460
(433s) Epoch=0, Group=143, loss_phi: -232.127832,  loss_theta: 7865.655869,  ess_rws: 1.007026,  ess_what: 1.120712,  ess_where: 1.298822,  density: -4191.533142
(438s) Epoch=0, Group=144, loss_phi: -233.809567,  loss_theta: 7659.725696,  ess_rws: 1.007363,  ess_what: 1.133327,  ess_where: 1.313616,  density: -4102.997346
(440s) Epoch=0, Group=145, loss_phi: -233.146502,  loss_theta: 7901.484470,  ess_rws: 1.006906,  ess_what: 1.125755,  ess_where: 1.325202,  density: -4239.835940
(440s) Epoch=0, Group=146, loss_phi: -233.851845,  loss_theta: 7695.118508,  ess_rws: 1.012160,  ess_what: 1.120036,  ess_where: 1.316934,  density: -4130.120247
(464s) Epoch=0, Group=147, loss_phi: -232.842358,  loss_theta: 7994.424517,  ess_rws: 1.012600,  ess_what: 1.133327,  ess_where: 1.296501,  density: -4306.282330
(438s) Epoch=0, Group=148, loss_phi: -236.422777,  loss_theta: 7559.077251,  ess_rws: 1.008735,  ess_what: 1.119962,  ess_where: 1.308482,  density: -4065.265490
(432s) Epoch=0, Group=149, loss_phi: -234.590241,  loss_theta: 7807.850479,  ess_rws: 1.008207,  ess_what: 1.131011,  ess_where: 1.320080,  density: -4168.403665
