EUBO	ELBO	ESS	IWKLs_ex	IWKLs_in	AKLs_ex	AKLs_in
-200.788	-234.690	2.710	35.646	7.965	35.646	7.965
-200.670	-234.399	2.695	35.381	7.998	35.381	7.998
-200.635	-233.601	2.726	35.061	7.969	35.061	7.969
-200.730	-234.654	2.731	35.348	7.951	35.348	7.951
-200.945	-234.656	2.738	35.566	7.886	35.566	7.886
-200.716	-234.482	2.750	35.341	7.889	35.341	7.889
-200.594	-234.431	2.745	35.338	7.861	35.338	7.861
-200.736	-234.562	2.728	35.201	7.850	35.201	7.850
-200.745	-234.262	2.752	35.022	7.870	35.022	7.870
-200.872	-234.186	2.751	34.993	7.833	34.993	7.833
-200.614	-234.262	2.751	35.031	7.809	35.031	7.809
-200.670	-233.897	2.777	34.821	7.831	34.821	7.831
-200.733	-233.859	2.770	34.633	7.792	34.633	7.792
-200.505	-233.560	2.771	34.650	7.706	34.650	7.706
-200.755	-234.066	2.775	34.730	7.684	34.730	7.684
-200.808	-233.560	2.787	34.101	7.704	34.101	7.704
-200.461	-232.733	2.796	33.756	7.688	33.756	7.688
-200.507	-232.468	2.789	33.287	7.732	33.287	7.732
-200.596	-232.731	2.785	33.653	7.686	33.653	7.686
-200.536	-232.538	2.813	33.279	7.666	33.279	7.666
-200.449	-232.492	2.816	33.619	7.637	33.619	7.637
-200.402	-233.482	2.802	34.125	7.528	34.125	7.528
-200.496	-232.499	2.810	33.333	7.551	33.333	7.551
-200.518	-232.477	2.837	33.300	7.521	33.300	7.521
-200.649	-232.734	2.854	33.243	7.511	33.243	7.511
-200.295	-231.601	2.877	32.729	7.548	32.729	7.548
-200.464	-232.105	2.856	32.866	7.488	32.866	7.488
-200.499	-232.006	2.863	32.946	7.488	32.946	7.488
-200.382	-232.237	2.885	33.226	7.447	33.226	7.447
-200.455	-231.797	2.904	32.729	7.434	32.729	7.434
-200.361	-231.503	2.898	32.444	7.390	32.444	7.390
-200.480	-231.586	2.907	32.327	7.386	32.327	7.386
-200.296	-231.561	2.902	32.633	7.324	32.633	7.324
-200.413	-231.854	2.901	32.696	7.314	32.696	7.314
-200.176	-231.500	2.910	32.443	7.301	32.443	7.301
-200.375	-231.692	2.936	32.443	7.211	32.443	7.211
-200.338	-231.028	2.949	32.108	7.206	32.108	7.206
-200.342	-231.075	2.946	32.057	7.150	32.057	7.150
-200.415	-231.836	2.966	32.272	7.171	32.272	7.171
-200.300	-230.869	2.980	31.939	7.118	31.939	7.118
-200.361	-230.528	2.989	31.272	7.178	31.272	7.178
-200.360	-230.365	2.992	31.028	7.155	31.028	7.155
-200.260	-230.219	2.993	30.897	7.094	30.897	7.094
-200.311	-229.862	3.009	30.731	7.102	30.731	7.102
-200.304	-230.415	3.009	31.118	7.068	31.118	7.068
-200.324	-230.121	3.027	30.892	7.054	30.892	7.054
-200.231	-229.936	3.037	30.889	6.993	30.889	6.993
-200.362	-229.681	3.031	30.656	7.004	30.656	7.004
-200.231	-229.603	3.046	30.678	7.041	30.678	7.041
-200.266	-229.773	3.030	30.563	6.958	30.563	6.958
-200.239	-229.716	3.062	30.314	6.942	30.314	6.942
-200.235	-229.691	3.062	30.443	6.876	30.443	6.876
-200.128	-229.347	3.070	30.489	6.870	30.489	6.870
-200.140	-229.419	3.090	30.090	6.866	30.090	6.866
-200.074	-229.030	3.081	29.931	6.849	29.931	6.849
-200.157	-229.060	3.108	30.156	6.845	30.156	6.845
-200.200	-229.789	3.076	30.163	6.866	30.163	6.866
-200.173	-228.794	3.107	29.565	6.789	29.565	6.789
-200.117	-228.582	3.087	29.593	6.798	29.593	6.798
-200.249	-228.501	3.107	29.233	6.830	29.233	6.830
-200.090	-228.319	3.110	29.211	6.814	29.211	6.814
-200.148	-228.588	3.130	29.213	6.739	29.213	6.739
-200.201	-228.673	3.142	29.360	6.682	29.360	6.682
-200.098	-228.184	3.150	29.038	6.687	29.038	6.687
-199.945	-228.513	3.141	29.250	6.701	29.250	6.701
-200.216	-228.185	3.140	29.041	6.688	29.041	6.688
-199.951	-227.755	3.167	28.591	6.576	28.591	6.576
-200.053	-228.415	3.144	28.953	6.612	28.953	6.612
-200.101	-227.701	3.168	28.525	6.616	28.525	6.616
-199.988	-227.547	3.165	28.456	6.616	28.456	6.616
-199.875	-227.366	3.181	28.279	6.577	28.279	6.577
-200.061	-226.996	3.191	27.870	6.573	27.870	6.573
-199.955	-227.504	3.179	28.026	6.580	28.026	6.580
-199.840	-226.563	3.200	27.751	6.525	27.751	6.525
-199.957	-226.749	3.215	27.577	6.541	27.577	6.541
-199.771	-226.897	3.218	28.024	6.446	28.024	6.447
-199.918	-227.387	3.192	28.187	6.490	28.187	6.490
-199.876	-226.652	3.235	27.567	6.422	27.567	6.422
-199.921	-226.993	3.223	27.920	6.432	27.920	6.432
-199.851	-226.903	3.244	27.907	6.398	27.907	6.398
-199.818	-226.780	3.233	27.555	6.389	27.555	6.389
-199.757	-226.883	3.247	27.442	6.359	27.442	6.359
-199.711	-226.676	3.228	27.397	6.351	27.397	6.351
-199.906	-226.861	3.274	27.258	6.368	27.258	6.368
-199.691	-226.218	3.273	26.988	6.290	26.988	6.290
-199.732	-225.842	3.261	27.128	6.317	27.128	6.317
-199.693	-225.623	3.274	26.824	6.291	26.824	6.291
-199.824	-226.041	3.261	26.900	6.321	26.900	6.321
-199.616	-225.845	3.294	26.938	6.209	26.938	6.209
-199.715	-225.919	3.321	26.784	6.157	26.784	6.157
-199.922	-226.189	3.297	27.249	6.124	27.249	6.124
-199.800	-226.082	3.323	26.808	6.111	26.808	6.111
-199.625	-226.007	3.320	26.919	6.133	26.919	6.133
-199.834	-225.518	3.316	26.508	6.139	26.508	6.139
-199.628	-224.812	3.347	25.876	6.086	25.876	6.086
-199.720	-224.860	3.348	26.005	6.063	26.005	6.063
-199.642	-224.630	3.344	25.836	6.053	25.836	6.053
-199.627	-224.891	3.357	25.926	6.017	25.926	6.017
-199.488	-225.241	3.356	25.735	5.979	25.735	5.979
-199.619	-224.484	3.385	25.716	5.985	25.716	5.985
-199.678	-224.681	3.359	25.386	6.024	25.386	6.024
-199.579	-224.167	3.393	25.080	5.966	25.080	5.966
-199.503	-224.063	3.395	25.302	5.939	25.302	5.939
-199.661	-224.680	3.388	25.320	5.944	25.320	5.944
-199.707	-224.600	3.427	25.450	5.915	25.450	5.915
-199.518	-224.517	3.419	25.429	5.867	25.429	5.867
-199.559	-224.205	3.433	24.985	5.921	24.985	5.921
-199.452	-223.743	3.449	24.693	5.823	24.693	5.823
-199.496	-224.039	3.453	24.637	5.814	24.637	5.814
