EUBO	ELBO	ESS	IWKLs_ex	IWKLs_in	AKLs_ex	AKLs_in
-199.345	-222.804	3.751	24.070	5.787	24.070	5.787
-199.489	-222.772	3.745	23.776	5.857	23.776	5.857
-199.310	-222.167	3.761	23.625	5.836	23.625	5.836
-199.184	-221.294	3.740	23.214	5.884	23.214	5.884
-199.145	-221.321	3.769	22.810	5.799	22.810	5.799
-199.401	-221.533	3.785	23.004	5.812	23.004	5.812
-199.286	-221.414	3.789	22.911	5.733	22.911	5.733
-199.097	-220.904	3.774	22.587	5.782	22.587	5.782
-199.161	-221.553	3.789	22.742	5.675	22.742	5.675
-199.197	-221.049	3.818	22.761	5.647	22.761	5.647
-199.241	-220.311	3.819	22.086	5.693	22.086	5.693
-199.181	-220.715	3.832	22.141	5.682	22.141	5.682
-199.004	-220.928	3.863	22.339	5.614	22.339	5.614
-199.334	-220.652	3.842	22.104	5.630	22.104	5.630
-199.205	-220.282	3.871	21.569	5.583	21.569	5.583
-199.145	-220.398	3.875	21.671	5.548	21.671	5.548
-199.148	-220.483	3.871	21.843	5.621	21.843	5.621
-199.225	-220.159	3.890	21.586	5.683	21.586	5.683
-199.262	-220.049	3.904	21.338	5.615	21.338	5.615
-199.057	-220.202	3.908	21.486	5.611	21.486	5.611
-199.122	-219.561	3.887	21.202	5.597	21.202	5.597
-199.138	-219.587	3.917	21.269	5.557	21.269	5.557
-199.017	-219.565	3.930	21.112	5.487	21.112	5.487
-199.107	-219.332	3.947	20.920	5.464	20.920	5.464
-199.078	-219.376	3.936	20.803	5.488	20.803	5.488
-198.967	-219.304	3.948	20.977	5.449	20.977	5.449
-198.948	-219.021	3.940	20.741	5.460	20.741	5.460
-199.123	-219.667	3.954	20.904	5.473	20.904	5.473
-198.991	-219.141	3.964	20.629	5.387	20.629	5.387
-199.129	-218.870	3.975	20.194	5.418	20.194	5.418
-199.094	-218.804	3.983	20.248	5.380	20.248	5.380
-199.006	-218.548	4.006	20.028	5.378	20.028	5.378
-198.963	-218.439	3.984	19.917	5.418	19.917	5.418
-198.967	-218.604	4.008	19.889	5.340	19.889	5.340
-198.993	-217.765	4.042	19.534	5.386	19.534	5.386
-198.946	-218.176	4.015	19.766	5.377	19.766	5.377
