tensor(4.8691, grad_fn=<MeanBackward1>)
tensor(4.5540, grad_fn=<MeanBackward1>)
tensor(5.1381, grad_fn=<MeanBackward1>)
tensor(4.4029, grad_fn=<MeanBackward1>)
tensor(4.4100, grad_fn=<MeanBackward1>)
tensor(4.7099, grad_fn=<MeanBackward1>)
tensor(4.6314, grad_fn=<MeanBackward1>)
tensor(4.6785, grad_fn=<MeanBackward1>)
tensor(4.8691, grad_fn=<MeanBackward1>)
tensor(4.2027, grad_fn=<MeanBackward1>)
tensor(4.7093, grad_fn=<MeanBackward1>)
tensor(4.3683, grad_fn=<MeanBackward1>)
tensor(5.0790, grad_fn=<MeanBackward1>)
tensor(4.2762, grad_fn=<MeanBackward1>)
tensor(4.3238, grad_fn=<MeanBackward1>)
tensor(4.5987, grad_fn=<MeanBackward1>)
tensor(4.6110, grad_fn=<MeanBackward1>)
tensor(4.7122, grad_fn=<MeanBackward1>)
tensor(4.7308, grad_fn=<MeanBackward1>)
tensor(4.1908, grad_fn=<MeanBackward1>)
tensor(4.6941, grad_fn=<MeanBackward1>)
tensor(4.3759, grad_fn=<MeanBackward1>)
tensor(4.8570, grad_fn=<MeanBackward1>)
tensor(4.1244, grad_fn=<MeanBackward1>)
tensor(4.3345, grad_fn=<MeanBackward1>)
tensor(4.4879, grad_fn=<MeanBackward1>)
tensor(4.6289, grad_fn=<MeanBackward1>)
tensor(4.5453, grad_fn=<MeanBackward1>)
tensor(4.6483, grad_fn=<MeanBackward1>)
tensor(4.1985, grad_fn=<MeanBackward1>)
tensor(4.5917, grad_fn=<MeanBackward1>)
tensor(4.3306, grad_fn=<MeanBackward1>)
tensor(4.8266, grad_fn=<MeanBackward1>)
tensor(4.3044, grad_fn=<MeanBackward1>)
tensor(4.1937, grad_fn=<MeanBackward1>)
tensor(4.6103, grad_fn=<MeanBackward1>)
tensor(4.6874, grad_fn=<MeanBackward1>)
tensor(4.3745, grad_fn=<MeanBackward1>)
tensor(4.6164, grad_fn=<MeanBackward1>)
tensor(4.0949, grad_fn=<MeanBackward1>)
tensor(4.6895, grad_fn=<MeanBackward1>)
tensor(4.3210, grad_fn=<MeanBackward1>)
tensor(4.8743, grad_fn=<MeanBackward1>)
tensor(4.0943, grad_fn=<MeanBackward1>)
tensor(4.1230, grad_fn=<MeanBackward1>)
tensor(4.4959, grad_fn=<MeanBackward1>)
tensor(4.6113, grad_fn=<MeanBackward1>)
tensor(4.5208, grad_fn=<MeanBackward1>)
tensor(4.3735, grad_fn=<MeanBackward1>)
tensor(4.1870, grad_fn=<MeanBackward1>)
tensor(4.5963, grad_fn=<MeanBackward1>)
tensor(4.2468, grad_fn=<MeanBackward1>)
tensor(4.6777, grad_fn=<MeanBackward1>)
tensor(4.0933, grad_fn=<MeanBackward1>)
tensor(4.1110, grad_fn=<MeanBackward1>)
tensor(4.4468, grad_fn=<MeanBackward1>)
tensor(4.4510, grad_fn=<MeanBackward1>)
tensor(4.5618, grad_fn=<MeanBackward1>)
tensor(4.5150, grad_fn=<MeanBackward1>)
tensor(4.0327, grad_fn=<MeanBackward1>)
tensor(4.6800, grad_fn=<MeanBackward1>)
tensor(4.3954, grad_fn=<MeanBackward1>)
tensor(4.5718, grad_fn=<MeanBackward1>)
tensor(4.0249, grad_fn=<MeanBackward1>)
tensor(4.2033, grad_fn=<MeanBackward1>)
tensor(4.4830, grad_fn=<MeanBackward1>)
tensor(4.4545, grad_fn=<MeanBackward1>)
tensor(4.4364, grad_fn=<MeanBackward1>)
tensor(4.4599, grad_fn=<MeanBackward1>)
tensor(4.0402, grad_fn=<MeanBackward1>)
tensor(4.4943, grad_fn=<MeanBackward1>)
tensor(4.0432, grad_fn=<MeanBackward1>)
tensor(4.7469, grad_fn=<MeanBackward1>)
tensor(3.9125, grad_fn=<MeanBackward1>)
tensor(3.9904, grad_fn=<MeanBackward1>)
tensor(4.3522, grad_fn=<MeanBackward1>)
tensor(4.4673, grad_fn=<MeanBackward1>)
tensor(4.2717, grad_fn=<MeanBackward1>)
tensor(4.4217, grad_fn=<MeanBackward1>)
tensor(3.9138, grad_fn=<MeanBackward1>)
tensor(4.5465, grad_fn=<MeanBackward1>)
tensor(4.2153, grad_fn=<MeanBackward1>)
tensor(4.5946, grad_fn=<MeanBackward1>)
tensor(3.9142, grad_fn=<MeanBackward1>)
tensor(4.1429, grad_fn=<MeanBackward1>)
tensor(4.1556, grad_fn=<MeanBackward1>)
tensor(4.6120, grad_fn=<MeanBackward1>)
tensor(4.2643, grad_fn=<MeanBackward1>)
tensor(4.6397, grad_fn=<MeanBackward1>)
tensor(3.9339, grad_fn=<MeanBackward1>)
tensor(4.4078, grad_fn=<MeanBackward1>)
tensor(4.0380, grad_fn=<MeanBackward1>)
tensor(4.6027, grad_fn=<MeanBackward1>)
tensor(3.9459, grad_fn=<MeanBackward1>)
tensor(4.0405, grad_fn=<MeanBackward1>)
tensor(4.3024, grad_fn=<MeanBackward1>)
tensor(4.4031, grad_fn=<MeanBackward1>)
tensor(4.2999, grad_fn=<MeanBackward1>)
tensor(4.2051, grad_fn=<MeanBackward1>)
tensor(3.8873, grad_fn=<MeanBackward1>)
tensor(4.4013, grad_fn=<MeanBackward1>)
tensor(4.1105, grad_fn=<MeanBackward1>)
tensor(4.4019, grad_fn=<MeanBackward1>)
tensor(3.8715, grad_fn=<MeanBackward1>)
tensor(4.0949, grad_fn=<MeanBackward1>)
tensor(4.1951, grad_fn=<MeanBackward1>)
tensor(4.2873, grad_fn=<MeanBackward1>)
tensor(4.2418, grad_fn=<MeanBackward1>)
