TrueKL=0.000601, loss: 11.079600,  ess_rws: 1.145289,  ess_eta: 9.972713,  ess_z: 8.271664,  inckl_eta: 0.001440,  inckl_z: 0.083220
TrueKL=0.000625, loss: 11.152810,  ess_rws: 1.145252,  ess_eta: 9.971965,  ess_z: 8.274624,  inckl_eta: 0.001002,  inckl_z: 0.080137
TrueKL=0.000550, loss: 11.165117,  ess_rws: 1.149040,  ess_eta: 9.973939,  ess_z: 8.297984,  inckl_eta: 0.000895,  inckl_z: 0.082295
TrueKL=0.000617, loss: 11.164338,  ess_rws: 1.143922,  ess_eta: 9.971448,  ess_z: 8.303015,  inckl_eta: 0.001340,  inckl_z: 0.080262
TrueKL=0.000547, loss: 11.125474,  ess_rws: 1.149089,  ess_eta: 9.973994,  ess_z: 8.312672,  inckl_eta: 0.001314,  inckl_z: 0.076524
TrueKL=0.000566, loss: 11.125984,  ess_rws: 1.145952,  ess_eta: 9.973481,  ess_z: 8.307428,  inckl_eta: 0.001332,  inckl_z: 0.078295
TrueKL=0.000584, loss: 11.158465,  ess_rws: 1.147137,  ess_eta: 9.972276,  ess_z: 8.313921,  inckl_eta: 0.001430,  inckl_z: 0.077458
TrueKL=0.000567, loss: 11.184981,  ess_rws: 1.144456,  ess_eta: 9.973290,  ess_z: 8.320406,  inckl_eta: 0.001092,  inckl_z: 0.074755
TrueKL=0.000591, loss: 11.210857,  ess_rws: 1.149570,  ess_eta: 9.972587,  ess_z: 8.322265,  inckl_eta: 0.001338,  inckl_z: 0.076457
TrueKL=0.000594, loss: 11.247787,  ess_rws: 1.150157,  ess_eta: 9.972306,  ess_z: 8.284497,  inckl_eta: 0.001047,  inckl_z: 0.078254
TrueKL=0.000567, loss: 11.211326,  ess_rws: 1.144881,  ess_eta: 9.972951,  ess_z: 8.311212,  inckl_eta: 0.001043,  inckl_z: 0.076382
TrueKL=0.000557, loss: 11.145542,  ess_rws: 1.144977,  ess_eta: 9.973439,  ess_z: 8.334881,  inckl_eta: 0.001356,  inckl_z: 0.073745
TrueKL=0.000581, loss: 11.108552,  ess_rws: 1.146072,  ess_eta: 9.973001,  ess_z: 8.379025,  inckl_eta: 0.001184,  inckl_z: 0.072697
