(265s) loss_phi: -521.250096,  loss_theta: 311.858499,  ess_rws: 1.023521,  ess_mu: 2.030574,  ess_local: 8.851389,  density: -706.820763
(265s) loss_phi: -520.695769,  loss_theta: 307.626685,  ess_rws: 1.022643,  ess_mu: 2.038704,  ess_local: 8.869414,  density: -702.432806
(265s) loss_phi: -519.908189,  loss_theta: 298.726582,  ess_rws: 1.023198,  ess_mu: 2.049270,  ess_local: 8.890331,  density: -696.306513
(265s) loss_phi: -518.205704,  loss_theta: 302.213870,  ess_rws: 1.023843,  ess_mu: 2.049573,  ess_local: 8.904120,  density: -696.411549
(266s) loss_phi: -519.454262,  loss_theta: 304.393632,  ess_rws: 1.023967,  ess_mu: 2.044328,  ess_local: 8.913309,  density: -695.085653
(266s) loss_phi: -517.752757,  loss_theta: 292.636734,  ess_rws: 1.023490,  ess_mu: 2.061413,  ess_local: 8.937586,  density: -688.877292
(266s) loss_phi: -517.393343,  loss_theta: 291.955755,  ess_rws: 1.023149,  ess_mu: 2.063437,  ess_local: 8.957150,  density: -686.554540
(264s) loss_phi: -517.677150,  loss_theta: 287.683486,  ess_rws: 1.024056,  ess_mu: 2.067554,  ess_local: 8.969404,  density: -681.801737
(264s) loss_phi: -517.148000,  loss_theta: 285.809082,  ess_rws: 1.024252,  ess_mu: 2.071680,  ess_local: 8.992098,  density: -678.293581
(264s) loss_phi: -516.191354,  loss_theta: 281.529313,  ess_rws: 1.024838,  ess_mu: 2.074107,  ess_local: 9.004246,  density: -675.458660
(264s) loss_phi: -515.459893,  loss_theta: 277.579195,  ess_rws: 1.023533,  ess_mu: 2.089241,  ess_local: 9.023755,  density: -672.006647
(265s) loss_phi: -515.305135,  loss_theta: 279.683012,  ess_rws: 1.025422,  ess_mu: 2.083636,  ess_local: 9.038693,  density: -671.680651
(265s) loss_phi: -514.597138,  loss_theta: 277.119777,  ess_rws: 1.022921,  ess_mu: 2.090983,  ess_local: 9.052071,  density: -669.127602
(265s) loss_phi: -514.571422,  loss_theta: 275.164930,  ess_rws: 1.023782,  ess_mu: 2.096690,  ess_local: 9.067853,  density: -665.858317
(265s) loss_phi: -513.624663,  loss_theta: 271.997953,  ess_rws: 1.024264,  ess_mu: 2.100400,  ess_local: 9.082044,  density: -663.639779
(273s) loss_phi: -513.065112,  loss_theta: 269.287476,  ess_rws: 1.026751,  ess_mu: 2.102105,  ess_local: 9.077199,  density: -660.818583
(267s) loss_phi: -513.395478,  loss_theta: 269.285421,  ess_rws: 1.025983,  ess_mu: 2.104585,  ess_local: 9.102253,  density: -658.692312
(270s) loss_phi: -512.931559,  loss_theta: 263.089857,  ess_rws: 1.024185,  ess_mu: 2.103043,  ess_local: 9.109192,  density: -654.545191
(266s) loss_phi: -512.398557,  loss_theta: 260.804485,  ess_rws: 1.024094,  ess_mu: 2.121484,  ess_local: 9.127551,  density: -651.199888
(268s) loss_phi: -512.987054,  loss_theta: 259.243739,  ess_rws: 1.025028,  ess_mu: 2.121421,  ess_local: 9.129169,  density: -649.084647
(270s) loss_phi: -511.953862,  loss_theta: 255.531334,  ess_rws: 1.025546,  ess_mu: 2.130070,  ess_local: 9.145226,  density: -645.979221
(263s) loss_phi: -511.776036,  loss_theta: 251.697051,  ess_rws: 1.027691,  ess_mu: 2.135534,  ess_local: 9.152701,  density: -642.508270
(262s) loss_phi: -511.664202,  loss_theta: 254.708960,  ess_rws: 1.027242,  ess_mu: 2.125238,  ess_local: 9.156537,  density: -642.484069
(263s) loss_phi: -511.070668,  loss_theta: 252.368657,  ess_rws: 1.024421,  ess_mu: 2.141008,  ess_local: 9.167709,  density: -640.062222
(263s) loss_phi: -511.704201,  loss_theta: 248.439458,  ess_rws: 1.027171,  ess_mu: 2.137231,  ess_local: 9.168100,  density: -637.202745
(263s) loss_phi: -509.921983,  loss_theta: 243.559739,  ess_rws: 1.026411,  ess_mu: 2.150507,  ess_local: 9.182506,  density: -634.130594
(265s) loss_phi: -510.075611,  loss_theta: 244.821529,  ess_rws: 1.026244,  ess_mu: 2.149714,  ess_local: 9.191604,  density: -632.981400
(265s) loss_phi: -509.748244,  loss_theta: 241.158925,  ess_rws: 1.026727,  ess_mu: 2.152069,  ess_local: 9.199388,  density: -630.067213
(264s) loss_phi: -509.099393,  loss_theta: 242.666465,  ess_rws: 1.024658,  ess_mu: 2.152833,  ess_local: 9.203020,  density: -629.514640
(262s) loss_phi: -509.771268,  loss_theta: 238.725761,  ess_rws: 1.027475,  ess_mu: 2.154938,  ess_local: 9.207542,  density: -626.186868
(269s) loss_phi: -509.831917,  loss_theta: 236.137407,  ess_rws: 1.026003,  ess_mu: 2.170895,  ess_local: 9.211986,  density: -623.356183
(267s) loss_phi: -509.114850,  loss_theta: 235.134051,  ess_rws: 1.026646,  ess_mu: 2.170238,  ess_local: 9.221849,  density: -622.337723
(267s) loss_phi: -508.890866,  loss_theta: 233.729206,  ess_rws: 1.025358,  ess_mu: 2.176594,  ess_local: 9.224878,  density: -620.630971
(265s) loss_phi: -508.370864,  loss_theta: 229.132765,  ess_rws: 1.026414,  ess_mu: 2.183277,  ess_local: 9.230412,  density: -617.352281
(265s) loss_phi: -509.008698,  loss_theta: 233.670438,  ess_rws: 1.026158,  ess_mu: 2.175557,  ess_local: 9.238600,  density: -617.076446
