(386s) loss_phi: -447.628920,  loss_theta: 291.727763,  ess_rws: 1.021630,  ess_mu: 1.318824,  ess_local: 1.036855,  density: -621.420613
(386s) loss_phi: -446.673031,  loss_theta: 286.231051,  ess_rws: 1.023571,  ess_mu: 1.314692,  ess_local: 1.036719,  density: -617.032794
(387s) loss_phi: -446.467567,  loss_theta: 282.460395,  ess_rws: 1.023286,  ess_mu: 1.311650,  ess_local: 1.036328,  density: -612.269699
(387s) loss_phi: -445.514070,  loss_theta: 279.981173,  ess_rws: 1.021506,  ess_mu: 1.325898,  ess_local: 1.035288,  density: -609.917982
(387s) loss_phi: -444.692078,  loss_theta: 275.355131,  ess_rws: 1.022270,  ess_mu: 1.321241,  ess_local: 1.039794,  density: -605.882218
(387s) loss_phi: -443.933336,  loss_theta: 273.481019,  ess_rws: 1.023290,  ess_mu: 1.319027,  ess_local: 1.038757,  density: -602.888657
(387s) loss_phi: -443.455575,  loss_theta: 269.175434,  ess_rws: 1.020699,  ess_mu: 1.325417,  ess_local: 1.039240,  density: -598.698391
(380s) loss_phi: -442.964639,  loss_theta: 264.991154,  ess_rws: 1.021702,  ess_mu: 1.329095,  ess_local: 1.038771,  density: -595.588780
(384s) loss_phi: -442.337792,  loss_theta: 263.075873,  ess_rws: 1.023132,  ess_mu: 1.329617,  ess_local: 1.038459,  density: -592.421193
(395s) loss_phi: -441.891760,  loss_theta: 259.554110,  ess_rws: 1.023604,  ess_mu: 1.334188,  ess_local: 1.039977,  density: -589.752779
(397s) loss_phi: -441.307627,  loss_theta: 257.462370,  ess_rws: 1.022625,  ess_mu: 1.333404,  ess_local: 1.041617,  density: -586.503627
(399s) loss_phi: -441.357601,  loss_theta: 252.619567,  ess_rws: 1.022686,  ess_mu: 1.340423,  ess_local: 1.040130,  density: -582.397268
(391s) loss_phi: -440.699047,  loss_theta: 253.977811,  ess_rws: 1.023854,  ess_mu: 1.329989,  ess_local: 1.041069,  density: -581.954687
(386s) loss_phi: -440.143869,  loss_theta: 249.752062,  ess_rws: 1.023785,  ess_mu: 1.337948,  ess_local: 1.042100,  density: -577.721167
(392s) loss_phi: -439.966939,  loss_theta: 246.652462,  ess_rws: 1.023603,  ess_mu: 1.339919,  ess_local: 1.040766,  density: -575.410157
(389s) loss_phi: -439.473272,  loss_theta: 246.163581,  ess_rws: 1.025417,  ess_mu: 1.348640,  ess_local: 1.043086,  density: -573.729772
(390s) loss_phi: -439.393236,  loss_theta: 241.700328,  ess_rws: 1.024908,  ess_mu: 1.340271,  ess_local: 1.040527,  density: -569.813277
(398s) loss_phi: -439.146983,  loss_theta: 238.749421,  ess_rws: 1.023303,  ess_mu: 1.340923,  ess_local: 1.041929,  density: -566.774953
