(20s) Epoch=12, Group=6, loss_phi: -77.8191,  loss_theta: 1869.6839,  ess: 1.0628,  density: -2372.9375
(20s) Epoch=12, Group=7, loss_phi: -76.2412,  loss_theta: 1996.2405,  ess: 1.0423,  density: -2528.8817
(20s) Epoch=12, Group=8, loss_phi: -76.2934,  loss_theta: 1851.5013,  ess: 1.0611,  density: -2374.5443
(20s) Epoch=12, Group=9, loss_phi: -79.2304,  loss_theta: 1720.5453,  ess: 1.0676,  density: -2231.1659
(20s) Epoch=13, Group=0, loss_phi: -80.3316,  loss_theta: 1847.2246,  ess: 1.0813,  density: -2347.1958
(20s) Epoch=13, Group=1, loss_phi: -77.6953,  loss_theta: 1770.5470,  ess: 1.0586,  density: -2269.2299
(20s) Epoch=13, Group=2, loss_phi: -79.4138,  loss_theta: 1845.5392,  ess: 1.0612,  density: -2345.2764
(20s) Epoch=13, Group=3, loss_phi: -73.3495,  loss_theta: 1949.0120,  ess: 1.0565,  density: -2498.4345
(20s) Epoch=13, Group=4, loss_phi: -76.1611,  loss_theta: 1951.6636,  ess: 1.0535,  density: -2475.7263
(20s) Epoch=13, Group=5, loss_phi: -77.9709,  loss_theta: 1635.7511,  ess: 1.0663,  density: -2120.4596
(20s) Epoch=13, Group=6, loss_phi: -78.5330,  loss_theta: 1790.2547,  ess: 1.0638,  density: -2275.3472
(20s) Epoch=13, Group=7, loss_phi: -76.5611,  loss_theta: 1682.5801,  ess: 1.0604,  density: -2194.4232
(20s) Epoch=13, Group=8, loss_phi: -77.6407,  loss_theta: 1735.3400,  ess: 1.0560,  density: -2213.1985
(19s) Epoch=13, Group=9, loss_phi: -80.7002,  loss_theta: 1821.5439,  ess: 1.0632,  density: -2306.8826
(19s) Epoch=14, Group=0, loss_phi: -81.7867,  loss_theta: 1817.9409,  ess: 1.0559,  density: -2292.2254
(19s) Epoch=14, Group=1, loss_phi: -74.8661,  loss_theta: 1901.6264,  ess: 1.0504,  density: -2441.9092
(19s) Epoch=14, Group=2, loss_phi: -75.0866,  loss_theta: 1898.4720,  ess: 1.0501,  density: -2431.3147
(19s) Epoch=14, Group=3, loss_phi: -76.9056,  loss_theta: 1598.0715,  ess: 1.0561,  density: -2080.4535
(19s) Epoch=14, Group=4, loss_phi: -80.5974,  loss_theta: 1658.9236,  ess: 1.0597,  density: -2138.4841
(19s) Epoch=14, Group=5, loss_phi: -81.8869,  loss_theta: 1763.3927,  ess: 1.0488,  density: -2225.0474
(19s) Epoch=14, Group=6, loss_phi: -78.4553,  loss_theta: 1760.7136,  ess: 1.0661,  density: -2252.8049
(19s) Epoch=14, Group=7, loss_phi: -82.7450,  loss_theta: 1701.6468,  ess: 1.0631,  density: -2164.5726
(19s) Epoch=14, Group=8, loss_phi: -84.7800,  loss_theta: 1684.0576,  ess: 1.0696,  density: -2126.1796
(19s) Epoch=14, Group=9, loss_phi: -83.4982,  loss_theta: 1766.5820,  ess: 1.0629,  density: -2234.7086
(20s) Epoch=15, Group=0, loss_phi: -85.0507,  loss_theta: 1570.6468,  ess: 1.0552,  density: -2016.5506
(20s) Epoch=15, Group=1, loss_phi: -83.8871,  loss_theta: 1728.6983,  ess: 1.0635,  density: -2199.8972
(20s) Epoch=15, Group=2, loss_phi: -83.6697,  loss_theta: 1861.0646,  ess: 1.0545,  density: -2356.3963
(20s) Epoch=15, Group=3, loss_phi: -83.2583,  loss_theta: 1727.6342,  ess: 1.0611,  density: -2206.8822
(20s) Epoch=15, Group=4, loss_phi: -82.9244,  loss_theta: 1658.8308,  ess: 1.0781,  density: -2105.0774
(20s) Epoch=15, Group=5, loss_phi: -84.8905,  loss_theta: 1683.1229,  ess: 1.0561,  density: -2131.0692
(20s) Epoch=15, Group=6, loss_phi: -86.0973,  loss_theta: 1619.0516,  ess: 1.0737,  density: -2075.5544
(20s) Epoch=15, Group=7, loss_phi: -83.0111,  loss_theta: 1735.8746,  ess: 1.0667,  density: -2210.6645
(20s) Epoch=15, Group=8, loss_phi: -81.5413,  loss_theta: 1861.1063,  ess: 1.0533,  density: -2367.9936
(20s) Epoch=15, Group=9, loss_phi: -81.4543,  loss_theta: 1712.7000,  ess: 1.0645,  density: -2181.6554
(20s) Epoch=16, Group=0, loss_phi: -81.9569,  loss_theta: 1719.5513,  ess: 1.0575,  density: -2196.7219
