EUBO	ELBO	ESS
438.369	433.093	5.560
438.307	433.294	5.716
438.481	432.694	5.285
438.313	433.589	5.819
438.457	432.702	5.375
438.353	433.344	5.792
438.429	432.560	5.284
438.371	433.205	5.550
438.455	432.862	5.402
438.441	432.992	5.467
438.369	433.275	5.593
438.385	433.078	5.499
438.409	432.988	5.354
438.384	433.179	5.594
438.372	433.314	5.604
438.429	432.991	5.520
438.291	433.446	5.758
438.420	433.223	5.540
438.484	432.881	5.350
438.366	433.494	5.681
438.602	432.359	5.077
438.465	432.761	5.246
438.343	433.626	5.731
438.421	433.116	5.471
438.359	433.385	5.535
438.444	433.026	5.419
438.467	432.579	5.236
438.447	433.242	5.560
438.346	433.733	5.761
438.423	433.165	5.491
438.348	433.376	5.614
438.364	433.411	5.592
438.473	432.650	5.306
438.436	432.767	5.382
438.444	433.062	5.434
438.343	433.658	5.715
438.347	433.554	5.644
438.393	433.470	5.698
438.346	433.469	5.648
438.336	433.688	5.698
438.394	432.650	5.396
438.406	433.209	5.531
438.288	433.460	5.734
438.460	433.184	5.479
438.462	432.771	5.240
438.411	433.705	5.649
438.373	433.231	5.467
438.419	433.327	5.534
438.444	433.180	5.415
438.411	433.573	5.634
438.357	433.776	5.717
438.379	433.285	5.479
438.428	433.371	5.528
438.414	433.104	5.452
438.401	433.561	5.572
438.274	433.864	5.814
438.388	433.445	5.470
438.387	433.293	5.504
438.428	433.085	5.396
438.462	433.161	5.384
438.381	433.462	5.488
438.551	433.007	5.219
438.375	433.548	5.556
438.354	433.662	5.665
438.526	433.018	5.266
438.507	432.893	5.249
438.404	433.554	5.603
438.419	433.502	5.524
438.487	433.199	5.395
438.417	433.348	5.463
438.367	433.425	5.531
438.480	433.017	5.295
438.358	433.654	5.653
438.351	433.874	5.711
438.409	433.561	5.531
438.526	433.008	5.260
438.483	433.403	5.370
438.330	433.968	5.839
438.422	433.285	5.446
438.343	433.977	5.789
438.288	433.797	5.706
438.427	433.326	5.370
438.388	433.613	5.557
438.401	433.459	5.590
438.451	433.352	5.541
438.393	433.553	5.601
438.328	433.519	5.531
438.394	433.457	5.558
438.397	433.305	5.435
438.349	433.934	5.810
438.477	433.148	5.282
438.419	433.565	5.528
438.356	433.723	5.613
438.407	433.351	5.452
438.447	433.444	5.421
438.365	433.598	5.600
438.419	433.717	5.601
438.409	433.519	5.533
438.435	433.345	5.432
438.447	432.951	5.320
438.420	433.796	5.667
438.337	433.893	5.741
438.411	433.715	5.596
438.389	433.964	5.718
438.373	433.558	5.532
438.605	432.937	5.076
438.351	433.871	5.649
438.509	433.514	5.371
438.396	433.851	5.624
438.347	433.699	5.596
438.465	433.382	5.382
438.479	433.255	5.375
438.299	434.185	5.842
438.402	433.656	5.520
438.402	433.740	5.586
438.421	434.022	5.639
438.438	433.159	5.338
438.406	433.582	5.417
438.319	433.993	5.661
438.414	433.784	5.598
438.280	434.083	5.790
438.464	433.765	5.505
438.386	433.802	5.579
438.466	433.741	5.560
438.521	432.957	5.164
438.291	433.972	5.702
438.473	433.700	5.509
438.327	434.087	5.704
438.368	433.639	5.527
438.463	433.450	5.405
438.388	433.956	5.743
