28021s, 0.000708, loss: 17.992941,  ess_rws: 1.123209,  ess_eta: 9.976986,  ess_z: 4.047899,  inckl_eta: 0.004201,  inckl_z: 0.297129
28332s, 0.004761, loss: 17.966735,  ess_rws: 1.120680,  ess_eta: 9.977521,  ess_z: 4.030223,  inckl_eta: 0.004275,  inckl_z: 0.295916
28642s, 0.000719, loss: 18.014198,  ess_rws: 1.127616,  ess_eta: 9.978446,  ess_z: 4.057656,  inckl_eta: 0.004306,  inckl_z: 0.297101
28951s, 0.000478, loss: 17.981878,  ess_rws: 1.125060,  ess_eta: 9.980067,  ess_z: 4.043284,  inckl_eta: 0.004895,  inckl_z: 0.291215
21425s, 0.001188, loss: 12.952293,  ess_rws: 1.171943,  ess_eta: 4.988894,  ess_z: 3.545968,  inckl_eta: 0.000525,  inckl_z: 0.163959
21753s, 0.000900, loss: 12.997833,  ess_rws: 1.172602,  ess_eta: 4.988970,  ess_z: 3.546639,  inckl_eta: 0.000711,  inckl_z: 0.160427
22084s, 0.001802, loss: 12.859072,  ess_rws: 1.167386,  ess_eta: 4.989146,  ess_z: 3.568138,  inckl_eta: 0.000591,  inckl_z: 0.157681
22413s, 0.000654, loss: 12.866709,  ess_rws: 1.164804,  ess_eta: 4.986848,  ess_z: 3.584498,  inckl_eta: 0.000710,  inckl_z: 0.155007
22744s, 0.000545, loss: 12.913943,  ess_rws: 1.168984,  ess_eta: 4.988284,  ess_z: 3.586937,  inckl_eta: 0.000736,  inckl_z: 0.152848
23075s, 0.000469, loss: 12.819278,  ess_rws: 1.164898,  ess_eta: 4.989625,  ess_z: 3.604131,  inckl_eta: 0.000603,  inckl_z: 0.151484
8245s, 0.006806, loss: 14.307562,  ess_rws: 1.289914,  ess_eta: 4.937757,  ess_z: 2.603864,  inckl_eta: 0.030292,  inckl_z: 0.468504
8579s, 0.004895, loss: 14.340413,  ess_rws: 1.298928,  ess_eta: 4.950043,  ess_z: 2.626599,  inckl_eta: 0.003959,  inckl_z: 0.444362
8908s, 0.006893, loss: 14.286587,  ess_rws: 1.294857,  ess_eta: 4.959189,  ess_z: 2.661717,  inckl_eta: 0.003129,  inckl_z: 0.427811
9237s, 0.002745, loss: 14.296427,  ess_rws: 1.294214,  ess_eta: 4.966374,  ess_z: 2.683895,  inckl_eta: 0.002287,  inckl_z: 0.403681
9567s, 0.006274, loss: 14.271341,  ess_rws: 1.286268,  ess_eta: 4.971059,  ess_z: 2.715594,  inckl_eta: 0.006844,  inckl_z: 0.392048
9897s, 0.002446, loss: 14.229321,  ess_rws: 1.293027,  ess_eta: 4.974564,  ess_z: 2.735455,  inckl_eta: 0.002155,  inckl_z: 0.376654
10226s, 0.001646, loss: 14.146261,  ess_rws: 1.294505,  ess_eta: 4.976966,  ess_z: 2.787574,  inckl_eta: 0.001406,  inckl_z: 0.355068
10558s, 0.001430, loss: 14.096076,  ess_rws: 1.284242,  ess_eta: 4.979109,  ess_z: 2.814870,  inckl_eta: 0.001354,  inckl_z: 0.340130
10891s, 0.001517, loss: 14.089699,  ess_rws: 1.283850,  ess_eta: 4.981096,  ess_z: 2.862320,  inckl_eta: 0.001086,  inckl_z: 0.331725
11219s, 0.002279, loss: 14.023324,  ess_rws: 1.281855,  ess_eta: 4.981482,  ess_z: 2.876330,  inckl_eta: 0.001944,  inckl_z: 0.313299
11548s, 0.001116, loss: 13.941765,  ess_rws: 1.276061,  ess_eta: 4.983895,  ess_z: 2.908994,  inckl_eta: 0.000845,  inckl_z: 0.305401
11879s, 0.002527, loss: 13.961342,  ess_rws: 1.265722,  ess_eta: 4.983478,  ess_z: 2.952722,  inckl_eta: 0.000924,  inckl_z: 0.292223
12206s, 0.001198, loss: 13.812715,  ess_rws: 1.266455,  ess_eta: 4.984927,  ess_z: 2.999861,  inckl_eta: 0.000845,  inckl_z: 0.284205
12538s, 0.002902, loss: 13.805791,  ess_rws: 1.260284,  ess_eta: 4.985637,  ess_z: 3.019638,  inckl_eta: 0.000913,  inckl_z: 0.275450
12869s, 0.000865, loss: 13.781281,  ess_rws: 1.259672,  ess_eta: 4.986033,  ess_z: 3.051699,  inckl_eta: 0.000726,  inckl_z: 0.267761
13202s, 0.001035, loss: 13.759873,  ess_rws: 1.247245,  ess_eta: 4.986164,  ess_z: 3.072990,  inckl_eta: 0.000793,  inckl_z: 0.255751
13530s, 0.000778, loss: 13.690536,  ess_rws: 1.242832,  ess_eta: 4.985766,  ess_z: 3.102463,  inckl_eta: 0.000697,  inckl_z: 0.250577
13862s, 0.001920, loss: 13.627077,  ess_rws: 1.229989,  ess_eta: 4.985876,  ess_z: 3.144561,  inckl_eta: 0.000777,  inckl_z: 0.243952
14193s, 0.001075, loss: 13.575578,  ess_rws: 1.232655,  ess_eta: 4.986278,  ess_z: 3.171800,  inckl_eta: 0.000769,  inckl_z: 0.235901
14521s, 0.001025, loss: 13.543488,  ess_rws: 1.222400,  ess_eta: 4.987839,  ess_z: 3.185230,  inckl_eta: 0.000651,  inckl_z: 0.234432
14848s, 0.001003, loss: 13.495526,  ess_rws: 1.219902,  ess_eta: 4.987229,  ess_z: 3.217887,  inckl_eta: 0.000708,  inckl_z: 0.228675
15179s, 0.004491, loss: 13.418917,  ess_rws: 1.211775,  ess_eta: 4.987022,  ess_z: 3.244883,  inckl_eta: 0.000750,  inckl_z: 0.222582
15511s, 0.016126, loss: 13.394461,  ess_rws: 1.211680,  ess_eta: 4.988536,  ess_z: 3.263109,  inckl_eta: 0.000597,  inckl_z: 0.219272
15841s, 0.001201, loss: 13.346264,  ess_rws: 1.204251,  ess_eta: 4.987754,  ess_z: 3.297433,  inckl_eta: 0.000592,  inckl_z: 0.213482
16166s, 0.000749, loss: 13.308729,  ess_rws: 1.201919,  ess_eta: 4.987971,  ess_z: 3.304605,  inckl_eta: 0.000625,  inckl_z: 0.205539
16496s, 0.001696, loss: 13.244413,  ess_rws: 1.197581,  ess_eta: 4.987527,  ess_z: 3.321967,  inckl_eta: 0.000661,  inckl_z: 0.208703
16821s, 0.000723, loss: 13.250400,  ess_rws: 1.193935,  ess_eta: 4.986898,  ess_z: 3.337258,  inckl_eta: 0.000672,  inckl_z: 0.205970
17147s, 0.000510, loss: 13.255339,  ess_rws: 1.193013,  ess_eta: 4.989382,  ess_z: 3.358097,  inckl_eta: 0.000541,  inckl_z: 0.197937
17475s, 0.000931, loss: 13.219172,  ess_rws: 1.184698,  ess_eta: 4.988383,  ess_z: 3.380210,  inckl_eta: 0.000716,  inckl_z: 0.200683
17804s, 0.000581, loss: 13.091380,  ess_rws: 1.186258,  ess_eta: 4.988322,  ess_z: 3.403572,  inckl_eta: 0.000654,  inckl_z: 0.190322
18136s, 0.000563, loss: 13.168012,  ess_rws: 1.182294,  ess_eta: 4.988292,  ess_z: 3.390490,  inckl_eta: 0.000617,  inckl_z: 0.190034
18466s, 0.000573, loss: 13.082117,  ess_rws: 1.179940,  ess_eta: 4.987987,  ess_z: 3.436051,  inckl_eta: 0.001103,  inckl_z: 0.185537
18793s, 0.000553, loss: 13.012873,  ess_rws: 1.178049,  ess_eta: 4.988185,  ess_z: 3.450272,  inckl_eta: 0.000757,  inckl_z: 0.183028
19122s, 0.000496, loss: 13.046218,  ess_rws: 1.176461,  ess_eta: 4.989288,  ess_z: 3.448665,  inckl_eta: 0.000593,  inckl_z: 0.178238
19451s, 0.003571, loss: 13.062194,  ess_rws: 1.170204,  ess_eta: 4.986704,  ess_z: 3.471413,  inckl_eta: 0.000718,  inckl_z: 0.178413
19784s, 0.008273, loss: 12.979264,  ess_rws: 1.171284,  ess_eta: 4.988141,  ess_z: 3.493260,  inckl_eta: 0.000765,  inckl_z: 0.173442
(743s) inckl_eta: 0.001020,  inckl_z: 0.592718,  loss: 10.919313,  ess_rws: 1.542017,  ess_eta: 4.942845,  ess_z: 4.954700,  density: -271.826052
(769s) inckl_eta: 0.001040,  inckl_z: 0.602258,  loss: 10.920703,  ess_rws: 1.545949,  ess_eta: 4.943390,  ess_z: 4.960161,  density: -271.732188
(768s) inckl_eta: 0.001040,  inckl_z: 0.611888,  loss: 10.972121,  ess_rws: 1.554681,  ess_eta: 4.943147,  ess_z: 4.963695,  density: -271.812782
(785s) inckl_eta: 0.000964,  inckl_z: 0.624371,  loss: 10.936211,  ess_rws: 1.559049,  ess_eta: 4.943770,  ess_z: 4.966912,  density: -271.691508
(772s) inckl_eta: 0.000914,  inckl_z: 0.636910,  loss: 10.970306,  ess_rws: 1.560948,  ess_eta: 4.943374,  ess_z: 4.969114,  density: -271.684760
(762s) inckl_eta: 0.000979,  inckl_z: 0.642635,  loss: 10.976005,  ess_rws: 1.561670,  ess_eta: 4.943723,  ess_z: 4.970420,  density: -271.623730
(734s) inckl_eta: 0.001002,  inckl_z: 0.637589,  loss: 10.965171,  ess_rws: 1.562673,  ess_eta: 4.943861,  ess_z: 4.971607,  density: -271.635524
(945s) inckl_eta: 0.000980,  inckl_z: 0.641408,  loss: 10.986110,  ess_rws: 1.563743,  ess_eta: 4.943891,  ess_z: 4.972684,  density: -271.639840
(1039s) inckl_eta: 0.000949,  inckl_z: 0.639102,  loss: 10.975851,  ess_rws: 1.560808,  ess_eta: 4.943870,  ess_z: 4.973482,  density: -271.538450
(1034s) inckl_eta: 0.000943,  inckl_z: 0.649415,  loss: 10.936114,  ess_rws: 1.557916,  ess_eta: 4.944072,  ess_z: 4.974731,  density: -271.485761
(1035s) inckl_eta: 0.001073,  inckl_z: 0.649960,  loss: 10.984764,  ess_rws: 1.575456,  ess_eta: 4.942916,  ess_z: 4.975735,  density: -271.508593
(1040s) inckl_eta: 0.000885,  inckl_z: 0.662867,  loss: 11.007230,  ess_rws: 1.573021,  ess_eta: 4.943946,  ess_z: 4.976427,  density: -271.576235
(1035s) inckl_eta: 0.001009,  inckl_z: 0.664977,  loss: 10.956464,  ess_rws: 1.566700,  ess_eta: 4.942905,  ess_z: 4.977060,  density: -271.482201
(1029s) inckl_eta: 0.000993,  inckl_z: 0.670295,  loss: 10.966049,  ess_rws: 1.575507,  ess_eta: 4.943532,  ess_z: 4.977459,  density: -271.514126
(1031s) inckl_eta: 0.000928,  inckl_z: 0.676366,  loss: 10.970099,  ess_rws: 1.563889,  ess_eta: 4.943096,  ess_z: 4.978558,  density: -271.506022
(1029s) inckl_eta: 0.000991,  inckl_z: 0.680122,  loss: 10.947826,  ess_rws: 1.573740,  ess_eta: 4.943340,  ess_z: 4.978895,  density: -271.470532
(1029s) inckl_eta: 0.000913,  inckl_z: 0.686501,  loss: 10.954178,  ess_rws: 1.573860,  ess_eta: 4.943835,  ess_z: 4.980144,  density: -271.434839
(1029s) inckl_eta: 0.000926,  inckl_z: 0.689134,  loss: 10.963272,  ess_rws: 1.575566,  ess_eta: 4.944742,  ess_z: 4.980501,  density: -271.478056
(1027s) inckl_eta: 0.000883,  inckl_z: 0.697990,  loss: 11.006798,  ess_rws: 1.566868,  ess_eta: 4.943257,  ess_z: 4.981234,  density: -271.549182
(1024s) inckl_eta: 0.000973,  inckl_z: 0.699534,  loss: 10.930807,  ess_rws: 1.576365,  ess_eta: 4.944067,  ess_z: 4.981737,  density: -271.439841
(1028s) inckl_eta: 0.000905,  inckl_z: 0.717800,  loss: 10.957239,  ess_rws: 1.567361,  ess_eta: 4.944020,  ess_z: 4.982191,  density: -271.422111
(1027s) inckl_eta: 0.000911,  inckl_z: 0.720383,  loss: 10.984442,  ess_rws: 1.582037,  ess_eta: 4.943600,  ess_z: 4.982546,  density: -271.464982
(526s) inckl_eta: 0.006846,  inckl_z: 0.527192,  loss: 12.254668,  ess_rws: 1.857236,  ess_eta: 9.751112,  ess_z: 9.794768,  density: -274.914464
(524s) inckl_eta: 0.002308,  inckl_z: 0.539667,  loss: 12.230754,  ess_rws: 1.862955,  ess_eta: 9.834501,  ess_z: 9.806657,  density: -274.903418
(525s) inckl_eta: 0.001327,  inckl_z: 0.552969,  loss: 12.240171,  ess_rws: 1.853951,  ess_eta: 9.856464,  ess_z: 9.821677,  density: -274.919298
(526s) inckl_eta: 0.001151,  inckl_z: 0.560597,  loss: 12.256216,  ess_rws: 1.862103,  ess_eta: 9.866161,  ess_z: 9.831824,  density: -274.905099
(524s) inckl_eta: 0.001105,  inckl_z: 0.568753,  loss: 12.177104,  ess_rws: 1.871151,  ess_eta: 9.867387,  ess_z: 9.839125,  density: -274.685040
(526s) inckl_eta: 0.001058,  inckl_z: 0.582938,  loss: 12.195717,  ess_rws: 1.864472,  ess_eta: 9.869233,  ess_z: 9.848914,  density: -274.825310
