symKL_DB_eta: 1040.755,  symKL_DB_z: 4041.447,  gap_eta: 1035.721,  gap_z: 4041.803,  loss: -4578.715,  ess: 5.263
symKL_DB_eta: 610.583,  symKL_DB_z: 2841.883,  gap_eta: 603.998,  gap_z: 2844.794,  loss: -4535.010,  ess: 5.361
symKL_DB_eta: 369.623,  symKL_DB_z: 2431.829,  gap_eta: 361.718,  gap_z: 2435.052,  loss: -4787.597,  ess: 5.411
symKL_DB_eta: 239.110,  symKL_DB_z: 2220.064,  gap_eta: 231.805,  gap_z: 2224.737,  loss: -4902.622,  ess: 5.461
symKL_DB_eta: 169.011,  symKL_DB_z: 2094.877,  gap_eta: 161.679,  gap_z: 2098.777,  loss: -4971.348,  ess: 5.503
symKL_DB_eta: 129.722,  symKL_DB_z: 1996.363,  gap_eta: 121.042,  gap_z: 2000.772,  loss: -4902.550,  ess: 5.554
symKL_DB_eta: 105.841,  symKL_DB_z: 1946.891,  gap_eta: 97.508,  gap_z: 1952.042,  loss: -4735.259,  ess: 5.600
symKL_DB_eta: 93.508,  symKL_DB_z: 1869.882,  gap_eta: 83.802,  gap_z: 1875.115,  loss: -4771.844,  ess: 5.644
symKL_DB_eta: 85.072,  symKL_DB_z: 1834.751,  gap_eta: 75.174,  gap_z: 1840.544,  loss: -4957.500,  ess: 5.692
symKL_DB_eta: 78.431,  symKL_DB_z: 1794.582,  gap_eta: 67.513,  gap_z: 1800.927,  loss: -4685.051,  ess: 5.733
symKL_DB_eta: 73.425,  symKL_DB_z: 1766.579,  gap_eta: 62.451,  gap_z: 1772.164,  loss: -4387.670,  ess: 5.783
symKL_DB_eta: 70.324,  symKL_DB_z: 1735.605,  gap_eta: 59.220,  gap_z: 1741.324,  loss: -4214.083,  ess: 5.827
symKL_DB_eta: 68.820,  symKL_DB_z: 1728.001,  gap_eta: 56.336,  gap_z: 1733.503,  loss: -4374.294,  ess: 5.855
symKL_DB_eta: 72.772,  symKL_DB_z: 1688.148,  gap_eta: 55.680,  gap_z: 1693.386,  loss: -4314.761,  ess: 5.880
symKL_DB_eta: 75.544,  symKL_DB_z: 1688.155,  gap_eta: 53.052,  gap_z: 1693.569,  loss: -4130.753,  ess: 5.903
