symKL_DB_eta: 56.156,  symKL_DB_z: 2.567,  gap: 51.270,  loss: -1293.549,  ess: 5.902
symKL_DB_eta: 55.384,  symKL_DB_z: 2.249,  gap: 50.710,  loss: -1287.029,  ess: 5.906
symKL_DB_eta: 55.505,  symKL_DB_z: 3.094,  gap: 50.560,  loss: -1299.279,  ess: 5.904
symKL_DB_eta: 55.344,  symKL_DB_z: 2.791,  gap: 50.457,  loss: -1287.190,  ess: 5.904
symKL_DB_eta: 55.678,  symKL_DB_z: 2.787,  gap: 50.880,  loss: -1301.211,  ess: 5.903
symKL_DB_eta: 55.081,  symKL_DB_z: 2.749,  gap: 50.252,  loss: -1285.363,  ess: 5.913
symKL_DB_eta: 55.741,  symKL_DB_z: 2.734,  gap: 50.881,  loss: -1308.134,  ess: 5.902
symKL_DB_eta: 54.856,  symKL_DB_z: 2.653,  gap: 49.998,  loss: -1285.274,  ess: 5.908
symKL_DB_eta: 55.153,  symKL_DB_z: 2.500,  gap: 50.148,  loss: -1299.688,  ess: 5.913
symKL_DB_eta: 54.801,  symKL_DB_z: 3.164,  gap: 49.790,  loss: -1281.483,  ess: 5.917
symKL_DB_eta: 55.327,  symKL_DB_z: 2.390,  gap: 50.454,  loss: -1296.936,  ess: 5.907
symKL_DB_eta: 55.535,  symKL_DB_z: 2.535,  gap: 50.681,  loss: -1294.253,  ess: 5.905
symKL_DB_eta: 54.879,  symKL_DB_z: 2.972,  gap: 49.756,  loss: -1285.174,  ess: 5.911
symKL_DB_eta: 54.515,  symKL_DB_z: 2.658,  gap: 49.796,  loss: -1289.384,  ess: 5.912
symKL_DB_eta: 54.959,  symKL_DB_z: 2.737,  gap: 49.837,  loss: -1283.074,  ess: 5.913
symKL_DB_eta: 55.095,  symKL_DB_z: 2.751,  gap: 49.845,  loss: -1293.836,  ess: 5.905
symKL_DB_eta: 54.617,  symKL_DB_z: 2.603,  gap: 49.652,  loss: -1307.424,  ess: 5.910
symKL_DB_eta: 54.710,  symKL_DB_z: 2.874,  gap: 49.878,  loss: -1283.279,  ess: 5.914
symKL_DB_eta: 54.596,  symKL_DB_z: 2.566,  gap: 49.659,  loss: -1290.520,  ess: 5.911
symKL_DB_eta: 54.520,  symKL_DB_z: 2.421,  gap: 49.640,  loss: -1286.587,  ess: 5.905
symKL_DB_eta: 55.318,  symKL_DB_z: 2.892,  gap: 50.524,  loss: -1298.505,  ess: 5.906
symKL_DB_eta: 54.899,  symKL_DB_z: 2.716,  gap: 49.676,  loss: -1293.009,  ess: 5.915
symKL_DB_eta: 54.672,  symKL_DB_z: 2.594,  gap: 49.739,  loss: -1299.824,  ess: 5.909
symKL_DB_eta: 54.647,  symKL_DB_z: 2.879,  gap: 49.749,  loss: -1308.596,  ess: 5.907
symKL_DB_eta: 54.294,  symKL_DB_z: 2.607,  gap: 49.327,  loss: -1293.230,  ess: 5.917
symKL_DB_eta: 54.565,  symKL_DB_z: 2.933,  gap: 49.654,  loss: -1301.714,  ess: 5.917
symKL_DB_eta: 54.423,  symKL_DB_z: 2.667,  gap: 49.607,  loss: -1300.613,  ess: 5.915
symKL_DB_eta: 53.818,  symKL_DB_z: 2.371,  gap: 48.800,  loss: -1287.999,  ess: 5.914
symKL_DB_eta: 64.265,  symKL_DB_z: 2.725,  gap: 48.493,  loss: -1285.906,  ess: 5.921
symKL_DB_eta: 53.663,  symKL_DB_z: 2.651,  gap: 48.789,  loss: -1287.986,  ess: 5.916
symKL_DB_eta: 53.854,  symKL_DB_z: 2.570,  gap: 48.859,  loss: -1288.742,  ess: 5.911
symKL_DB_eta: 54.497,  symKL_DB_z: 3.045,  gap: 49.366,  loss: -1286.537,  ess: 5.917
symKL_DB_eta: 53.790,  symKL_DB_z: 2.574,  gap: 49.027,  loss: -1294.582,  ess: 5.917
symKL_DB_eta: 53.618,  symKL_DB_z: 2.865,  gap: 48.580,  loss: -1297.772,  ess: 5.916
symKL_DB_eta: 54.628,  symKL_DB_z: 2.624,  gap: 49.593,  loss: -1299.940,  ess: 5.915
symKL_DB_eta: 53.355,  symKL_DB_z: 2.614,  gap: 48.695,  loss: -1277.969,  ess: 5.915
symKL_DB_eta: 53.898,  symKL_DB_z: 2.629,  gap: 49.214,  loss: -1296.610,  ess: 5.917
symKL_DB_eta: 54.472,  symKL_DB_z: 2.558,  gap: 49.032,  loss: -1300.455,  ess: 5.918
symKL_DB_eta: 54.073,  symKL_DB_z: 2.935,  gap: 49.125,  loss: -1290.166,  ess: 5.918
symKL_DB_eta: 53.403,  symKL_DB_z: 2.657,  gap: 48.634,  loss: -1289.573,  ess: 5.919
symKL_DB_eta: 53.483,  symKL_DB_z: 2.490,  gap: 48.645,  loss: -1296.461,  ess: 5.921
