EUBO, ELBO, ESS, KLs_eta_ex_os, KLs_eta_in_os, KL_z_ex_os, KL_z_in_os
-199.9607391357422, -299.256103515625, 1.1326783895492554, 122.00939178466797, 13.195436477661133, 22.505897521972656, 9.008244514465332
-203.9065399169922, -255.24278259277344, 1.168232798576355, 78.00205993652344, 14.09286880493164, 26.62883186340332, 9.970962524414062
-218.2498779296875, -277.0325012207031, 1.1635438203811646, 92.7779769897461, 14.442997932434082, 33.18269348144531, 9.258929252624512
-197.03335571289062, -248.8101348876953, 1.2024526596069336, 70.11443328857422, 12.96731948852539, 19.305889129638672, 8.785815238952637
-200.85548400878906, -255.45701599121094, 1.1772352457046509, 80.61050415039062, 15.04406452178955, 21.39460563659668, 9.396076202392578
-193.231201171875, -234.28440856933594, 1.1332865953445435, 65.44775390625, 15.478266716003418, 13.374372482299805, 7.694247245788574
-200.64573669433594, -254.37069702148438, 1.1974854469299316, 78.65440368652344, 13.878636360168457, 21.3815860748291, 9.375297546386719
-195.62850952148438, -246.8832244873047, 1.1276443004608154, 69.3194808959961, 14.008706092834473, 20.52382469177246, 9.003652572631836
-202.3976287841797, -248.4426727294922, 1.1064659357070923, 64.23504638671875, 11.939627647399902, 16.384660720825195, 8.821367263793945
-191.2108612060547, -235.1335906982422, 1.228026270866394, 64.41229248046875, 12.799094200134277, 15.834511756896973, 8.527655601501465
