(236s) loss: 20.992,  ess: 7.625,  kl_eta_ex: 0.153,  kl_eta_in: 0.094,  kl_z_ex: 0.004,  kl_z_in: 0.002
(236s) loss: 21.020,  ess: 7.622,  kl_eta_ex: 0.150,  kl_eta_in: 0.094,  kl_z_ex: 0.004,  kl_z_in: 0.001
(233s) loss: 20.992,  ess: 7.624,  kl_eta_ex: 0.149,  kl_eta_in: 0.093,  kl_z_ex: 0.004,  kl_z_in: 0.001
(240s) loss: 21.069,  ess: 7.623,  kl_eta_ex: 0.147,  kl_eta_in: 0.092,  kl_z_ex: 0.004,  kl_z_in: 0.002
(238s) loss: 20.974,  ess: 7.635,  kl_eta_ex: 0.149,  kl_eta_in: 0.092,  kl_z_ex: 0.004,  kl_z_in: 0.001
(233s) loss: 20.975,  ess: 7.634,  kl_eta_ex: 0.148,  kl_eta_in: 0.092,  kl_z_ex: 0.004,  kl_z_in: 0.001
(231s) loss: 20.986,  ess: 7.644,  kl_eta_ex: 0.145,  kl_eta_in: 0.091,  kl_z_ex: 0.004,  kl_z_in: 0.001
(231s) loss: 21.004,  ess: 7.643,  kl_eta_ex: 0.147,  kl_eta_in: 0.090,  kl_z_ex: 0.004,  kl_z_in: 0.001
(240s) loss: 20.972,  ess: 7.649,  kl_eta_ex: 0.143,  kl_eta_in: 0.089,  kl_z_ex: 0.004,  kl_z_in: 0.001
(237s) loss: 20.981,  ess: 7.644,  kl_eta_ex: 0.141,  kl_eta_in: 0.089,  kl_z_ex: 0.004,  kl_z_in: 0.001
(231s) loss: 20.983,  ess: 7.645,  kl_eta_ex: 0.142,  kl_eta_in: 0.089,  kl_z_ex: 0.003,  kl_z_in: 0.001
(231s) loss: 20.999,  ess: 7.650,  kl_eta_ex: 0.140,  kl_eta_in: 0.088,  kl_z_ex: 0.004,  kl_z_in: 0.001
(236s) loss: 20.961,  ess: 7.645,  kl_eta_ex: 0.139,  kl_eta_in: 0.088,  kl_z_ex: 0.003,  kl_z_in: 0.001
(237s) loss: 21.015,  ess: 7.641,  kl_eta_ex: 0.138,  kl_eta_in: 0.087,  kl_z_ex: 0.004,  kl_z_in: 0.001
(235s) loss: 20.976,  ess: 7.659,  kl_eta_ex: 0.136,  kl_eta_in: 0.087,  kl_z_ex: 0.003,  kl_z_in: 0.001
(232s) loss: 20.966,  ess: 7.660,  kl_eta_ex: 0.135,  kl_eta_in: 0.087,  kl_z_ex: 0.003,  kl_z_in: 0.001
(241s) loss: 20.950,  ess: 7.654,  kl_eta_ex: 0.134,  kl_eta_in: 0.087,  kl_z_ex: 0.003,  kl_z_in: 0.001
(236s) loss: 21.016,  ess: 7.640,  kl_eta_ex: 0.133,  kl_eta_in: 0.086,  kl_z_ex: 0.003,  kl_z_in: 0.001
(234s) loss: 20.961,  ess: 7.648,  kl_eta_ex: 0.132,  kl_eta_in: 0.085,  kl_z_ex: 0.003,  kl_z_in: 0.001
(238s) loss: 21.007,  ess: 7.649,  kl_eta_ex: 0.132,  kl_eta_in: 0.085,  kl_z_ex: 0.003,  kl_z_in: 0.001
(238s) loss: 20.978,  ess: 7.667,  kl_eta_ex: 0.130,  kl_eta_in: 0.084,  kl_z_ex: 0.003,  kl_z_in: 0.001
(237s) loss: 20.965,  ess: 7.669,  kl_eta_ex: 0.128,  kl_eta_in: 0.084,  kl_z_ex: 0.003,  kl_z_in: 0.001
(241s) loss: 21.033,  ess: 7.656,  kl_eta_ex: 0.129,  kl_eta_in: 0.084,  kl_z_ex: 0.003,  kl_z_in: 0.001
(238s) loss: 20.992,  ess: 7.656,  kl_eta_ex: 0.128,  kl_eta_in: 0.084,  kl_z_ex: 0.003,  kl_z_in: 0.001
(233s) loss: 20.984,  ess: 7.660,  kl_eta_ex: 0.125,  kl_eta_in: 0.082,  kl_z_ex: 0.003,  kl_z_in: 0.001
(230s) loss: 20.942,  ess: 7.682,  kl_eta_ex: 0.126,  kl_eta_in: 0.083,  kl_z_ex: 0.003,  kl_z_in: 0.001
(237s) loss: 20.987,  ess: 7.669,  kl_eta_ex: 0.126,  kl_eta_in: 0.082,  kl_z_ex: 0.003,  kl_z_in: 0.001
