DB_eta,  DB_z,  loss,  ess,  KL_eta_ex,  KL_eta_in,  KL_z_ex,  KL_z_in
2.152,  0.990,  -428.823,  8.474,  0.008,  0.004,  0.173,  0.063
2.153,  1.031,  -428.768,  8.470,  0.008,  0.003,  0.170,  0.064
2.122,  1.013,  -428.404,  8.473,  0.008,  0.004,  0.167,  0.061
2.188,  1.081,  -428.435,  8.462,  0.009,  0.004,  0.168,  0.062
2.135,  1.053,  -428.576,  8.472,  0.009,  0.004,  0.167,  0.060
2.129,  1.052,  -428.665,  8.476,  0.009,  0.004,  0.170,  0.062
2.160,  0.970,  -428.229,  8.466,  0.008,  0.004,  0.160,  0.059
2.118,  0.969,  -428.433,  8.469,  0.009,  0.004,  0.161,  0.059
2.151,  1.018,  -428.521,  8.478,  0.008,  0.003,  0.167,  0.061
2.136,  0.991,  -428.307,  8.466,  0.008,  0.004,  0.159,  0.059
2.131,  1.092,  -428.526,  8.465,  0.009,  0.004,  0.164,  0.060
2.150,  1.091,  -428.483,  8.466,  0.008,  0.004,  0.161,  0.061
2.145,  1.082,  -428.396,  8.462,  0.007,  0.003,  0.159,  0.059
2.095,  0.969,  -428.419,  8.479,  0.009,  0.004,  0.162,  0.060
2.123,  1.030,  -428.510,  8.471,  0.008,  0.004,  0.159,  0.059
2.115,  0.931,  -428.339,  8.469,  0.009,  0.004,  0.160,  0.059
2.175,  0.969,  -428.237,  8.469,  0.008,  0.004,  0.158,  0.058
2.153,  0.936,  -428.565,  8.473,  0.009,  0.004,  0.154,  0.058
2.160,  0.996,  -428.206,  8.469,  0.008,  0.004,  0.151,  0.057
2.098,  0.913,  -428.508,  8.470,  0.008,  0.004,  0.151,  0.059
2.189,  0.983,  -428.446,  8.476,  0.007,  0.003,  0.162,  0.059
2.182,  0.937,  -428.302,  8.465,  0.007,  0.003,  0.158,  0.059
2.180,  1.004,  -428.397,  8.471,  0.008,  0.004,  0.147,  0.056
2.143,  0.960,  -428.502,  8.466,  0.007,  0.003,  0.154,  0.057
2.156,  0.989,  -428.610,  8.471,  0.008,  0.003,  0.159,  0.058
2.131,  0.977,  -428.619,  8.476,  0.007,  0.004,  0.147,  0.057
2.185,  0.975,  -428.427,  8.473,  0.008,  0.003,  0.151,  0.056
