(525s) phi_loss: -1040.938,  theta_loss: 1651.782,  ess: 3.689
(548s) phi_loss: -1041.033,  theta_loss: 1652.399,  ess: 3.686
(529s) phi_loss: -1041.534,  theta_loss: 1643.886,  ess: 3.685
(511s) phi_loss: -1042.282,  theta_loss: 1650.119,  ess: 3.685
(544s) phi_loss: -1041.567,  theta_loss: 1645.653,  ess: 3.687
(537s) phi_loss: -1040.226,  theta_loss: 1646.604,  ess: 3.690
(529s) phi_loss: -1040.137,  theta_loss: 1643.825,  ess: 3.690
(549s) phi_loss: -1040.433,  theta_loss: 1644.670,  ess: 3.691
(531s) phi_loss: -1040.350,  theta_loss: 1645.590,  ess: 3.687
(544s) phi_loss: -1040.572,  theta_loss: 1642.588,  ess: 3.691
(541s) phi_loss: -1040.304,  theta_loss: 1649.512,  ess: 3.692
(538s) phi_loss: -1039.831,  theta_loss: 1645.884,  ess: 3.691
(513s) phi_loss: -1039.299,  theta_loss: 1646.667,  ess: 3.693
(530s) phi_loss: -1039.320,  theta_loss: 1650.172,  ess: 3.692
(548s) phi_loss: -1039.133,  theta_loss: 1647.508,  ess: 3.690
(513s) phi_loss: -1039.497,  theta_loss: 1648.039,  ess: 3.696
(510s) phi_loss: -1038.992,  theta_loss: 1651.157,  ess: 3.690
(526s) phi_loss: -1038.310,  theta_loss: 1644.693,  ess: 3.695
(520s) phi_loss: -1038.381,  theta_loss: 1651.784,  ess: 3.695
(534s) phi_loss: -1038.594,  theta_loss: 1650.669,  ess: 3.694
(521s) phi_loss: -1038.517,  theta_loss: 1643.621,  ess: 3.696
(527s) phi_loss: -1038.029,  theta_loss: 1657.627,  ess: 3.692
(532s) phi_loss: -1037.406,  theta_loss: 1647.106,  ess: 3.694
(527s) phi_loss: -1038.071,  theta_loss: 1654.873,  ess: 3.691
(546s) phi_loss: -1038.769,  theta_loss: 1638.731,  ess: 3.698
(512s) phi_loss: -1037.471,  theta_loss: 1646.396,  ess: 3.698
(523s) phi_loss: -1037.335,  theta_loss: 1652.230,  ess: 3.697
(526s) phi_loss: -1037.541,  theta_loss: 1648.193,  ess: 3.697
(541s) phi_loss: -1036.597,  theta_loss: 1650.271,  ess: 3.700
(526s) phi_loss: -1037.143,  theta_loss: 1648.085,  ess: 3.699
(532s) phi_loss: -1036.707,  theta_loss: 1653.105,  ess: 3.699
(536s) phi_loss: -1035.855,  theta_loss: 1651.250,  ess: 3.701
(545s) phi_loss: -1036.459,  theta_loss: 1648.225,  ess: 3.696
(543s) phi_loss: -1036.599,  theta_loss: 1649.435,  ess: 3.696
(548s) phi_loss: -1036.088,  theta_loss: 1648.668,  ess: 3.699
(549s) phi_loss: -1036.813,  theta_loss: 1630.068,  ess: 3.704
(558s) phi_loss: -1036.652,  theta_loss: 1649.525,  ess: 3.698
(554s) phi_loss: -1036.483,  theta_loss: 1650.119,  ess: 3.702
(524s) phi_loss: -1036.400,  theta_loss: 1643.185,  ess: 3.701
(512s) phi_loss: -1036.293,  theta_loss: 1646.778,  ess: 3.701
(532s) phi_loss: -1035.908,  theta_loss: 1650.532,  ess: 3.701
(533s) phi_loss: -1035.494,  theta_loss: 1645.325,  ess: 3.704
(544s) phi_loss: -1035.425,  theta_loss: 1651.208,  ess: 3.705
(545s) phi_loss: -1035.173,  theta_loss: 1644.081,  ess: 3.701
(552s) phi_loss: -1034.663,  theta_loss: 1649.363,  ess: 3.704
(539s) phi_loss: -1035.914,  theta_loss: 1644.880,  ess: 3.705
(526s) phi_loss: -1035.484,  theta_loss: 1646.676,  ess: 3.704
(539s) phi_loss: -1035.846,  theta_loss: 1650.681,  ess: 3.702
(546s) phi_loss: -1035.540,  theta_loss: 1649.146,  ess: 3.704
(543s) phi_loss: -1035.596,  theta_loss: 1654.061,  ess: 3.707
(547s) phi_loss: -1035.502,  theta_loss: 1651.250,  ess: 3.704
(556s) phi_loss: -1035.182,  theta_loss: 1649.755,  ess: 3.706
(538s) phi_loss: -1034.723,  theta_loss: 1646.317,  ess: 3.706
(525s) phi_loss: -1034.147,  theta_loss: 1643.514,  ess: 3.707
(538s) phi_loss: -1034.830,  theta_loss: 1652.119,  ess: 3.706
(532s) phi_loss: -1034.505,  theta_loss: 1646.494,  ess: 3.708
(534s) phi_loss: -1035.594,  theta_loss: 1635.786,  ess: 3.707
(547s) phi_loss: -1034.106,  theta_loss: 1645.627,  ess: 3.711
(545s) phi_loss: -1034.111,  theta_loss: 1644.787,  ess: 3.705
(518s) phi_loss: -1034.109,  theta_loss: 1644.719,  ess: 3.708
(534s) phi_loss: -1034.791,  theta_loss: 1646.222,  ess: 3.707
(549s) phi_loss: -1034.128,  theta_loss: 1647.785,  ess: 3.711
(556s) phi_loss: -1033.490,  theta_loss: 1642.311,  ess: 3.710
(526s) phi_loss: -1033.717,  theta_loss: 1643.906,  ess: 3.710
(545s) phi_loss: -1033.990,  theta_loss: 1650.504,  ess: 3.705
(549s) phi_loss: -1034.593,  theta_loss: 1648.542,  ess: 3.708
(551s) phi_loss: -1033.450,  theta_loss: 1640.802,  ess: 3.712
(546s) phi_loss: -1033.599,  theta_loss: 1639.707,  ess: 3.713
(544s) phi_loss: -1033.082,  theta_loss: 1642.145,  ess: 3.712
(542s) phi_loss: -1032.549,  theta_loss: 1647.156,  ess: 3.711
(529s) phi_loss: -1033.373,  theta_loss: 1637.410,  ess: 3.708
(539s) phi_loss: -1033.075,  theta_loss: 1656.456,  ess: 3.711
(529s) phi_loss: -1034.168,  theta_loss: 1649.078,  ess: 3.712
(526s) phi_loss: -1034.351,  theta_loss: 1648.655,  ess: 3.714
(542s) phi_loss: -1034.250,  theta_loss: 1652.513,  ess: 3.714
(548s) phi_loss: -1033.328,  theta_loss: 1638.355,  ess: 3.716
(530s) phi_loss: -1032.909,  theta_loss: 1650.691,  ess: 3.715
(537s) phi_loss: -1032.736,  theta_loss: 1645.383,  ess: 3.712
(540s) phi_loss: -1032.801,  theta_loss: 1643.440,  ess: 3.715
(548s) phi_loss: -1032.447,  theta_loss: 1646.388,  ess: 3.714
(516s) phi_loss: -1034.105,  theta_loss: 1644.393,  ess: 3.713
(516s) phi_loss: -1034.433,  theta_loss: 1648.020,  ess: 3.719
(541s) phi_loss: -1034.201,  theta_loss: 1639.928,  ess: 3.716
(553s) phi_loss: -1033.040,  theta_loss: 1646.790,  ess: 3.716
(552s) phi_loss: -1033.106,  theta_loss: 1636.932,  ess: 3.719
(540s) phi_loss: -1032.732,  theta_loss: 1637.749,  ess: 3.714
(538s) phi_loss: -1033.169,  theta_loss: 1646.671,  ess: 3.718
(538s) phi_loss: -1033.098,  theta_loss: 1645.366,  ess: 3.717
